Date,Amoxicillin,Isoniazid,Rifampicin,Metronidazole,Pyrazinamide,Azithromycin,Penicillin,Trimethoprim,Sulfamethoxazole,Ciprofloxacin,Ethambutol,Ceftriaxone,Benzathine penicillin,Cefalexin,Flucloxacillin,Sulfadiazine,Chloramphenicol,Kanamycin,Doxycycline ,Levofloxacin,Moxifloxacin,Ethionamide,Clarithromycin,Clindamycin,Nitrofurantoin,Ampicillin,Gentamicin,Ofloxacin,Cefotaxime,Rifabutin,Cefazolin,Amikacin,Piperacillin,Meropenem,Vancomycin,Fosfomycin,Ceftazidime,Cloxacillin
18_Apr,16153277.77496739,3362981.7082824204,4181909.4696352477,2929617.057564088,5319385.853011081,374107.5250157854,601575.8813876009,1635740.6926136585,8178870.99807982,1295013.1067524177,3429874.3832720085,346735.46020876296,54785.65240693999,208277.803744145,6838056.284280399,4473.409618883757,1358074.1227779984,33289.87396784006,98864.8748067609,36796.11650485437,138000.0,20604.3956043956,12873.766386802177,3958.996227652944,6000.0,590117.9997546467,4306.6927446147265,0.0,36128.342245989305,0.0,105357.14285714287,3571.428571428571,0.0,0.0,0.0,0.0,0.0,0.0
18_Aug,19599379.422593154,5193483.305590887,5990444.866410945,1302189.9623274207,6409732.588310411,649761.8944283907,1352933.9324853641,1918996.9233549694,9597532.310492389,858857.8982220653,4328947.818542084,215177.28489819556,260556.71214884063,431237.68828334985,2988987.378090563,8677.267161983043,516805.9241136005,17760.54438187754,105873.81711855397,137272.65372168284,222439.37575030015,28406.954887218053,17234.05135331877,8832.13782575348,3358.5692341452714,521539.5501266201,1675.1098901098903,138911.56462585035,30681.818181818187,0.0,167346.93877551024,6919.642857142854,8857.142857142857,786.8020304568525,0.0,0.0,0.0,0.0
18_Dec,13692091.177354813,4831713.8531826725,5722382.761042098,1711626.6027701884,8633047.38100774,340172.2529515544,539033.5055574272,1909186.664959561,9549040.46765495,872436.9846069824,5529080.539695355,353494.35321500484,190836.5056584474,294023.7479793475,3241474.750196014,3964.3141140952475,1806242.360580596,5364.636779205451,76958.59213250519,131998.84419787332,211242.82607779955,114669.17556878584,15845.16246442988,11506.253847068836,6703.296703296703,200621.18277968123,1007.1428571428569,47321.42857142854,3473.3893557422957,16075.0,100000.0,8904.761904761906,59047.619047619075,2882.005594115819,4920.634920634922,0.0,0.0,0.0
18_Feb,11751913.719027828,3630148.540731896,4855255.788006095,1287099.2110891647,7146943.952553193,356243.7707672951,781926.3072609236,1684374.3322674283,8421882.582662191,1058199.3559859374,4764816.822420821,704761.5717615716,64810.9791258217,69387.02147525676,3837023.8095238097,5492.330586080586,1167678.1598738476,65338.522892859895,39558.12303638391,0.0,51657.142857142855,35714.285714285725,9032.258064516129,1846.1538461538462,2916.666666666666,675757.529289088,451.61290322580646,0.0,47731.092436974795,0.0,49999.999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18_Jan,7707642.404443775,2322651.1245674063,3289195.6280005556,677867.2852387095,3941394.199438001,439890.3165387274,487771.23435186443,1022126.1034359296,5110630.517179647,322132.1227274519,2526135.7587186596,372483.766233766,38221.691352126145,33472.45564892623,3380476.19047619,5292.12454212454,360852.27272727276,23491.3063008776,30683.43974865715,0.0,8228.57142857143,10204.081632653062,322.5806451612903,1978.0219780219782,104.16666666666667,28571.428571428572,1050.6117908787544,0.0,16071.428571428565,0.0,26785.71428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18_Jul,18595278.10682252,4814299.9971789345,5172949.941875429,1892503.5039681152,5950147.030750811,734092.094387162,1710381.9696333478,2433445.426477761,12169582.994190043,1102060.7427162924,3752569.9729945823,231843.95156486222,180447.90781308807,460569.56176700915,2561599.443444564,6932.45034586341,893425.0891816557,16609.99720648564,142474.08702408703,109165.51086454,251142.85714285713,54895.0501253133,17234.05135331877,4164.179104477612,3163.265306122449,190927.3052286608,1988.1868131868132,133911.56462585035,15500.0,0.0,94897.95918367346,7678.571428571429,8857.142857142857,786.8020304568525,0.0,0.0,0.0,0.0
18_Jun,22239111.063276116,4370334.97614342,4197323.726989326,3032527.993793238,5221271.420385766,640435.0468691934,594569.1854797995,2175443.9119432913,10878675.69325683,1362034.361762199,3323412.6109014545,368472.25727475144,61486.23670728424,118883.71167607057,3387503.9727649633,10377.284029008168,1204889.4720053622,21081.79193954372,185103.98896877773,92510.40221914007,211085.71428571426,43233.08270676693,13381.012763613773,4029.8507462686566,3061.2244897959185,330346.59119122114,2925.0,153639.45578231287,15000.0,0.0,76530.61224489796,9999.999999999998,122510.67323481118,761.4213197969541,0.0,0.0,0.0,0.0
18_Mar,11116851.01125043,3634718.8920667805,5225529.0207556635,1030325.6990265572,7509130.624396129,289952.1277284876,604901.9531882284,1765357.1057784571,8826905.473155782,927827.1551266368,4932670.860618199,625533.1890331891,18494.686722572773,92388.05498994268,3462325.9948125435,6768.003189339397,425183.01188743324,34399.53643343474,43796.493361710745,32718.44660194175,120457.14285714293,30219.780219780223,11917.808219178081,2043.9560439560441,4483.333333333334,229072.56333190209,500.0,0.0,18235.29411764706,0.0,55357.14285714283,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18_May,19969543.06637792,3611860.3458918226,3365498.639746409,2451737.729675737,4556025.277018857,664541.9167978307,643698.4016666688,1666749.4017557218,8333903.267405245,773231.1478797653,2947612.9786166484,331337.44633118977,59992.92078800323,182328.67099697923,4184609.7010686123,5428.325771774048,1582648.2896652112,37557.49922068449,74459.53905249681,70522.65372168284,175371.42857142858,21291.208791208785,13302.891933028915,4164.179104477612,4146.938775510203,343988.52971845696,3237.5692137320048,11020.408163265307,15500.0,0.0,106666.66666666666,5535.714285714285,30344.827586206902,253.80710659898477,0.0,0.0,0.0,0.0
18_Nov,17250475.25276301,8530238.080392966,10750727.967878595,2036545.6949169063,16256762.941378398,425923.32083390735,657674.8130666265,2874180.0523441457,14376772.393755361,1364966.7782591726,10700641.877793733,295629.9487212361,177260.83066455307,334819.48334293463,4413123.5461687045,5805.518601770289,1292294.3722943724,59296.32281557885,153504.60340574756,100974.6879334258,167539.0156062425,125181.6248929413,15334.028191383757,11388.181196793637,5788.136594588207,292166.3190823776,2357.1428571428582,26785.71428571429,3361.344537815125,0.0,146428.5714285714,7142.857142857146,47714.28571428574,761.4213197969541,51309.52380952381,0.0,0.0,0.0
