Date,Co-amoxiclav,Amoxicillin,Azithromycin,Clarithromycin,Cefuroxime,Cefpodoxime,Doxycycline,Levofloxacin,Ciprofloxacin,Trimethoprim,Sulfamethoxazole,Lymecycline,Erythromycin,Metronidazole,Flucloxacillin,Clindamycin,Kanamycin,Moxifloxacin,Fosfomycin,Cloxacillin,Aciclovir,Oseltamivir,Norfloxacin,Minocycline,Telithromycin,Cefixime,Cefalexin,Linezolid
18_Apr,2441625.0,985000.0,99000.0,265500.0,227000.0,16400.0,90400.0,30750.0,334500.0,174240.0,871200.0,243000.0,52500.0,84600.0,58125.0,56250.0,320500.0,34400.0,153.0,68000.0,28000.0,1125.0,2400.0,18000.0,0.0,0.0,0.0,0.0
18_Aug,4207825.0,2531250.0,259100.0,342550.0,552250.0,67000.0,133500.0,72500.0,284500.0,163040.0,815200.0,261300.0,38500.0,54200.0,66625.0,114900.0,175000.0,56800.0,189.0,40000.0,37000.0,8700.0,2400.0,33000.0,8000.0,0.0,0.0,0.0
18_Dec,1423400.0,763250.0,78300.0,96700.0,238750.0,12000.0,84500.0,29500.0,167000.0,105760.0,528800.0,86700.0,53500.0,43600.0,69750.0,20700.0,327000.0,6000.0,165.0,125000.0,34000.0,0.0,4800.0,34500.0,0.0,0.0,0.0,0.0
18_Feb,2907950.0,1213000.0,141300.0,225000.0,267000.0,24000.0,88500.0,18250.0,423000.0,139200.0,696000.0,248400.0,21750.0,53960.0,71750.0,49500.0,390500.0,30000.0,159.0,100000.0,41000.0,1500.0,0.0,3000.0,0.0,0.0,0.0,0.0
18_Jan,1522475.0,860250.0,56400.0,110200.0,152250.0,13000.0,55500.0,42750.0,333500.0,154480.0,772400.0,189000.0,0.0,44520.0,56500.0,36450.0,232500.0,22800.0,141.0,20000.0,76000.0,0.0,4800.0,1500.0,0.0,0.0,0.0,0.0
18_Jul,1957100.0,1304000.0,129100.0,252850.0,236500.0,19800.0,108450.0,36750.0,231000.0,118080.0,590400.0,191700.0,42500.0,63040.0,63000.0,47400.0,150040.0,21200.0,120.0,65000.0,24000.0,5700.0,0.0,3000.0,0.0,0.0,0.0,0.0
18_Jun,2660475.0,1401250.0,137300.0,291000.0,273000.0,31000.0,153000.0,75000.0,251000.0,160400.0,802000.0,130500.0,47000.0,53400.0,42875.0,45000.0,88000.0,44400.0,150.0,122000.0,35000.0,9675.0,4800.0,12500.0,0.0,2400.0,0.0,0.0
18_Mar,2894125.0,1563750.0,123100.0,247950.0,258250.0,29600.0,130850.0,54000.0,627000.0,211120.0,1055600.0,277200.0,76750.0,60400.0,49500.0,82050.0,777000.0,35600.0,168.0,106000.0,15000.0,2400.0,2400.0,61500.0,4000.0,0.0,0.0,0.0
18_May,3087650.0,1403500.0,176300.0,265800.0,367250.0,21600.0,134700.0,46250.0,266500.0,173680.0,868400.0,393900.0,48750.0,72000.0,65875.0,98700.0,381000.0,40400.0,174.0,113000.0,32400.0,3000.0,2400.0,3000.0,8000.0,0.0,0.0,0.0
18_Nov,1968175.0,1042500.0,108000.0,175500.0,206500.0,27200.0,148200.0,50250.0,323500.0,174080.0,870400.0,268200.0,31750.0,53200.0,64750.0,51450.0,107500.0,10000.0,171.0,57500.0,5000.0,1500.0,7200.0,1500.0,0.0,0.0,0.0,0.0
