Date,Enrofloxacin,Amoxycillin,Doxycycline,Clavulanic acid,Cephalexin,Marbofloxacin,Oxytetracycline,Trimethoprim,Cefovecin,Sulphadimethyl pyrimidine,Neomycin,Benzylpenicillin,Kanamycin,Danofloxacin,Sulfadimidine,Sulphadiazine,Tulathromycin,Sulphadoxine,Ceftiofur,Fosfomycin,Tylosin,Dihydrostreptomycin
18_Apr,9026.0,207163.0,9325.0,10540.75,133200.0,1400.0,4000.0,0.0,3166.4,0.0,0.0,35500.0,20000.0,8250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18_Aug,14796.0,229218.0,13352.5,8517.0,228400.0,1800.0,0.0,4491.2,2940.0,22300.0,700.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
18_Dec,9981.5,189868.2,12420.0,9967.05,223800.0,60000.0,10000.0,280.0,3416.0,1400.0,2100.0,0.0,0.0,10000.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18_Feb,14400.0,155080.0,26372.5,12520.0,175800.0,20000.0,9000.0,7222.4,2924.0,30800.0,1200.0,27800.0,10000.0,0.0,0.0,312.0,0.0,5000.0,0.0,0.0,0.0,0.0
18_Jan,6496.5,142268.0,10212.5,16817.0,217400.0,30000.0,10000.0,5406.6,3198.4,26760.0,800.0,272500.0,0.0,750.0,0.0,273.0,0.0,0.0,0.0,0.0,0.0,20000.0
18_Jul,11466.5,288525.0,9100.0,8381.25,220000.0,11000.0,13000.0,815.6,2461.6,4000.0,2500.0,33000.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
18_Jun,17624.5,134109.0,17250.0,11027.25,108300.0,30000.0,8780.0,7171.4,2277.6,35740.0,1200.0,23375.0,10000.0,0.0,0.0,117.0,25000.0,0.0,0.0,0.0,0.0,0.0
18_Mar,38335.0,217207.0,25832.5,9301.75,113100.0,1400.0,6500.0,5695.8,2745.6,28440.0,2700.0,59500.0,10000.0,300.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
18_May,9284.5,217579.0,10470.0,13144.75,137200.0,32350.0,8000.0,11094.6,3239.2,55200.0,1600.0,39750.0,20000.0,1000.0,0.0,273.0,0.0,0.0,200000.0,0.0,0.0,0.0
18_Nov,13829.5,170524.0,22100.0,8881.0,223600.0,11650.0,44000.0,4388.0,2226.4,21940.0,2800.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18_Oct,13163.5,88360.0,13820.0,10840.0,155500.0,0.0,99500.0,8380.0,2669.6,41900.0,100.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18_Sep,35481.5,45941.0,10387.5,7735.25,164400.0,14200.0,0.0,6800.0,3036.8,34000.0,2400.0,0.0,0.0,0.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_Apr,11550.0,147606.0,32800.0,10651.5,232100.0,20400.0,60600.0,12576.0,3240.0,62880.0,1400.0,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_Aug,13979.0,108742.0,7060.0,12185.5,142500.0,10000.0,78400.0,3788.0,2279.2,18940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000.0,150000.0,0.0
19_Dec,15257.0,94038.0,9400.0,12259.5,126500.0,13800.0,102000.0,7968.0,3241.6,39840.0,2300.0,272250.0,0.0,0.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_Feb,29724.5,141232.0,1962.5,9058.0,253800.0,20850.0,23500.0,10120.0,2245.6,50600.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_Jan,113624.0,96614.4,14532.5,9153.6,227800.0,2100.0,130900.0,300.0,2992.8,1500.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_Jul,15651.5,152203.0,12650.0,8050.75,155100.0,1000.0,0.0,10480.0,2860.0,52400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_Jun,29727.5,92354.0,22925.0,8088.5,119700.0,300.0,0.0,11520.0,2668.8,57600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_Mar,68083.5,89014.0,15320.0,7253.5,224800.0,4400.0,20000.0,6360.0,2760.0,31800.0,400.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_May,30502.5,61065.0,8850.0,7766.25,203300.0,10700.0,116500.0,7240.0,1830.4,36200.0,200.0,0.0,0.0,0.0,8032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_Nov,18492.5,97145.0,2650.0,13036.25,146500.0,22700.0,76000.0,7000.0,2522.4,35000.0,400.0,269600.0,0.0,5150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_Oct,16235.0,56925.0,27700.0,6731.25,149600.0,21500.0,16500.0,9160.0,3052.0,45800.0,2000.0,341000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19_Sep,1207.5,72553.0,6300.0,6888.25,165400.0,31800.0,66000.0,9860.0,1699.2,49300.0,1300.0,0.0,20000.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
