,Date,Sulfa-Trimetho,Amoxy-Clav,Gentamicin,Cefuroxime,Ciprofloxacin,Cefotaxime,Ampicillin,Ceftazidime,Cefepime,Cefoxitin,Tetracycline,Amikacin,Tobramycin,Azithromycin,Penicillin,Nitrofurantoin,Pip-Tazo,Clindamycin,Levofloxacin,Imipenem,Meropenem,Tigecycline,Cloxacillin,Fucidin,Rifampicin,Moxifloxacin,Fosfomycin,Doripenem,Teicoplanin,Colistin,Ertapenem,Ofloxacin,Vancomycin,Streptomycin HL,Chloramphenicol,Voriconazole,Mupirocin,Naladixiic Acid,Telithromycin,Fluconazole,Ceftazidime-avibactam,Minocycline,Daptomycin
0,2018-01-01,0.3333333333333333,0.4,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,None,0.0,0.0,None,None,0.0,0.0,None,0.0,0.0,0.0,None,None,None,None,None,0.0,0.0,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
1,2018-01-02,0.2,0.125,0.5,0.0,0.2,0.5,0.0,0.5,0.5,0.0,None,0.5,1.0,None,None,0.2,0.5,None,0.0,1.0,0.5,0.0,None,None,None,None,0.0,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
2,2018-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,None,None,None,0.0,0.0,None,None,0.0,0.0,0.0,None,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
3,2018-01-04,0.0,0.0,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,0.0,None,None,0.0,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,1.0,None,None,None
4,2018-01-05,0.4,0.14285714285714285,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
5,2018-01-06,0.0,0.6666666666666666,0.0,0.5,0.0,0.0,None,None,0.0,0.5,0.0,0.0,None,1.0,None,0.0,None,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,None,None,0.0,None,None,None,0.0,None,None,None,None,None,None,1.0,None,None,None
6,2018-01-07,0.6666666666666666,0.6,0.0,0.75,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,None,1.0,None,0.0,0.5,None,1.0,0.0,0.0,0.0,None,None,None,0.0,0.0,0.0,None,None,0.0,None,None,None,None,None,None,None,1.0,None,None,None,None
7,2018-01-08,0.5,0.3333333333333333,None,0.0,0.0,0.0,0.0,None,None,0.0,None,None,None,None,None,0.0,None,None,0.0,0.0,0.0,None,None,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,2018-01-09,0.5555555555555556,0.2727272727272727,0.25,0.0,0.375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.2,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,None,0.0,None,None,None,None,None,1.0,None,None,None,None
9,2018-01-10,0.42857142857142855,0.46153846153846156,0.0,0.375,0.14285714285714285,0.0,1.0,0.0,0.0,0.14285714285714285,None,0.0,0.0,None,None,0.16666666666666666,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,0.0,0.0,None,None,0.0,None,None,None,None,None,None,None,None,1.0,None,None,None
10,2018-01-11,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,None,0.0,None,1.0,1.0,0.0,0.0,1.0,None,0.0,0.0,0.0,1.0,0.0,0.0,None,None,None,0.0,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
11,2018-01-12,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,None,0.0,None,None,None,0.0,0.3333333333333333,None,None,0.0,0.0,0.0,None,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
12,2018-01-13,0.0,0.0,0.0,0.0,1.0,None,None,None,None,0.0,None,None,None,None,None,0.0,None,None,1.0,None,None,None,0.0,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13,2018-01-14,0.42857142857142855,0.6428571428571429,0.0,0.4444444444444444,0.125,0.4,0.5,0.5,0.4,0.5,None,0.0,0.3333333333333333,None,None,0.4,0.75,None,0.0,0.0,0.0,0.5,None,None,None,None,0.0,0.0,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
14,2018-01-15,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,None,None,None,0.0,0.0,None,None,0.5,1.0,0.0,None,0.0,0.0,None,None,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,None,None,None,0.0,None,None,None,None,None,1.0,None,None,None,None
15,2018-01-16,0.8333333333333334,0.5833333333333334,0.25,0.42857142857142855,0.5,0.5,1.0,0.0,0.5,0.3333333333333333,None,0.0,None,None,None,0.2857142857142857,0.0,None,0.3333333333333333,0.0,0.0,None,None,None,None,None,0.0,0.0,None,None,0.0,None,None,None,None,None,None,None,None,1.0,None,None,None
16,2018-01-17,0.0,0.6666666666666666,None,0.0,0.0,0.0,None,None,None,0.0,1.0,None,None,0.0,1.0,0.0,None,0.0,0.0,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
17,2018-01-18,0.4,0.3333333333333333,0.5,0.5,0.2,0.2,None,0.0,0.5,1.0,0.3333333333333333,0.0,None,0.6666666666666666,None,1.0,0.0,None,1.0,0.0,0.0,0.0,None,None,None,0.3333333333333333,1.0,0.0,None,None,0.0,None,None,None,None,None,None,None,0.6666666666666666,None,None,None,None
18,2018-01-19,0.6666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.25,0.5,1.0,0.5,0.5,0.0,0.0,0.0,None,0.0,None,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
19,2018-01-20,0.8333333333333334,0.4444444444444444,0.0,0.25,0.2,0.0,1.0,0.0,0.0,0.2,None,0.0,None,None,None,0.0,0.0,None,0.25,0.0,0.0,0.0,None,None,None,None,0.0,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
20,2018-01-21,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,None,0.0,None,None,0.25,1.0,None,None,0.5,None,None,None,None,0.5,0.5,0.5,0.0,None,None,0.0,None,None,None,0.0,None,None,None,None,None,0.0,None,None,None,None
21,2018-01-22,0.0,0.0,0.0,0.0,0.0,None,None,None,None,0.0,0.0,None,None,0.0,None,0.0,None,0.0,0.0,None,None,None,0.0,0.0,0.0,0.0,0.0,None,0.0,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None
22,2018-01-23,0.3333333333333333,0.2857142857142857,0.0,0.14285714285714285,0.16666666666666666,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
23,2018-01-24,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,None,0.5,None,0.0,0.0,1.0,None,None,0.0,0.0,0.0,0.0,0.0,None,0.0,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
24,2018-01-25,0.6,0.25,0.0,0.0,0.0,0.0,None,None,None,0.0,0.0,None,None,0.5,None,0.0,None,0.0,0.0,None,None,None,0.0,0.0,0.0,0.0,0.0,None,0.0,None,None,None,0.0,None,None,None,None,None,1.0,None,None,None,None
25,2018-01-26,0.4,0.375,0.0,0.42857142857142855,0.0,0.0,1.0,0.0,0.0,0.2,None,0.0,None,None,None,0.4,0.0,None,0.0,0.0,0.0,0.0,None,None,None,None,0.0,0.0,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
26,2018-01-27,0.2,0.3333333333333333,0.0,0.0,0.0,0.5,None,0.0,0.0,0.0,0.0,0.0,None,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,None,None,0.0,None,None,None,0.0,None,None,None,None,0.0,None,None,None,None,None
27,2018-01-28,0.8,0.5714285714285714,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,None,0.0,None,None,None,0.25,0.0,None,0.0,0.0,0.0,1.0,None,None,None,None,0.0,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,0.0,None
28,2018-01-29,0.0,0.4,0.5,0.4,0.0,0.5,1.0,0.5,0.5,0.0,None,0.0,None,None,None,0.5,0.5,None,0.0,0.0,0.0,0.0,None,None,None,None,0.0,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
29,2018-01-30,0.25,0.4,0.0,0.0,0.3333333333333333,None,None,0.0,0.0,0.0,0.5,0.0,0.0,0.5,None,0.0,0.0,0.5,0.3333333333333333,0.0,0.0,None,0.0,0.5,0.0,0.0,0.0,0.0,0.0,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None
30,2018-01-31,0.25,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.25,0.25,0.0,0.0,0.3333333333333333,0.25,None,0.0,None,0.0,0.0,0.75,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,None,None,None,None,1.0,0.0,None,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
31,2018-02-01,0.25,0.6,0.2,0.8571428571428571,0.2,0.25,1.0,0.2,0.2,0.6666666666666666,None,0.25,0.5,None,None,0.0,0.0,None,None,0.0,0.0,0.0,None,None,None,None,None,0.0,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
32,2018-02-02,1.0,1.0,1.0,1.0,0.5,1.0,None,None,1.0,1.0,None,0.0,None,None,None,0.0,0.0,None,0.5,0.0,0.0,None,None,None,None,None,0.0,0.0,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
33,2018-02-03,1.0,None,0.0,None,0.0,None,None,0.0,0.0,None,None,0.0,0.0,None,None,None,0.0,None,None,0.0,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
34,2018-02-04,0.0,0.5,None,0.0,0.0,None,None,None,None,0.0,None,None,None,None,None,0.0,None,None,0.0,None,None,None,None,None,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
35,2018-02-05,0.25,0.125,1.0,0.0,0.2,0.0,None,0.0,0.0,0.0,0.0,0.0,0.0,1.0,None,0.0,0.0,None,0.0,0.0,0.0,0.0,None,None,None,0.0,0.0,0.0,None,None,None,None,None,None,None,None,None,None,1.0,None,None,None,None
36,2018-02-06,0.0,0.14285714285714285,0.0,0.0,0.16666666666666666,0.0,None,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.5,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,None,0.0,None,None,None,None,None,0.0,None,None,None,None
37,2018-02-07,0.7,0.3125,0.4,0.36363636363636365,0.4,0.3333333333333333,1.0,0.4,0.6,0.4,0.0,0.4,0.6666666666666666,1.0,None,0.3333333333333333,0.25,None,0.0,0.2,0.0,0.0,None,None,None,0.0,None,0.0,0.0,None,0.0,None,0.0,1.0,None,0.0,None,None,1.0,0.0,None,0.0,None
38,2018-02-08,0.8333333333333334,0.5454545454545454,0.4,0.2222222222222222,0.0,0.2857142857142857,0.0,0.4,0.4,0.3333333333333333,1.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.2,None,None,None,None,0.0,0.0,None,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
39,2018-02-09,0.25,0.5,0.0,0.0,0.0,None,None,None,None,0.0,0.0,None,None,0.5,1.0,0.0,None,0.5,0.0,None,None,0.0,0.5,0.0,0.5,0.5,0.0,None,0.0,None,None,None,0.0,None,None,None,None,None,None,None,None,None,0.0
40,2018-02-10,0.75,0.5,0.0,0.16666666666666666,0.5,0.25,0.0,0.0,0.25,0.25,None,0.25,0.0,None,None,0.3333333333333333,0.0,None,1.0,0.0,0.0,0.0,None,None,None,None,0.0,0.0,None,None,0.0,None,None,None,None,None,None,None,None,None,None,None,None
41,2018-02-11,0.6,0.375,0.25,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,None,0.0,0.5,0.0,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,None,0.0,None,0.0,None,None,None,None,None,None,None,None,None,None
