0,Class A
Flumequine (Site 4),Quinolone
Amoxicilloic acid (Site 6),Penicillin
N-desmethyl clarithromycin  (Site 6),Macrolide
Hydroxy-metronidazole  (Site 6),Azole
N-desmethyl clarithromycin  (Site 2),Macrolide
Ceftiofur (Site 2),Cefalosporin
N-desmethyl clindamycin  (Site 6),Lincomycin
Lamivudine (Site 2),NRTI
Delamanid (Site 2),Nitroimidazole
Sulfamethoxazole (Site 6),Sulfonamide
Acetyl-isoniazid  (Site 2),Isoniazid
Cefixime (Site 2),Cefalosporin
25-desacetyl rifampicin  (Site 6),Rifamycin
Amoxicillin (Site 6),Penicillin
Lamivudine (Site 4),NRTI
4-hydroxy-trimethoprim  (Site 4),Trimethoprim
Gatifloxacin (Site 2),Quinolone
Streptomycin A (Site 4),Aminoglycoside
Ceftriaxone (Site 4),Cefalosporin
Azithromycin (Site 6),Macrolide
Linezolid (Site 6),Oxazolidinone
Ciprofloxacin (Site 2),Quinolone
Cefalexin (Site 6),Cefalosporin
Sulfasalazine (Site 4),Sulfonamides
Capreomycin IA (Site 2),Aminoglycoside
