Features,Ranking
Flumequine_site4,1
Amoxicilloic acid_site6,2
N-desmethyl clarithromycin _site6,3
Hydroxy-metronidazole _site6,4
N-desmethyl clarithromycin _site2,5
Ceftiofur_site2,6
N-desmethyl clindamycin _site6,7
Lamivudine_site2,8
Delamanid_site2,9
Sulfamethoxazole_site6,10
Acetyl-isoniazid _site2,11
Cefixime_site2,12
25-desacetyl rifampicin _site6,13
Amoxicillin_site6,14
Lamivudine_site4,15
4-hydroxy-trimethoprim _site4,16
Gatifloxacin_site2,17
Streptomycin A_site4,18
Ceftriaxone_site4,19
Azithromycin_site6,20
Linezolid_site6,21
Ciprofloxacin_site2,22
Cefalexin_site6,23
Sulfasalazine_site4,24
Capreomycin IA_site2,25
Amoxicillin_site4,26
N-acetyl sulfamethoxazole _site6,27
Pyrazinamide_site6,28
Clarithromycin_site4,29
Nalidixic acid_site6,30
Doxycycline _site4,31
Emtricitabine_site4,32
Ethambutol_site2,33
25-desacetyl rifampicin _site4,34
Isonicotinic acid_site2,35
Penicillin V_site2,36
Trimethoprim_site2,37
Acetyl-isoniazid _site4,38
Ceftriaxone_site6,39
Norfloxacin_site4,40
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",41
N-acetyl sulfadiazine _site6,42
Desmethyl-ofloxacin _site4,43
Capreomycin IA_site6,44
Deacetyl-ketoconazole _site4,45
Nalidixic acid_site4,46
Flucloxacillin_site4,47
Prulifloxacin_site4,48
Oxytetracycline_site2,49
Ofloxacin (Levofloxacin)_site6,50
Ciprofloxacin_site4,51
Prulifloxacin_site2,52
N-demethyl erythromycin_site4,53
Kanamycin A_site2,54
Sulfamethoxazole_site4,55
Oxytetracycline_site6,56
Ofloxacin N-oxide_site6,57
Tetracycline_site6,58
Capreomycin IB_site6,59
Kanamycin A_site4,60
Danofloxacin_site6,61
Capreomycin IA_site4,62
Gentamycin C1_site6,63
Imipenem_site2,64
Nitrofurantoin_site6,65
Bedaquiline_site4,66
Kanamycin A_site6,67
Doxycycline _site6,68
Ceftiofur_site6,69
Ampicillin_site4,70
Ulifloxacin_site4,71
Rifabutin_site2,72
Tetracycline_site4,73
Gentamycin C2 C2a C2b_site2,74
Hydroxy-norfloxacin _site6,75
N-desmethyl azithromycin _site4,76
Lamivudine_site6,77
Ampicillin_site6,78
Ofloxacin N-oxide_site2,79
Gentamycin C1_site2,80
Enrofloxacin_site2,81
Ethambutol_site6,82
Metronidazole_site6,83
N-acetyl sulfapyridine _site6,84
25-O-desacetyl rifabutin _site2,85
Cefalexin_site2,86
Lomefloxacin_site4,87
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",88
Meropenem_site4,89
Emtricitabine_site6,90
Prulifloxacin_site6,91
Hydroxy-metronidazole _site2,92
Amoxicilloic acid_site2,93
Sulfadiazine_site4,94
Linezolid_site4,95
Clarithromycin_site2,96
Ciprofloxacin_site6,97
Isoniazid_site6,98
Ampicilloic acid_site6,99
Erythromycin_site6,100
Gentamycin C1a_site2,101
Emtricitabine_site2,102
Erythromycin_site2,103
Bedaquiline_site2,104
Acetyl-isoniazid _site6,105
Florfenicol_site6,106
Erythromycin_site4,107
Penicillin G_site4,108
Sulfapyridine_site6,109
Nadifloxacin_site6,110
Lomefloxacin_site2,111
Sulfadiazine_site6,112
Metronidazole_site2,113
Desmethyl-ofloxacin _site6,114
Gentamycin C1a_site6,115
N-desmethyl clarithromycin _site4,116
Pyrazinamide_site2,117
Nadifloxacin_site2,118
Cefalexin_site4,119
N-desmethyl clindamycin _site2,120
Hydroxy-metronidazole _site4,121
Ampicillin_site2,122
Gentamycin C2 C2a C2b_site4,123
Aztreonam_site6,124
Ketoconazole_site2,125
Desmethyl-ofloxacin _site2,126
Nadifloxacin_site4,127
Delamanid_site6,128
Sulfadiazine_site2,129
Ampicilloic acid_site4,130
Cefixime_site6,131
N-desmethyl azithromycin _site6,132
Desethylene ciprofloxacin_site6,133
Moxifloxacin_site2,134
Moxifloxacin_site6,135
Gatifloxacin_site4,136
Cefixime_site4,137
Moxifloxacin_site4,138
D-cycloserine_site2,139
Isonicotinic acid_site6,140
Penicillin V_site6,141
Bedaquiline_site6,142
Clindamycin_site2,143
N-demethyl erythromycin_site6,144
Sulfasalazine_site2,145
Desethylene ciprofloxacin_site2,146
D-cycloserine_site4,147
Aztreonam_site4,148
25-O-desacetyl rifabutin _site4,149
Penicilloic G acid_site6,150
Besifloxacin_site4,151
Trimethoprim_site4,152
Imipenem_site6,153
Linezolid_site2,154
Deacetyl-ketoconazole _site2,155
Capreomycin IB_site2,156
Ceftriaxone_site2,157
N-acetyl sulfadiazine _site2,158
Sulfapyridine_site4,159
Doxycycline _site2,160
D-cycloserine_site6,161
Penicillin V_site4,162
Meropenem_site6,163
Isonicotinic acid_site4,164
N-desmethyl azithromycin _site2,165
N-desmethyl clindamycin _site4,166
Hydroxy-norfloxacin _site4,167
Enrofloxacin_site4,168
Chloramphenicol_site6,169
Sarafloxacin_site6,170
Nitrofurantoin_site4,171
Thalidomide_site2,172
Deacetyl-ketoconazole _site6,173
Aztreonam_site2,174
Ofloxacin (Levofloxacin)_site2,175
Amoxicillin_site2,176
Delamanid_site4,177
Azithromycin_site4,178
Ethambutol_site4,179
Besifloxacin_site6,180
Flumequine_site6,181
Gentamycin C2 C2a C2b_site6,182
Hydroxy-norfloxacin _site2,183
Danofloxacin_site4,184
Penicillin G_site2,185
Gatifloxacin_site6,186
Penicillin G_site6,187
N-acetyl sulfamethoxazole _site2,188
Sulfasalazine_site6,189
Nalidixic acid_site2,190
Enrofloxacin_site6,191
N-acetyl sulfapyridine _site2,192
Flucloxacillin_site6,193
Norfloxacin_site2,194
Clindamycin_site6,195
Imipenem_site4,196
Thalidomide_site4,197
Flumequine_site2,198
Rifabutin_site4,199
Oxytetracycline_site4,200
Capreomycin IB_site4,201
Sarafloxacin_site4,202
N-demethyl erythromycin_site2,203
Meropenem_site2,204
Amoxicilloic acid_site4,205
25-desacetyl rifampicin _site2,206
Florfenicol_site4,207
Ofloxacin N-oxide_site4,208
Streptomycin A_site2,209
Sarafloxacin_site2,210
Penicilloic G acid_site4,211
Rifampicin_site4,212
Norfloxacin_site6,213
Rifabutin_site6,214
4-hydroxy-trimethoprim _site6,215
N-acetyl sulfamethoxazole _site4,216
Isoniazid_site4,217
Gentamycin C1a_site4,218
Clarithromycin_site6,219
Florfenicol_site2,220
