0,Class A
Trimethoprim (Site 2),Trimethoprim
Lamivudine (Site 2),NRTI
Cefixime (Site 2),Cefalosporin
N-desmethyl clindamycin  (Site 6),Lincomycin
Delamanid (Site 2),Nitroimidazole
Amoxicillin (Site 6),Penicillin
N-desmethyl clarithromycin  (Site 6),Macrolide
N-desmethyl clarithromycin  (Site 2),Macrolide
Hydroxy-metronidazole  (Site 6),Azole
Capreomycin IA (Site 6),Aminoglycoside
Pyrazinamide (Site 6),Pyrazinamide
Emtricitabine (Site 2),NRTI
Kanamycin A (Site 4),Aminoglycoside
Nalidixic acid (Site 6),Quinolone
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
Flumequine (Site 4),Quinolone
Ceftiofur (Site 6),Cefalosporin
25-desacetyl rifampicin  (Site 6),Rifamycin
Acetyl-isoniazid  (Site 4),Isoniazid
Gatifloxacin (Site 2),Quinolone
Ceftriaxone (Site 4),Cefalosporin
Amoxicilloic acid (Site 6),Penicillin
Thalidomide (Site 6),Thalidomide
Lamivudine (Site 4),NRTI
Clarithromycin (Site 4),Macrolide
