Features,Ranking
Trimethoprim_site2,1
Lamivudine_site2,2
Cefixime_site2,3
N-desmethyl clindamycin _site6,4
Delamanid_site2,5
Amoxicillin_site6,6
N-desmethyl clarithromycin _site6,7
N-desmethyl clarithromycin _site2,8
Hydroxy-metronidazole _site6,9
Capreomycin IA_site6,10
Pyrazinamide_site6,11
Emtricitabine_site2,12
Kanamycin A_site4,13
Nalidixic acid_site6,14
4-hydroxy-trimethoprim _site2,15
Flumequine_site4,16
Ceftiofur_site6,17
25-desacetyl rifampicin _site6,18
Acetyl-isoniazid _site4,19
Gatifloxacin_site2,20
Ceftriaxone_site4,21
Amoxicilloic acid_site6,22
Thalidomide_site6,23
Lamivudine_site4,24
Clarithromycin_site4,25
Linezolid_site6,26
Danofloxacin_site6,27
Ceftiofur_site2,28
25-O-desacetyl rifabutin _site6,29
Streptomycin A_site4,30
4-hydroxy-trimethoprim _site4,31
Nitrofurantoin_site6,32
Sulfasalazine_site4,33
Cefalexin_site6,34
Desethylene ciprofloxacin_site4,35
Azithromycin_site4,36
Ciprofloxacin_site6,37
Enrofloxacin_site6,38
Azithromycin_site2,39
Acetyl-isoniazid _site2,40
Bedaquiline_site2,41
Doxycycline _site4,42
Meropenem_site6,43
25-desacetyl rifampicin _site4,44
Ethambutol_site4,45
Flucloxacillin_site4,46
Thalidomide_site4,47
Ofloxacin N-oxide_site6,48
Tetracycline_site6,49
Sarafloxacin_site6,50
Prulifloxacin_site4,51
Azithromycin_site6,52
Ketoconazole_site6,53
Ethambutol_site6,54
Norfloxacin_site4,55
N-acetyl sulfadiazine _site6,56
Rifabutin_site4,57
Ofloxacin N-oxide_site2,58
Ciprofloxacin_site4,59
Capreomycin IA_site2,60
Sulfamethoxazole_site4,61
Lomefloxacin_site2,62
N-demethyl erythromycin_site6,63
Oxytetracycline_site4,64
Deacetyl-ketoconazole _site4,65
Moxifloxacin_site4,66
Isonicotinic acid_site2,67
Oxytetracycline_site2,68
Sulfasalazine_site2,69
Hydroxy-norfloxacin _site6,70
Amoxicilloic acid_site4,71
Penicillin G_site2,72
Emtricitabine_site6,73
Metronidazole_site6,74
Danofloxacin_site4,75
Gatifloxacin_site4,76
Desmethyl-ofloxacin _site4,77
Isoniazid_site6,78
Lomefloxacin_site6,79
Ofloxacin (Levofloxacin)_site6,80
Tetracycline_site2,81
Ampicillin_site6,82
Imipenem_site6,83
Imipenem_site4,84
Trimethoprim_site4,85
Erythromycin_site6,86
N-demethyl erythromycin_site2,87
Ulifloxacin_site4,88
Sulfapyridine_site4,89
Capreomycin IB_site4,90
Besifloxacin_site6,91
4-hydroxy-trimethoprim _site6,92
N-desmethyl azithromycin _site4,93
Ofloxacin N-oxide_site4,94
Desmethyl-ofloxacin _site6,95
Sulfamethoxazole_site6,96
Desmethyl-ofloxacin _site2,97
Nalidixic acid_site4,98
Sulfasalazine_site6,99
Sarafloxacin_site2,100
Nadifloxacin_site6,101
Ketoconazole_site4,102
Norfloxacin_site6,103
Tetracycline_site4,104
Meropenem_site4,105
Hydroxy-norfloxacin _site2,106
Oxytetracycline_site6,107
N-demethyl erythromycin_site4,108
Nitrofurantoin_site2,109
Flumequine_site6,110
Rifabutin_site6,111
Sarafloxacin_site4,112
Pyrazinamide_site4,113
Chloramphenicol_site2,114
Ceftriaxone_site6,115
N-acetyl sulfamethoxazole _site4,116
Moxifloxacin_site6,117
Amoxicillin_site4,118
N-acetyl sulfamethoxazole _site6,119
Emtricitabine_site4,120
Delamanid_site4,121
Doxycycline _site6,122
Trimethoprim_site6,123
Sulfadiazine_site4,124
Penicilloic G acid_site4,125
Ketoconazole_site2,126
Ceftriaxone_site2,127
Gentamycin C1a_site4,128
Capreomycin IB_site6,129
Penicilloic G acid_site6,130
Ethambutol_site2,131
D-cycloserine_site4,132
Prulifloxacin_site6,133
Kanamycin A_site2,134
Gentamycin C2 C2a C2b_site4,135
Flumequine_site2,136
25-O-desacetyl rifabutin _site4,137
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",138
Rifabutin_site2,139
Penicillin V_site4,140
Streptomycin A_site2,141
Prulifloxacin_site2,142
Enrofloxacin_site2,143
Besifloxacin_site2,144
N-acetyl sulfadiazine _site2,145
Pyrazinamide_site2,146
Cefalexin_site2,147
Ampicillin_site4,148
Flucloxacillin_site6,149
Lamivudine_site6,150
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",151
Hydroxy-metronidazole _site2,152
N-acetyl sulfapyridine _site6,153
Gentamycin C1a_site2,154
Penicillin G_site4,155
Clarithromycin_site2,156
Rifampicin_site2,157
Ciprofloxacin_site2,158
Erythromycin_site2,159
N-desmethyl clarithromycin _site4,160
Metronidazole_site4,161
Ceftiofur_site4,162
Linezolid_site4,163
Gentamycin C1_site2,164
Rifampicin_site4,165
Cefalexin_site4,166
Ampicilloic acid_site4,167
Cefixime_site4,168
Clindamycin_site4,169
Clarithromycin_site6,170
Norfloxacin_site2,171
Capreomycin IA_site4,172
N-desmethyl azithromycin _site6,173
Metronidazole_site2,174
Nadifloxacin_site4,175
Aztreonam_site6,176
Sulfadiazine_site6,177
N-desmethyl clindamycin _site2,178
Sulfadiazine_site2,179
Moxifloxacin_site2,180
Ampicillin_site2,181
Isoniazid_site2,182
D-cycloserine_site2,183
Delamanid_site6,184
Besifloxacin_site4,185
Clindamycin_site2,186
Nadifloxacin_site2,187
Penicillin V_site2,188
Deacetyl-ketoconazole _site2,189
Gentamycin C1a_site6,190
Bedaquiline_site6,191
Capreomycin IB_site2,192
Kanamycin A_site6,193
N-acetyl sulfapyridine _site4,194
Sulfapyridine_site6,195
Acetyl-isoniazid _site6,196
N-desmethyl azithromycin _site2,197
Doxycycline _site2,198
D-cycloserine_site6,199
Linezolid_site2,200
N-desmethyl clindamycin _site4,201
Chloramphenicol_site4,202
Desethylene ciprofloxacin_site2,203
Deacetyl-ketoconazole _site6,204
Erythromycin_site4,205
Streptomycin A_site6,206
Hydroxy-norfloxacin _site4,207
Florfenicol_site6,208
Nitrofurantoin_site4,209
Aztreonam_site2,210
Ofloxacin (Levofloxacin)_site4,211
Thalidomide_site2,212
Ofloxacin (Levofloxacin)_site2,213
Bedaquiline_site4,214
Gentamycin C2 C2a C2b_site6,215
Ampicilloic acid_site6,216
N-acetyl sulfapyridine _site2,217
Penicillin G_site6,218
Chloramphenicol_site6,219
Penicillin V_site6,220
Sulfapyridine_site2,221
Florfenicol_site4,222
Clindamycin_site6,223
Nalidixic acid_site2,224
Enrofloxacin_site4,225
Flucloxacillin_site2,226
Lomefloxacin_site4,227
Gentamycin C1_site6,228
N-acetyl sulfamethoxazole _site2,229
Isonicotinic acid_site4,230
Isonicotinic acid_site6,231
Sulfamethoxazole_site2,232
Penicilloic G acid_site2,233
Meropenem_site2,234
Isoniazid_site4,235
Aztreonam_site4,236
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",237
Amoxicilloic acid_site2,238
Hydroxy-metronidazole _site4,239
25-O-desacetyl rifabutin _site2,240
Rifampicin_site6,241
Gentamycin C2 C2a C2b_site2,242
Imipenem_site2,243
Ulifloxacin_site6,244
Gatifloxacin_site6,245
Amoxicillin_site2,246
Desethylene ciprofloxacin_site6,247
25-desacetyl rifampicin _site2,248
Cefixime_site6,249
Florfenicol_site2,250
5-Hydroxy-pyrazinoic acid _site2,251
N-acetyl sulfadiazine _site4,252
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site2",253
Ampicilloic acid_site2,254
Danofloxacin_site2,255
Ulifloxacin_site2,256
Gentamycin C1_site4,257
5-Hydroxy-pyrazinoic acid _site4,258
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site4",259
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site6",260
