0,Class A
Amoxicilloic acid (Site 6),Penicillin
N-desmethyl clarithromycin  (Site 6),Macrolide
Hydroxy-metronidazole  (Site 6),Azole
Flumequine (Site 4),Quinolone
N-desmethyl clarithromycin  (Site 2),Macrolide
Ciprofloxacin (Site 2),Quinolone
Ceftiofur (Site 2),Cefalosporin
N-desmethyl clindamycin  (Site 6),Lincomycin
Sulfamethoxazole (Site 6),Sulfonamide
25-desacetyl rifampicin  (Site 6),Rifamycin
Cefixime (Site 2),Cefalosporin
Delamanid (Site 2),Nitroimidazole
Capreomycin IA (Site 2),Aminoglycoside
Lamivudine (Site 2),NRTI
Acetyl-isoniazid  (Site 2),Isoniazid
4-hydroxy-trimethoprim  (Site 4),Trimethoprim
Streptomycin A (Site 4),Aminoglycoside
Lamivudine (Site 4),NRTI
Nalidixic acid (Site 6),Quinolone
Gatifloxacin (Site 2),Quinolone
Ceftriaxone (Site 4),Cefalosporin
Emtricitabine (Site 4),NRTI
N-acetyl sulfamethoxazole  (Site 6),Sulfonamide
N-acetyl sulfadiazine  (Site 6),Sulfonamide
Amoxicillin (Site 6),Penicillin
