Features,Ranking
Amoxicilloic acid_site6,1
N-desmethyl clarithromycin _site6,2
Hydroxy-metronidazole _site6,3
Flumequine_site4,4
N-desmethyl clarithromycin _site2,5
Ciprofloxacin_site2,6
Ceftiofur_site2,7
N-desmethyl clindamycin _site6,8
Sulfamethoxazole_site6,9
25-desacetyl rifampicin _site6,10
Cefixime_site2,11
Delamanid_site2,12
Capreomycin IA_site2,13
Lamivudine_site2,14
Acetyl-isoniazid _site2,15
4-hydroxy-trimethoprim _site4,16
Streptomycin A_site4,17
Lamivudine_site4,18
Nalidixic acid_site6,19
Gatifloxacin_site2,20
Ceftriaxone_site4,21
Emtricitabine_site4,22
N-acetyl sulfamethoxazole _site6,23
N-acetyl sulfadiazine _site6,24
Amoxicillin_site6,25
Ethambutol_site2,26
Penicillin V_site2,27
Ceftriaxone_site6,28
Azithromycin_site6,29
Sulfasalazine_site4,30
Cefalexin_site6,31
Enrofloxacin_site2,32
Desmethyl-ofloxacin _site4,33
Pyrazinamide_site6,34
Isonicotinic acid_site2,35
Rifabutin_site4,36
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",37
Kanamycin A_site4,38
25-desacetyl rifampicin _site4,39
N-desmethyl azithromycin _site4,40
Norfloxacin_site4,41
Nalidixic acid_site4,42
N-demethyl erythromycin_site4,43
Amoxicillin_site4,44
Oxytetracycline_site2,45
Ciprofloxacin_site4,46
Flucloxacillin_site4,47
Prulifloxacin_site4,48
Imipenem_site2,49
Kanamycin A_site6,50
Ampicillin_site4,51
Kanamycin A_site2,52
Lamivudine_site6,53
Capreomycin IB_site4,54
Ciprofloxacin_site6,55
Prulifloxacin_site2,56
Lomefloxacin_site4,57
Gentamycin C1_site6,58
Isoniazid_site6,59
Metronidazole_site6,60
Cefalexin_site2,61
Emtricitabine_site2,62
25-O-desacetyl rifabutin _site2,63
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",64
Gentamycin C2 C2a C2b_site2,65
Meropenem_site4,66
Ulifloxacin_site4,67
Tetracycline_site6,68
Ofloxacin (Levofloxacin)_site6,69
4-hydroxy-trimethoprim _site2,70
Doxycycline _site4,71
Bedaquiline_site4,72
Capreomycin IA_site4,73
Lomefloxacin_site2,74
Ofloxacin N-oxide_site6,75
Capreomycin IB_site6,76
Penicillin G_site2,77
Linezolid_site6,78
Hydroxy-metronidazole _site2,79
Amoxicilloic acid_site2,80
Oxytetracycline_site6,81
Trimethoprim_site2,82
D-cycloserine_site4,83
Nitrofurantoin_site6,84
Thalidomide_site6,85
Gentamycin C1_site2,86
Deacetyl-ketoconazole _site4,87
Clarithromycin_site2,88
Cefixime_site6,89
Danofloxacin_site6,90
Moxifloxacin_site4,91
Erythromycin_site2,92
Sulfamethoxazole_site4,93
Ceftiofur_site6,94
N-acetyl sulfapyridine _site6,95
Desethylene ciprofloxacin_site4,96
Metronidazole_site2,97
Doxycycline _site6,98
Penicilloic G acid_site6,99
Acetyl-isoniazid _site6,100
Azithromycin_site2,101
Bedaquiline_site2,102
Ceftriaxone_site2,103
Sulfadiazine_site6,104
N-desmethyl clarithromycin _site4,105
Hydroxy-norfloxacin _site6,106
N-desmethyl clindamycin _site2,107
Ampicillin_site6,108
Oxytetracycline_site4,109
Nitrofurantoin_site2,110
Prulifloxacin_site6,111
Ethambutol_site6,112
Danofloxacin_site4,113
Delamanid_site4,114
Linezolid_site4,115
Ampicilloic acid_site6,116
Sulfadiazine_site2,117
Moxifloxacin_site2,118
Emtricitabine_site6,119
Amoxicilloic acid_site4,120
Nadifloxacin_site6,121
D-cycloserine_site2,122
Sulfadiazine_site4,123
Florfenicol_site6,124
Clindamycin_site2,125
Aztreonam_site6,126
Besifloxacin_site4,127
Gentamycin C1a_site2,128
Deacetyl-ketoconazole _site2,129
Erythromycin_site4,130
Sulfapyridine_site6,131
Capreomycin IB_site2,132
Gentamycin C1a_site6,133
Desethylene ciprofloxacin_site2,134
Hydroxy-metronidazole _site4,135
Nadifloxacin_site2,136
Doxycycline _site2,137
Ampicillin_site2,138
N-desmethyl azithromycin _site2,139
D-cycloserine_site6,140
N-desmethyl clindamycin _site4,141
Desmethyl-ofloxacin _site6,142
Desethylene ciprofloxacin_site6,143
Amoxicillin_site2,144
Chloramphenicol_site6,145
Acetyl-isoniazid _site4,146
Cefalexin_site4,147
Hydroxy-norfloxacin _site4,148
Nadifloxacin_site4,149
N-desmethyl azithromycin _site6,150
Gentamycin C2 C2a C2b_site4,151
Nitrofurantoin_site4,152
Isonicotinic acid_site6,153
Cefixime_site4,154
Ketoconazole_site2,155
Ampicilloic acid_site4,156
Pyrazinamide_site2,157
Enrofloxacin_site6,158
Tetracycline_site4,159
N-acetyl sulfapyridine _site2,160
Thalidomide_site2,161
Ofloxacin N-oxide_site2,162
N-demethyl erythromycin_site6,163
Isonicotinic acid_site4,164
Penicillin V_site6,165
Imipenem_site4,166
Norfloxacin_site2,167
Penicilloic G acid_site4,168
Ofloxacin N-oxide_site4,169
Aztreonam_site4,170
Penicillin G_site4,171
Ofloxacin (Levofloxacin)_site2,172
Gentamycin C2 C2a C2b_site6,173
Linezolid_site2,174
Enrofloxacin_site4,175
N-acetyl sulfamethoxazole _site4,176
Moxifloxacin_site6,177
N-demethyl erythromycin_site2,178
Ketoconazole_site4,179
Rifabutin_site2,180
Sulfasalazine_site2,181
25-O-desacetyl rifabutin _site4,182
Penicillin G_site6,183
Desmethyl-ofloxacin _site2,184
N-acetyl sulfamethoxazole _site2,185
Bedaquiline_site6,186
Clarithromycin_site4,187
Nalidixic acid_site2,188
Penicillin V_site4,189
Ceftiofur_site4,190
Trimethoprim_site4,191
Gatifloxacin_site6,192
Clindamycin_site6,193
Tetracycline_site2,194
N-acetyl sulfadiazine _site2,195
Trimethoprim_site6,196
Aztreonam_site2,197
Metronidazole_site4,198
Rifabutin_site6,199
Delamanid_site6,200
25-desacetyl rifampicin _site2,201
Meropenem_site2,202
Erythromycin_site6,203
Imipenem_site6,204
25-O-desacetyl rifabutin _site6,205
Sarafloxacin_site6,206
Chloramphenicol_site2,207
Gatifloxacin_site4,208
Meropenem_site6,209
Florfenicol_site4,210
Deacetyl-ketoconazole _site6,211
Isoniazid_site4,212
Besifloxacin_site2,213
Florfenicol_site2,214
4-hydroxy-trimethoprim _site6,215
Capreomycin IA_site6,216
Ketoconazole_site6,217
Sulfapyridine_site4,218
Sulfamethoxazole_site2,219
Besifloxacin_site6,220
Ethambutol_site4,221
Flucloxacillin_site2,222
Azithromycin_site4,223
Flucloxacillin_site6,224
Pyrazinamide_site4,225
Flumequine_site6,226
Gentamycin C1a_site4,227
Penicilloic G acid_site2,228
Sulfapyridine_site2,229
Streptomycin A_site6,230
Lomefloxacin_site6,231
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",232
Ofloxacin (Levofloxacin)_site4,233
Hydroxy-norfloxacin _site2,234
Isoniazid_site2,235
Clarithromycin_site6,236
N-acetyl sulfapyridine _site4,237
Sulfasalazine_site6,238
Rifampicin_site4,239
Chloramphenicol_site4,240
Clindamycin_site4,241
Norfloxacin_site6,242
Sarafloxacin_site4,243
Rifampicin_site2,244
Flumequine_site2,245
Sarafloxacin_site2,246
Thalidomide_site4,247
Streptomycin A_site2,248
Rifampicin_site6,249
Ulifloxacin_site6,250
N-acetyl sulfadiazine _site4,251
Gentamycin C1_site4,252
5-Hydroxy-pyrazinoic acid _site2,253
Ampicilloic acid_site2,254
Ulifloxacin_site2,255
5-Hydroxy-pyrazinoic acid _site4,256
Danofloxacin_site2,257
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site2",258
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site4",259
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site6",260
5-Hydroxy-pyrazinoic acid _site6,261
