0,Class A
Capreomycin IA (Site 6),Aminoglycoside
Trimethoprim (Site 6),Trimethoprim
Cefixime (Site 2),Cefalosporin
Nitrofurantoin (Site 2),Nitrofuran
Oxytetracycline (Site 2),Cycline
Azithromycin (Site 4),Macrolide
Sulfasalazine (Site 4),Sulfonamides
Ulifloxacin (Site 4),Quinolone
Sarafloxacin (Site 6),Quinolone
Emtricitabine (Site 6),NRTI
Hydroxy-norfloxacin  (Site 6),Quinolone
N-desmethyl azithromycin  (Site 4),Macrolide
Isonicotinic acid (Site 6),Isoniazid
Ceftiofur (Site 2),Cefalosporin
Rifampicin (Site 6),Rifamycin
Kanamycin A (Site 4),Aminoglycoside
Enrofloxacin (Site 6),Quinolone
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
Capreomycin IB (Site 6),Aminoglycoside
Meropenem (Site 4),Carbapenem
Isonicotinic acid (Site 4),Isoniazid
N-acetyl sulfapyridine  (Site 6),Sulfonamide
Sarafloxacin (Site 2),Quinolone
Trimethoprim (Site 4),Trimethoprim
Prulifloxacin (Site 2),Quinolone
