0,Class A
Danofloxacin (Site 6),Quinolone
Desethylene ciprofloxacin (Site 2),Quinolone
Lamivudine (Site 4),NRTI
Ethambutol (Site 6),Ethambutol
Prulifloxacin (Site 4),Quinolone
Gentamycin C2 C2a C2b (Site 4),Aminoglycoside
Hydroxy-metronidazole  (Site 6),Azole
Ethambutol (Site 2),Ethambutol
Gentamycin C2 C2a C2b (Site 2),Aminoglycoside
Gentamycin C1a (Site 4),Aminoglycoside
Delamanid (Site 2),Nitroimidazole
Amoxicilloic acid (Site 4),Penicillin
N-acetyl sulfadiazine  (Site 6),Sulfonamide
25-desacetyl rifampicin  (Site 6),Rifamycin
Cefixime (Site 2),Cefalosporin
Linezolid (Site 6),Oxazolidinone
Prulifloxacin (Site 2),Quinolone
4-hydroxy-trimethoprim  (Site 6),Trimethoprim
Metronidazole (Site 6),Azole
Ceftriaxone (Site 6),Cefalosporin
Acetyl-isoniazid  (Site 6),Isoniazid
Trimethoprim (Site 2),Trimethoprim
Ethambutol (Site 4),Ethambutol
Ceftiofur (Site 2),Cefalosporin
25-desacetyl rifampicin  (Site 4),Rifamycin
