0,Class A
Flumequine (Site 4),Quinolone
Gentamycin C2 C2a C2b (Site 2),Aminoglycoside
Ethambutol (Site 2),Ethambutol
Ceftriaxone (Site 6),Cefalosporin
Amoxicilloic acid (Site 6),Penicillin
Prulifloxacin (Site 4),Quinolone
Lamivudine (Site 2),NRTI
Sulfasalazine (Site 6),Sulfonamides
Flucloxacillin (Site 4),Penicillin
Moxifloxacin (Site 6),Quinolone
N-desmethyl clarithromycin  (Site 6),Macrolide
Sulfapyridine (Site 4),Sulfonamide
Doxycycline  (Site 4),Cycline
Cefalexin (Site 6),Cefalosporin
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
Hydroxy-metronidazole  (Site 6),Azole
Linezolid (Site 6),Oxazolidinone
Acetyl-isoniazid  (Site 6),Isoniazid
Lamivudine (Site 4),NRTI
Ampicillin (Site 6),Penicillin
Ethambutol (Site 4),Ethambutol
Cefixime (Site 2),Cefalosporin
Besifloxacin (Site 6),Quinolone
Amoxicillin (Site 4),Penicillin
N-acetyl sulfamethoxazole  (Site 6),Sulfonamide
