0,Class A
Flumequine (Site 4),Quinolone
Gentamycin C2 C2a C2b (Site 2),Aminoglycoside
Amoxicillin (Site 6),Penicillin
Deacetyl-ketoconazole  (Site 4),Azole
Ceftriaxone (Site 4),Cefalosporin
Trimethoprim (Site 2),Trimethoprim
Amoxicilloic acid (Site 6),Penicillin
N-desmethyl clarithromycin  (Site 6),Macrolide
Ethambutol (Site 4),Ethambutol
Lamivudine (Site 4),NRTI
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
Bedaquiline (Site 4),Diarylquinoline
Pyrazinamide (Site 6),Pyrazinamide
Prulifloxacin (Site 4),Quinolone
Lamivudine (Site 2),NRTI
Gentamycin C1a (Site 4),Aminoglycoside
Lamivudine (Site 6),NRTI
Linezolid (Site 6),Oxazolidinone
Sulfamethoxazole (Site 6),Sulfonamide
Erythromycin (Site 6),Macrolide
Penicillin V (Site 2),Penicillin
Ofloxacin (Levofloxacin) (Site 6),Quinolone
Capreomycin IA (Site 6),Aminoglycoside
Ofloxacin N-oxide (Site 2),Quinolone
Rifabutin (Site 6),Rifamycin
