0,Class A
Acetyl-isoniazid  (Site 4),Isoniazid
Streptomycin A (Site 4),Aminoglycoside
25-desacetyl rifampicin  (Site 6),Rifamycin
Trimethoprim (Site 2),Trimethoprim
Flumequine (Site 4),Quinolone
Ceftriaxone (Site 4),Cefalosporin
Desethylene ciprofloxacin (Site 2),Quinolone
Capreomycin IA (Site 6),Aminoglycoside
Desmethyl-ofloxacin  (Site 6),Quinolone
Nalidixic acid (Site 6),Quinolone
N-desmethyl clarithromycin  (Site 6),Macrolide
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
Deacetyl-ketoconazole  (Site 6),Azole
25-O-desacetyl rifabutin  (Site 6),Rifamycin
Linezolid (Site 6),Oxazolidinone
Ethambutol (Site 4),Ethambutol
Lamivudine (Site 2),NRTI
Ofloxacin N-oxide (Site 2),Quinolone
25-O-desacetyl rifabutin  (Site 4),Rifamycin
Tetracycline (Site 6),Cycline
Nalidixic acid (Site 4),Quinolone
Ethambutol (Site 6),Ethambutol
Enrofloxacin (Site 4),Quinolone
4-hydroxy-trimethoprim  (Site 4),Trimethoprim
Pyrazinamide (Site 6),Pyrazinamide
