0,Class A
Azithromycin (Site 2),Macrolide
Rifabutin (Site 2),Rifamycin
Lamivudine (Site 4),NRTI
Aztreonam (Site 6),Monobactam
N-desmethyl clarithromycin  (Site 2),Macrolide
N-demethyl erythromycin (Site 6),Macrolide
Oxytetracycline (Site 6),Cycline
Ethambutol (Site 2),Ethambutol
N-acetyl sulfamethoxazole  (Site 4),Sulfonamide
Desethylene ciprofloxacin (Site 2),Quinolone
Capreomycin IB (Site 4),Aminoglycoside
Aztreonam (Site 4),Monobactam
N-desmethyl clarithromycin  (Site 6),Macrolide
Ceftriaxone (Site 2),Cefalosporin
Amoxicilloic acid (Site 4),Penicillin
Flumequine (Site 4),Quinolone
Lamivudine (Site 2),NRTI
Penicillin G (Site 2),Penicillin
Nalidixic acid (Site 4),Quinolone
Metronidazole (Site 4),Azole
Erythromycin (Site 6),Macrolide
Emtricitabine (Site 2),NRTI
D-cycloserine (Site 4),Isoxazole
Prulifloxacin (Site 6),Quinolone
Ketoconazole (Site 4),Azole
