0,Class A
Sulfamethoxazole (Site 6),Sulfonamide
Ceftiofur (Site 2),Cefalosporin
Gentamycin C1a (Site 4),Aminoglycoside
Lamivudine (Site 4),NRTI
4-hydroxy-trimethoprim  (Site 6),Trimethoprim
Ciprofloxacin (Site 6),Quinolone
Ethambutol (Site 2),Ethambutol
N-acetyl sulfadiazine  (Site 6),Sulfonamide
Capreomycin IA (Site 2),Aminoglycoside
Acetyl-isoniazid  (Site 4),Isoniazid
Gentamycin C2 C2a C2b (Site 4),Aminoglycoside
N-desmethyl clarithromycin  (Site 2),Macrolide
Metronidazole (Site 6),Azole
Penicilloic G acid (Site 6),Penicillin
Lamivudine (Site 6),NRTI
Amoxicilloic acid (Site 4),Penicillin
Emtricitabine (Site 2),NRTI
Desmethyl-ofloxacin  (Site 6),Quinolone
Amoxicillin (Site 6),Penicillin
Tetracycline (Site 6),Cycline
Rifabutin (Site 4),Rifamycin
25-O-desacetyl rifabutin  (Site 6),Rifamycin
Kanamycin A (Site 4),Aminoglycoside
Ampicillin (Site 4),Penicillin
Lamivudine (Site 2),NRTI
