0,Class A
Cefixime (Site 2),Cefalosporin
Oxytetracycline (Site 2),Cycline
N-desmethyl clarithromycin  (Site 6),Macrolide
Sulfamethoxazole (Site 6),Sulfonamide
Clarithromycin (Site 4),Macrolide
Bedaquiline (Site 2),Diarylquinoline
Ofloxacin N-oxide (Site 2),Quinolone
Lamivudine (Site 6),NRTI
Trimethoprim (Site 2),Trimethoprim
Tetracycline (Site 6),Cycline
Desmethyl-ofloxacin  (Site 6),Quinolone
Kanamycin A (Site 4),Aminoglycoside
Ceftriaxone (Site 4),Cefalosporin
Lamivudine (Site 4),NRTI
Meropenem (Site 4),Carbapenem
Ciprofloxacin (Site 6),Quinolone
Lomefloxacin (Site 2),Quinolone
Deacetyl-ketoconazole  (Site 6),Azole
Capreomycin IA (Site 2),Aminoglycoside
4-hydroxy-trimethoprim  (Site 4),Trimethoprim
Sulfasalazine (Site 4),Sulfonamides
Amoxicilloic acid (Site 6),Penicillin
Ofloxacin N-oxide (Site 6),Quinolone
Gentamycin C2 C2a C2b (Site 2),Aminoglycoside
Erythromycin (Site 6),Macrolide
