Features,Ranking
Flucloxacillin_site4,1
Linezolid_site6,2
N-desmethyl clarithromycin _site6,3
Lamivudine_site2,4
25-desacetyl rifampicin _site4,5
Linezolid_site2,6
N-desmethyl clarithromycin _site2,7
Delamanid_site2,8
Emtricitabine_site2,9
Ceftriaxone_site4,10
Ethambutol_site2,11
N-acetyl sulfamethoxazole _site6,12
Hydroxy-metronidazole _site6,13
Nalidixic acid_site6,14
Flucloxacillin_site6,15
Chloramphenicol_site2,16
Ceftiofur_site2,17
Nitrofurantoin_site6,18
Flumequine_site4,19
Danofloxacin_site6,20
Amoxicilloic acid_site6,21
Lamivudine_site4,22
Kanamycin A_site4,23
Isonicotinic acid_site4,24
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",25
N-desmethyl clindamycin _site6,26
Penicilloic G acid_site2,27
Ciprofloxacin_site6,28
Trimethoprim_site6,29
Meropenem_site2,30
Pyrazinamide_site6,31
Prulifloxacin_site4,32
Chloramphenicol_site6,33
Kanamycin A_site6,34
Delamanid_site6,35
Gentamycin C1a_site4,36
4-hydroxy-trimethoprim _site2,37
Kanamycin A_site2,38
Gentamycin C2 C2a C2b_site4,39
Penicillin G_site4,40
Florfenicol_site4,41
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",42
Gentamycin C2 C2a C2b_site2,43
Ceftriaxone_site6,44
Isonicotinic acid_site6,45
Ofloxacin N-oxide_site2,46
Flumequine_site2,47
N-acetyl sulfadiazine _site6,48
Ampicilloic acid_site6,49
Norfloxacin_site6,50
Sulfapyridine_site2,51
Danofloxacin_site4,52
25-desacetyl rifampicin _site6,53
Enrofloxacin_site4,54
Metronidazole_site6,55
Ketoconazole_site6,56
Amoxicilloic acid_site4,57
Chloramphenicol_site4,58
Flucloxacillin_site2,59
Amoxicillin_site6,60
Rifabutin_site6,61
Streptomycin A_site4,62
Ceftiofur_site4,63
Aztreonam_site6,64
Erythromycin_site6,65
N-acetyl sulfapyridine _site4,66
Prulifloxacin_site2,67
Ofloxacin (Levofloxacin)_site4,68
Sulfamethoxazole_site2,69
Desmethyl-ofloxacin _site6,70
Deacetyl-ketoconazole _site6,71
Linezolid_site4,72
Florfenicol_site2,73
Cefixime_site2,74
Florfenicol_site6,75
Isoniazid_site4,76
Meropenem_site6,77
Desethylene ciprofloxacin_site4,78
Capreomycin IA_site2,79
Bedaquiline_site6,80
Rifampicin_site2,81
Penicilloic G acid_site6,82
Erythromycin_site4,83
Hydroxy-metronidazole _site4,84
25-desacetyl rifampicin _site2,85
Clindamycin_site4,86
N-acetyl sulfamethoxazole _site2,87
Ampicillin_site4,88
Ofloxacin N-oxide_site6,89
Deacetyl-ketoconazole _site4,90
Sulfadiazine_site4,91
Desmethyl-ofloxacin _site2,92
Azithromycin_site6,93
Trimethoprim_site2,94
Sulfapyridine_site6,95
Amoxicillin_site4,96
Nalidixic acid_site2,97
Gentamycin C1a_site6,98
Penicillin G_site6,99
Rifampicin_site4,100
Acetyl-isoniazid _site2,101
Nadifloxacin_site2,102
Nalidixic acid_site4,103
Ethambutol_site6,104
Ampicillin_site2,105
Gentamycin C2 C2a C2b_site6,106
Gentamycin C1a_site2,107
Ceftiofur_site6,108
Ofloxacin (Levofloxacin)_site2,109
Ethambutol_site4,110
Thalidomide_site2,111
Doxycycline _site6,112
Nitrofurantoin_site4,113
Emtricitabine_site6,114
Hydroxy-norfloxacin _site4,115
Nadifloxacin_site4,116
N-desmethyl azithromycin _site6,117
N-desmethyl clindamycin _site4,118
Trimethoprim_site4,119
D-cycloserine_site6,120
Doxycycline _site2,121
Sarafloxacin_site6,122
Cefixime_site4,123
N-desmethyl azithromycin _site2,124
Ampicilloic acid_site4,125
Capreomycin IB_site2,126
Deacetyl-ketoconazole _site2,127
Acetyl-isoniazid _site4,128
Ofloxacin N-oxide_site4,129
Clindamycin_site2,130
Penicillin V_site2,131
Rifabutin_site2,132
D-cycloserine_site2,133
Delamanid_site4,134
Pyrazinamide_site2,135
Besifloxacin_site4,136
Imipenem_site6,137
Moxifloxacin_site2,138
Cefalexin_site4,139
Tetracycline_site2,140
Enrofloxacin_site6,141
Sulfadiazine_site2,142
Isonicotinic acid_site2,143
N-desmethyl clindamycin _site2,144
Sulfadiazine_site6,145
Aztreonam_site2,146
Oxytetracycline_site4,147
Metronidazole_site2,148
Cefalexin_site6,149
N-desmethyl clarithromycin _site4,150
N-acetyl sulfapyridine _site2,151
Erythromycin_site2,152
Clarithromycin_site2,153
Cefixime_site6,154
Tetracycline_site6,155
Sulfasalazine_site4,156
Nitrofurantoin_site2,157
Gatifloxacin_site6,158
N-demethyl erythromycin_site4,159
Gatifloxacin_site4,160
Hydroxy-metronidazole _site2,161
Lamivudine_site6,162
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",163
Cefalexin_site2,164
Clarithromycin_site6,165
Imipenem_site4,166
N-demethyl erythromycin_site2,167
Gatifloxacin_site2,168
D-cycloserine_site4,169
Enrofloxacin_site2,170
Emtricitabine_site4,171
Lomefloxacin_site2,172
Sulfamethoxazole_site6,173
Sulfasalazine_site2,174
Ofloxacin (Levofloxacin)_site6,175
Ulifloxacin_site6,176
Imipenem_site2,177
Pyrazinamide_site4,178
Streptomycin A_site6,179
N-demethyl erythromycin_site6,180
N-acetyl sulfadiazine _site2,181
Besifloxacin_site2,182
Lomefloxacin_site4,183
Ciprofloxacin_site2,184
Rifabutin_site4,185
25-O-desacetyl rifabutin _site4,186
4-hydroxy-trimethoprim _site4,187
Bedaquiline_site2,188
Penicilloic G acid_site4,189
Rifampicin_site6,190
Penicillin V_site4,191
4-hydroxy-trimethoprim _site6,192
Sulfamethoxazole_site4,193
Desethylene ciprofloxacin_site6,194
Ampicillin_site6,195
Acetyl-isoniazid _site6,196
Sarafloxacin_site2,197
Amoxicillin_site2,198
Clarithromycin_site4,199
Sulfasalazine_site6,200
Penicillin G_site2,201
Oxytetracycline_site2,202
25-O-desacetyl rifabutin _site6,203
Aztreonam_site4,204
Azithromycin_site4,205
Norfloxacin_site2,206
Thalidomide_site4,207
Doxycycline _site4,208
25-O-desacetyl rifabutin _site2,209
Gentamycin C1_site2,210
N-acetyl sulfapyridine _site6,211
Sulfapyridine_site4,212
Tetracycline_site4,213
Penicillin V_site6,214
Prulifloxacin_site6,215
Capreomycin IA_site4,216
Moxifloxacin_site4,217
Meropenem_site4,218
Ulifloxacin_site4,219
Metronidazole_site4,220
Capreomycin IB_site6,221
Gentamycin C1_site6,222
Streptomycin A_site2,223
Nadifloxacin_site6,224
Norfloxacin_site4,225
Besifloxacin_site6,226
N-acetyl sulfamethoxazole _site4,227
Capreomycin IB_site4,228
Clindamycin_site6,229
Isoniazid_site2,230
Ketoconazole_site2,231
Ketoconazole_site4,232
Hydroxy-norfloxacin _site6,233
Oxytetracycline_site6,234
Ceftriaxone_site2,235
Azithromycin_site2,236
Desethylene ciprofloxacin_site2,237
Desmethyl-ofloxacin _site4,238
Hydroxy-norfloxacin _site2,239
Flumequine_site6,240
Bedaquiline_site4,241
Thalidomide_site6,242
Sarafloxacin_site4,243
Moxifloxacin_site6,244
Ciprofloxacin_site4,245
Amoxicilloic acid_site2,246
Isoniazid_site6,247
Capreomycin IA_site6,248
N-desmethyl azithromycin _site4,249
Lomefloxacin_site6,250
5-Hydroxy-pyrazinoic acid _site2,251
Ampicilloic acid_site2,252
Ulifloxacin_site2,253
N-acetyl sulfadiazine _site4,254
5-Hydroxy-pyrazinoic acid _site4,255
Danofloxacin_site2,256
Gentamycin C1_site4,257
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site2",258
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site4",259
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site6",260
5-Hydroxy-pyrazinoic acid _site6,261
