Features,Ranking
Desethylene ciprofloxacin_site2,1
Trimethoprim_site6,2
N-desmethyl clindamycin _site6,3
Doxycycline _site6,4
N-desmethyl clarithromycin _site2,5
25-O-desacetyl rifabutin _site6,6
Hydroxy-metronidazole _site6,7
Nalidixic acid_site4,8
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",9
Gentamycin C1a_site4,10
Danofloxacin_site4,11
Acetyl-isoniazid _site4,12
Norfloxacin_site2,13
Emtricitabine_site4,14
Sulfasalazine_site2,15
Ceftriaxone_site4,16
Ketoconazole_site6,17
Acetyl-isoniazid _site6,18
Isonicotinic acid_site4,19
Ceftiofur_site2,20
Rifabutin_site6,21
Delamanid_site2,22
Linezolid_site6,23
Nalidixic acid_site6,24
Nitrofurantoin_site2,25
N-acetyl sulfadiazine _site6,26
Oxytetracycline_site2,27
Sulfamethoxazole_site4,28
Kanamycin A_site4,29
Nitrofurantoin_site6,30
Isonicotinic acid_site6,31
Pyrazinamide_site6,32
Sulfamethoxazole_site6,33
Hydroxy-metronidazole _site4,34
Prulifloxacin_site4,35
Cefixime_site2,36
Azithromycin_site6,37
Penicilloic G acid_site4,38
N-demethyl erythromycin_site4,39
Linezolid_site2,40
Flumequine_site4,41
Emtricitabine_site2,42
4-hydroxy-trimethoprim _site4,43
Ciprofloxacin_site6,44
N-demethyl erythromycin_site2,45
Clarithromycin_site4,46
Lamivudine_site2,47
Trimethoprim_site4,48
Thalidomide_site4,49
Lomefloxacin_site2,50
Azithromycin_site2,51
N-demethyl erythromycin_site6,52
Desethylene ciprofloxacin_site6,53
Oxytetracycline_site6,54
N-desmethyl clarithromycin _site6,55
Gentamycin C2 C2a C2b_site4,56
Enrofloxacin_site6,57
Delamanid_site4,58
Emtricitabine_site6,59
Thalidomide_site6,60
Moxifloxacin_site6,61
Ceftriaxone_site6,62
D-cycloserine_site4,63
Ceftiofur_site6,64
Sarafloxacin_site4,65
Tetracycline_site2,66
Flumequine_site6,67
Isonicotinic acid_site2,68
Gatifloxacin_site2,69
Hydroxy-norfloxacin _site2,70
Amoxicillin_site6,71
Bedaquiline_site4,72
Penicillin V_site2,73
Metronidazole_site4,74
Desmethyl-ofloxacin _site6,75
N-acetyl sulfamethoxazole _site4,76
Desmethyl-ofloxacin _site4,77
Hydroxy-norfloxacin _site6,78
Besifloxacin_site6,79
Amoxicillin_site4,80
Cefalexin_site6,81
Deacetyl-ketoconazole _site6,82
N-acetyl sulfapyridine _site6,83
Sulfadiazine_site4,84
Tetracycline_site4,85
Sulfasalazine_site6,86
Ofloxacin N-oxide_site4,87
Streptomycin A_site6,88
Sulfapyridine_site4,89
25-O-desacetyl rifabutin _site2,90
N-acetyl sulfadiazine _site2,91
Lamivudine_site6,92
Penicillin G_site2,93
Ofloxacin N-oxide_site6,94
Gentamycin C1a_site2,95
Capreomycin IA_site4,96
Oxytetracycline_site4,97
Pyrazinamide_site2,98
Linezolid_site4,99
Gentamycin C1_site6,100
Cefixime_site4,101
N-desmethyl azithromycin _site6,102
Delamanid_site6,103
25-desacetyl rifampicin _site4,104
Clindamycin_site6,105
Desmethyl-ofloxacin _site2,106
Penicilloic G acid_site2,107
Ulifloxacin_site4,108
Norfloxacin_site6,109
Isoniazid_site6,110
Clarithromycin_site6,111
Ceftriaxone_site2,112
Ampicilloic acid_site4,113
Moxifloxacin_site4,114
Nadifloxacin_site4,115
Nadifloxacin_site2,116
Ciprofloxacin_site4,117
Acetyl-isoniazid _site2,118
Aztreonam_site4,119
Imipenem_site4,120
Amoxicilloic acid_site6,121
Gentamycin C1a_site6,122
Metronidazole_site6,123
Imipenem_site6,124
Meropenem_site2,125
25-desacetyl rifampicin _site6,126
Penicillin V_site6,127
Ethambutol_site6,128
Isoniazid_site2,129
Enrofloxacin_site4,130
Ampicillin_site2,131
N-acetyl sulfamethoxazole _site6,132
Nadifloxacin_site6,133
Doxycycline _site4,134
Sulfapyridine_site6,135
Streptomycin A_site2,136
Ofloxacin N-oxide_site2,137
Aztreonam_site2,138
Erythromycin_site4,139
Flumequine_site2,140
25-O-desacetyl rifabutin _site4,141
Cefixime_site6,142
Prulifloxacin_site2,143
Sulfasalazine_site4,144
Florfenicol_site6,145
Cefalexin_site4,146
Tetracycline_site6,147
Rifampicin_site2,148
Sarafloxacin_site2,149
Bedaquiline_site2,150
Rifampicin_site6,151
Ampicillin_site4,152
Ofloxacin (Levofloxacin)_site6,153
Sarafloxacin_site6,154
Amoxicilloic acid_site2,155
Ketoconazole_site4,156
Desethylene ciprofloxacin_site4,157
Florfenicol_site4,158
Pyrazinamide_site4,159
Ampicilloic acid_site6,160
N-desmethyl azithromycin _site4,161
N-acetyl sulfapyridine _site4,162
Gatifloxacin_site4,163
Lomefloxacin_site4,164
Deacetyl-ketoconazole _site4,165
Danofloxacin_site6,166
Streptomycin A_site4,167
Meropenem_site4,168
Ofloxacin (Levofloxacin)_site4,169
Chloramphenicol_site4,170
Penicilloic G acid_site6,171
Chloramphenicol_site2,172
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",173
Cefalexin_site2,174
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",175
Lomefloxacin_site6,176
Hydroxy-metronidazole _site2,177
Clarithromycin_site2,178
Erythromycin_site2,179
Rifabutin_site2,180
Sulfadiazine_site6,181
Metronidazole_site2,182
N-desmethyl clindamycin _site2,183
N-desmethyl clarithromycin _site4,184
Erythromycin_site6,185
Amoxicillin_site2,186
Kanamycin A_site6,187
4-hydroxy-trimethoprim _site6,188
Rifampicin_site4,189
Ethambutol_site4,190
Sulfadiazine_site2,191
Sulfapyridine_site2,192
Chloramphenicol_site6,193
D-cycloserine_site2,194
Moxifloxacin_site2,195
Penicillin V_site4,196
Clindamycin_site2,197
Capreomycin IB_site2,198
Ulifloxacin_site6,199
Gatifloxacin_site6,200
Penicillin G_site4,201
Deacetyl-ketoconazole _site2,202
Doxycycline _site2,203
D-cycloserine_site6,204
Gentamycin C2 C2a C2b_site2,205
Sulfamethoxazole_site2,206
Capreomycin IB_site4,207
Florfenicol_site2,208
Flucloxacillin_site2,209
Flucloxacillin_site6,210
Trimethoprim_site2,211
Gentamycin C1_site2,212
N-desmethyl clindamycin _site4,213
Isoniazid_site4,214
Besifloxacin_site2,215
N-desmethyl azithromycin _site2,216
Ceftiofur_site4,217
Capreomycin IA_site2,218
Hydroxy-norfloxacin _site4,219
Kanamycin A_site2,220
Nitrofurantoin_site4,221
Norfloxacin_site4,222
4-hydroxy-trimethoprim _site2,223
Thalidomide_site2,224
Capreomycin IA_site6,225
Besifloxacin_site4,226
Bedaquiline_site6,227
Ketoconazole_site2,228
Gentamycin C2 C2a C2b_site6,229
Lamivudine_site4,230
Flucloxacillin_site4,231
Ofloxacin (Levofloxacin)_site2,232
Capreomycin IB_site6,233
Clindamycin_site4,234
Ethambutol_site2,235
Amoxicilloic acid_site4,236
Imipenem_site2,237
Enrofloxacin_site2,238
Rifabutin_site4,239
Meropenem_site6,240
Prulifloxacin_site6,241
Ciprofloxacin_site2,242
Penicillin G_site6,243
N-acetyl sulfamethoxazole _site2,244
Aztreonam_site6,245
Nalidixic acid_site2,246
Azithromycin_site4,247
N-acetyl sulfapyridine _site2,248
Ampicillin_site6,249
25-desacetyl rifampicin _site2,250
Ampicilloic acid_site2,251
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site2",252
Ulifloxacin_site2,253
Gentamycin C1_site4,254
5-Hydroxy-pyrazinoic acid _site4,255
Danofloxacin_site2,256
5-Hydroxy-pyrazinoic acid _site2,257
N-acetyl sulfadiazine _site4,258
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site4",259
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site6",260
5-Hydroxy-pyrazinoic acid _site6,261
