Features,Ranking
Emtricitabine_site2,1
Hydroxy-metronidazole _site6,2
Ceftriaxone_site4,3
Emtricitabine_site4,4
Ceftriaxone_site6,5
Lamivudine_site2,6
4-hydroxy-trimethoprim _site4,7
N-desmethyl clarithromycin _site6,8
4-hydroxy-trimethoprim _site2,9
Sulfamethoxazole_site6,10
Gatifloxacin_site2,11
Gentamycin C1_site6,12
25-O-desacetyl rifabutin _site6,13
Ethambutol_site2,14
Nalidixic acid_site6,15
Prulifloxacin_site4,16
Linezolid_site6,17
Ethambutol_site4,18
Ceftiofur_site2,19
Delamanid_site2,20
Ampicillin_site4,21
Cefixime_site2,22
Danofloxacin_site4,23
Flumequine_site4,24
Rifabutin_site6,25
Trimethoprim_site2,26
Isonicotinic acid_site2,27
Amoxicillin_site6,28
25-desacetyl rifampicin _site4,29
Flucloxacillin_site4,30
Gentamycin C2 C2a C2b_site2,31
Penicilloic G acid_site4,32
Cefalexin_site6,33
Hydroxy-metronidazole _site4,34
Amoxicilloic acid_site6,35
N-desmethyl clindamycin _site6,36
Cefixime_site6,37
Capreomycin IA_site2,38
Bedaquiline_site4,39
4-hydroxy-trimethoprim _site6,40
25-O-desacetyl rifabutin _site2,41
Ciprofloxacin_site4,42
Lamivudine_site6,43
Ulifloxacin_site4,44
Acetyl-isoniazid _site4,45
Ofloxacin (Levofloxacin)_site6,46
Isoniazid_site6,47
Capreomycin IA_site6,48
Oxytetracycline_site6,49
Amoxicillin_site4,50
Penicilloic G acid_site6,51
Norfloxacin_site4,52
Kanamycin A_site4,53
Sulfasalazine_site6,54
Ofloxacin N-oxide_site2,55
Isonicotinic acid_site6,56
Desethylene ciprofloxacin_site6,57
Nalidixic acid_site4,58
Enrofloxacin_site4,59
Lamivudine_site4,60
Ofloxacin N-oxide_site6,61
Amoxicilloic acid_site2,62
Hydroxy-norfloxacin _site6,63
Thalidomide_site6,64
Oxytetracycline_site2,65
Erythromycin_site6,66
Doxycycline _site4,67
Nadifloxacin_site6,68
Streptomycin A_site4,69
Aztreonam_site4,70
Penicillin V_site2,71
Rifabutin_site4,72
Sarafloxacin_site4,73
Clarithromycin_site6,74
N-acetyl sulfamethoxazole _site6,75
Meropenem_site6,76
Trimethoprim_site4,77
Prulifloxacin_site2,78
Chloramphenicol_site6,79
Imipenem_site2,80
Desethylene ciprofloxacin_site4,81
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",82
25-desacetyl rifampicin _site6,83
Thalidomide_site4,84
Amoxicillin_site2,85
Chloramphenicol_site2,86
Acetyl-isoniazid _site2,87
Rifampicin_site4,88
Nitrofurantoin_site2,89
Ofloxacin N-oxide_site4,90
Kanamycin A_site2,91
Prulifloxacin_site6,92
Hydroxy-norfloxacin _site2,93
Clindamycin_site4,94
Rifampicin_site2,95
Deacetyl-ketoconazole _site6,96
Capreomycin IB_site4,97
Rifampicin_site6,98
Gentamycin C1_site2,99
Besifloxacin_site6,100
Lomefloxacin_site2,101
Delamanid_site4,102
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",103
Sulfapyridine_site4,104
Ethambutol_site6,105
Florfenicol_site6,106
Erythromycin_site4,107
Tetracycline_site4,108
N-acetyl sulfapyridine _site6,109
D-cycloserine_site4,110
Linezolid_site4,111
Sulfapyridine_site6,112
Flumequine_site6,113
Oxytetracycline_site4,114
Gentamycin C1a_site6,115
Isoniazid_site2,116
Gentamycin C2 C2a C2b_site4,117
N-acetyl sulfadiazine _site6,118
Metronidazole_site4,119
Norfloxacin_site6,120
Azithromycin_site2,121
Emtricitabine_site6,122
Nadifloxacin_site2,123
25-O-desacetyl rifabutin _site4,124
Tetracycline_site2,125
Amoxicilloic acid_site4,126
Ampicillin_site2,127
Enrofloxacin_site6,128
Penicillin V_site4,129
Streptomycin A_site6,130
Ketoconazole_site2,131
Cefalexin_site4,132
N-acetyl sulfapyridine _site4,133
Ulifloxacin_site6,134
Lomefloxacin_site4,135
Gentamycin C1a_site2,136
Meropenem_site2,137
Nadifloxacin_site4,138
Streptomycin A_site2,139
Capreomycin IB_site6,140
Ampicillin_site6,141
Penicillin G_site2,142
Acetyl-isoniazid _site6,143
Ceftiofur_site4,144
Enrofloxacin_site2,145
N-desmethyl azithromycin _site6,146
Azithromycin_site6,147
Chloramphenicol_site4,148
Cefalexin_site2,149
Sarafloxacin_site2,150
Cefixime_site4,151
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",152
Desmethyl-ofloxacin _site6,153
Ofloxacin (Levofloxacin)_site4,154
Hydroxy-metronidazole _site2,155
Ampicilloic acid_site4,156
Clindamycin_site6,157
Clarithromycin_site2,158
Erythromycin_site2,159
Bedaquiline_site6,160
Sulfadiazine_site6,161
Florfenicol_site4,162
Metronidazole_site2,163
Sulfasalazine_site2,164
N-desmethyl clarithromycin _site4,165
N-desmethyl clindamycin _site2,166
Penicillin V_site6,167
Sulfadiazine_site2,168
Moxifloxacin_site2,169
N-desmethyl azithromycin _site4,170
Norfloxacin_site2,171
Sulfadiazine_site4,172
Besifloxacin_site2,173
Ampicilloic acid_site6,174
Isonicotinic acid_site4,175
Lomefloxacin_site6,176
D-cycloserine_site2,177
Sulfapyridine_site2,178
Doxycycline _site6,179
Desmethyl-ofloxacin _site4,180
Sarafloxacin_site6,181
Clindamycin_site2,182
Azithromycin_site4,183
Besifloxacin_site4,184
Pyrazinamide_site4,185
Moxifloxacin_site6,186
Delamanid_site6,187
Deacetyl-ketoconazole _site2,188
Pyrazinamide_site2,189
Capreomycin IB_site2,190
Doxycycline _site2,191
Penicillin G_site4,192
Ketoconazole_site6,193
N-demethyl erythromycin_site2,194
N-desmethyl azithromycin _site2,195
D-cycloserine_site6,196
Sulfamethoxazole_site2,197
Linezolid_site2,198
Ciprofloxacin_site6,199
Rifabutin_site2,200
Flucloxacillin_site2,201
N-desmethyl clindamycin _site4,202
Hydroxy-norfloxacin _site4,203
Flucloxacillin_site6,204
Nitrofurantoin_site4,205
Kanamycin A_site6,206
Florfenicol_site2,207
Trimethoprim_site6,208
Thalidomide_site2,209
N-acetyl sulfamethoxazole _site4,210
Ceftriaxone_site2,211
Nitrofurantoin_site6,212
Desmethyl-ofloxacin _site2,213
Ciprofloxacin_site2,214
Isoniazid_site4,215
Gatifloxacin_site4,216
N-demethyl erythromycin_site4,217
Bedaquiline_site2,218
Ofloxacin (Levofloxacin)_site2,219
Deacetyl-ketoconazole _site4,220
Pyrazinamide_site6,221
Capreomycin IA_site4,222
Gentamycin C2 C2a C2b_site6,223
Penicilloic G acid_site2,224
Sulfamethoxazole_site4,225
Sulfasalazine_site4,226
Aztreonam_site6,227
Aztreonam_site2,228
Imipenem_site4,229
Penicillin G_site6,230
Ceftiofur_site6,231
N-demethyl erythromycin_site6,232
