Features,Ranking
Enrofloxacin_site4,1
Flumequine_site4,2
Trimethoprim_site2,3
Linezolid_site6,4
N-desmethyl clarithromycin _site2,5
N-desmethyl clarithromycin _site6,6
Lamivudine_site4,7
N-desmethyl clindamycin _site6,8
Chloramphenicol_site6,9
Chloramphenicol_site2,10
Penicilloic G acid_site2,11
Capreomycin IA_site6,12
Penicillin G_site4,13
Kanamycin A_site6,14
Acetyl-isoniazid _site4,15
Norfloxacin_site6,16
Amoxicilloic acid_site4,17
Ceftriaxone_site4,18
Flucloxacillin_site6,19
Lamivudine_site2,20
25-O-desacetyl rifabutin _site4,21
Hydroxy-metronidazole _site6,22
Amoxicilloic acid_site6,23
Delamanid_site6,24
4-hydroxy-trimethoprim _site2,25
Acetyl-isoniazid _site2,26
Pyrazinamide_site6,27
Meropenem_site2,28
Tetracycline_site4,29
Ethambutol_site4,30
Ethambutol_site2,31
Ceftiofur_site2,32
Florfenicol_site4,33
Sulfapyridine_site2,34
Prulifloxacin_site4,35
Desethylene ciprofloxacin_site4,36
Flucloxacillin_site2,37
Sulfamethoxazole_site2,38
Azithromycin_site6,39
Ceftiofur_site4,40
Florfenicol_site2,41
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",42
Isoniazid_site4,43
Nitrofurantoin_site2,44
Desmethyl-ofloxacin _site2,45
Gentamycin C2 C2a C2b_site2,46
Aztreonam_site6,47
Ampicilloic acid_site6,48
Ofloxacin (Levofloxacin)_site6,49
25-desacetyl rifampicin _site6,50
Flumequine_site2,51
Ulifloxacin_site4,52
Linezolid_site4,53
Emtricitabine_site2,54
Chloramphenicol_site4,55
25-desacetyl rifampicin _site2,56
Gatifloxacin_site4,57
Ofloxacin N-oxide_site2,58
Nalidixic acid_site2,59
Norfloxacin_site4,60
N-acetyl sulfamethoxazole _site2,61
N-acetyl sulfadiazine _site6,62
Deacetyl-ketoconazole _site6,63
Penicillin G_site6,64
Sarafloxacin_site6,65
Oxytetracycline_site6,66
Enrofloxacin_site6,67
Erythromycin_site6,68
Ofloxacin (Levofloxacin)_site4,69
Danofloxacin_site4,70
Gentamycin C2 C2a C2b_site6,71
N-acetyl sulfapyridine _site4,72
Delamanid_site2,73
Ofloxacin (Levofloxacin)_site2,74
Prulifloxacin_site2,75
Thalidomide_site2,76
Deacetyl-ketoconazole _site4,77
Kanamycin A_site4,78
Florfenicol_site6,79
Nitrofurantoin_site4,80
Imipenem_site6,81
Erythromycin_site4,82
N-acetyl sulfamethoxazole _site6,83
Hydroxy-norfloxacin _site4,84
Imipenem_site4,85
N-desmethyl clindamycin _site4,86
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",87
Imipenem_site2,88
Sulfapyridine_site6,89
D-cycloserine_site6,90
25-O-desacetyl rifabutin _site2,91
Tetracycline_site6,92
Doxycycline _site2,93
Gentamycin C1a_site6,94
Capreomycin IB_site6,95
Streptomycin A_site4,96
N-desmethyl azithromycin _site2,97
Bedaquiline_site6,98
N-demethyl erythromycin_site4,99
Capreomycin IB_site2,100
Penicillin V_site2,101
Nadifloxacin_site2,102
Deacetyl-ketoconazole _site2,103
Clindamycin_site2,104
Besifloxacin_site4,105
N-demethyl erythromycin_site2,106
Ceftriaxone_site6,107
Gentamycin C1a_site2,108
Emtricitabine_site4,109
Ciprofloxacin_site6,110
D-cycloserine_site2,111
Ampicillin_site2,112
Ciprofloxacin_site2,113
Moxifloxacin_site2,114
N-acetyl sulfapyridine _site6,115
Nadifloxacin_site4,116
Cefixime_site2,117
Lamivudine_site6,118
N-desmethyl azithromycin _site6,119
Rifampicin_site2,120
Rifampicin_site6,121
Doxycycline _site6,122
Penicillin V_site4,123
Nalidixic acid_site6,124
Sulfadiazine_site2,125
Cefixime_site4,126
N-desmethyl clindamycin _site2,127
Lomefloxacin_site4,128
Sulfadiazine_site6,129
Metronidazole_site2,130
N-desmethyl clarithromycin _site4,131
Erythromycin_site2,132
Trimethoprim_site6,133
Clindamycin_site4,134
Capreomycin IA_site2,135
Clarithromycin_site2,136
Ampicilloic acid_site4,137
Rifampicin_site4,138
Hydroxy-metronidazole _site2,139
Amoxicillin_site2,140
Rifabutin_site6,141
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",142
Ofloxacin N-oxide_site6,143
Gentamycin C2 C2a C2b_site4,144
Sulfadiazine_site4,145
Cefalexin_site2,146
Enrofloxacin_site2,147
N-acetyl sulfapyridine _site2,148
Sulfasalazine_site2,149
Cefalexin_site4,150
Hydroxy-norfloxacin _site6,151
Aztreonam_site4,152
Nadifloxacin_site6,153
Oxytetracycline_site2,154
Gatifloxacin_site6,155
Ciprofloxacin_site4,156
Clarithromycin_site6,157
Isoniazid_site6,158
Isonicotinic acid_site4,159
Nalidixic acid_site4,160
Pyrazinamide_site2,161
Ampicillin_site4,162
Ketoconazole_site2,163
Ketoconazole_site4,164
Lomefloxacin_site6,165
Gentamycin C1_site2,166
Sulfamethoxazole_site6,167
Thalidomide_site4,168
4-hydroxy-trimethoprim _site6,169
Sulfamethoxazole_site4,170
N-acetyl sulfadiazine _site2,171
Ceftiofur_site6,172
Amoxicilloic acid_site2,173
Aztreonam_site2,174
Gatifloxacin_site2,175
Isonicotinic acid_site2,176
Oxytetracycline_site4,177
Desmethyl-ofloxacin _site6,178
Bedaquiline_site2,179
Emtricitabine_site6,180
Prulifloxacin_site6,181
Penicilloic G acid_site4,182
Nitrofurantoin_site6,183
Penicilloic G acid_site6,184
Isonicotinic acid_site6,185
Amoxicillin_site6,186
Cefalexin_site6,187
Kanamycin A_site2,188
Ethambutol_site6,189
Norfloxacin_site2,190
Sulfasalazine_site6,191
Hydroxy-metronidazole _site4,192
Pyrazinamide_site4,193
Gentamycin C1a_site4,194
Metronidazole_site6,195
Desmethyl-ofloxacin _site4,196
Ketoconazole_site6,197
N-desmethyl azithromycin _site4,198
Moxifloxacin_site4,199
Streptomycin A_site2,200
Capreomycin IB_site4,201
Acetyl-isoniazid _site6,202
Gentamycin C1_site6,203
Sulfapyridine_site4,204
Rifabutin_site2,205
N-demethyl erythromycin_site6,206
Sulfasalazine_site4,207
Besifloxacin_site2,208
4-hydroxy-trimethoprim _site4,209
Desethylene ciprofloxacin_site2,210
Ampicillin_site6,211
Clindamycin_site6,212
Cefixime_site6,213
Penicillin V_site6,214
25-O-desacetyl rifabutin _site6,215
Isoniazid_site2,216
Desethylene ciprofloxacin_site6,217
Sarafloxacin_site2,218
Azithromycin_site2,219
Besifloxacin_site6,220
Bedaquiline_site4,221
Streptomycin A_site6,222
Azithromycin_site4,223
Thalidomide_site6,224
Metronidazole_site4,225
Ofloxacin N-oxide_site4,226
Amoxicillin_site4,227
Penicillin G_site2,228
Clarithromycin_site4,229
Lomefloxacin_site2,230
Moxifloxacin_site6,231
Meropenem_site4,232
Rifabutin_site4,233
Tetracycline_site2,234
Ulifloxacin_site6,235
N-acetyl sulfamethoxazole _site4,236
Sarafloxacin_site4,237
Hydroxy-norfloxacin _site2,238
Flucloxacillin_site4,239
Delamanid_site4,240
Doxycycline _site4,241
Meropenem_site6,242
Flumequine_site6,243
Capreomycin IA_site4,244
Ceftriaxone_site2,245
Linezolid_site2,246
Danofloxacin_site6,247
Trimethoprim_site4,248
D-cycloserine_site4,249
25-desacetyl rifampicin _site4,250
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site2",251
Gentamycin C1_site4,252
5-Hydroxy-pyrazinoic acid _site2,253
Ulifloxacin_site2,254
Danofloxacin_site2,255
