Features,Ranking
Nalidixic acid_site4,1
Amoxicillin_site6,2
Streptomycin A_site4,3
Deacetyl-ketoconazole _site6,4
Capreomycin IA_site2,5
N-desmethyl clindamycin _site6,6
Ofloxacin (Levofloxacin)_site6,7
N-desmethyl azithromycin _site4,8
Pyrazinamide_site6,9
Aztreonam_site6,10
Acetyl-isoniazid _site4,11
Desethylene ciprofloxacin_site2,12
Penicillin G_site2,13
Amoxicillin_site4,14
Flucloxacillin_site4,15
Amoxicilloic acid_site4,16
N-acetyl sulfadiazine _site6,17
Desmethyl-ofloxacin _site6,18
Delamanid_site4,19
Ampicillin_site6,20
Lamivudine_site4,21
Cefalexin_site6,22
Metronidazole_site6,23
D-cycloserine_site4,24
Delamanid_site2,25
Oxytetracycline_site6,26
25-desacetyl rifampicin _site4,27
Aztreonam_site4,28
Lamivudine_site6,29
Nitrofurantoin_site2,30
Gentamycin C2 C2a C2b_site4,31
Bedaquiline_site4,32
Tetracycline_site2,33
Gentamycin C1a_site4,34
Flumequine_site2,35
Amoxicilloic acid_site6,36
Sulfapyridine_site4,37
Ethambutol_site2,38
Isonicotinic acid_site2,39
Sulfasalazine_site4,40
4-hydroxy-trimethoprim _site4,41
Prulifloxacin_site6,42
Sulfasalazine_site6,43
Besifloxacin_site6,44
Gentamycin C1_site6,45
Trimethoprim_site4,46
Sarafloxacin_site6,47
Danofloxacin_site6,48
Flumequine_site6,49
Hydroxy-norfloxacin _site2,50
Gentamycin C1_site2,51
Desethylene ciprofloxacin_site6,52
Azithromycin_site2,53
Cefixime_site6,54
Azithromycin_site4,55
N-acetyl sulfadiazine _site2,56
Pyrazinamide_site4,57
Cefalexin_site4,58
Ofloxacin N-oxide_site4,59
Aztreonam_site2,60
Pyrazinamide_site2,61
Meropenem_site4,62
Ampicillin_site2,63
Enrofloxacin_site6,64
Ampicilloic acid_site4,65
Deacetyl-ketoconazole _site4,66
Nadifloxacin_site4,67
Emtricitabine_site4,68
25-O-desacetyl rifabutin _site2,69
Cefixime_site4,70
Sarafloxacin_site4,71
N-desmethyl azithromycin _site6,72
Gentamycin C1a_site2,73
Sulfadiazine_site4,74
Oxytetracycline_site4,75
Capreomycin IA_site6,76
Nadifloxacin_site2,77
Gentamycin C1a_site6,78
Sulfapyridine_site6,79
Norfloxacin_site2,80
Capreomycin IB_site6,81
Kanamycin A_site6,82
Lomefloxacin_site2,83
Nadifloxacin_site6,84
Flucloxacillin_site6,85
N-desmethyl clarithromycin _site6,86
Doxycycline _site6,87
Delamanid_site6,88
Kanamycin A_site2,89
N-demethyl erythromycin_site4,90
Chloramphenicol_site6,91
Ciprofloxacin_site2,92
Norfloxacin_site6,93
Chloramphenicol_site2,94
Desmethyl-ofloxacin _site4,95
Penicillin G_site4,96
Ethambutol_site6,97
Rifampicin_site4,98
Rifampicin_site2,99
Sarafloxacin_site2,100
Sulfamethoxazole_site4,101
Ofloxacin N-oxide_site6,102
Clindamycin_site4,103
