Features,Ranking
Azithromycin_site2,1
Rifabutin_site2,2
Lamivudine_site4,3
Aztreonam_site6,4
N-desmethyl clarithromycin _site2,5
N-demethyl erythromycin_site6,6
Oxytetracycline_site6,7
Ethambutol_site2,8
N-acetyl sulfamethoxazole _site4,9
Desethylene ciprofloxacin_site2,10
Capreomycin IB_site4,11
Aztreonam_site4,12
N-desmethyl clarithromycin _site6,13
Ceftriaxone_site2,14
Amoxicilloic acid_site4,15
Flumequine_site4,16
Lamivudine_site2,17
Penicillin G_site2,18
Nalidixic acid_site4,19
Metronidazole_site4,20
Erythromycin_site6,21
Emtricitabine_site2,22
D-cycloserine_site4,23
Prulifloxacin_site6,24
Ketoconazole_site4,25
Gentamycin C1a_site4,26
Clindamycin_site6,27
Ofloxacin N-oxide_site4,28
N-desmethyl azithromycin _site4,29
Delamanid_site4,30
N-acetyl sulfadiazine _site6,31
Gentamycin C1_site2,32
Acetyl-isoniazid _site4,33
25-O-desacetyl rifabutin _site4,34
Ciprofloxacin_site2,35
Bedaquiline_site4,36
Oxytetracycline_site4,37
Tetracycline_site2,38
Gentamycin C2 C2a C2b_site4,39
Gatifloxacin_site6,40
Penicillin V_site6,41
Flucloxacillin_site4,42
Pyrazinamide_site4,43
Trimethoprim_site4,44
N-demethyl erythromycin_site4,45
N-acetyl sulfapyridine _site6,46
N-acetyl sulfadiazine _site2,47
N-acetyl sulfapyridine _site2,48
Deacetyl-ketoconazole _site4,49
Aztreonam_site2,50
Enrofloxacin_site2,51
Sulfamethoxazole_site6,52
Cefalexin_site2,53
Desmethyl-ofloxacin _site4,54
Gentamycin C1_site6,55
Amoxicilloic acid_site6,56
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",57
Besifloxacin_site4,58
Norfloxacin_site2,59
Capreomycin IA_site4,60
N-demethyl erythromycin_site2,61
Isoniazid_site2,62
Amoxicilloic acid_site2,63
Pyrazinamide_site2,64
Emtricitabine_site4,65
Metronidazole_site6,66
Ofloxacin N-oxide_site2,67
Bedaquiline_site2,68
Hydroxy-metronidazole _site2,69
N-desmethyl azithromycin _site2,70
Imipenem_site4,71
Amoxicillin_site2,72
Imipenem_site6,73
Ciprofloxacin_site6,74
Cefalexin_site4,75
Nitrofurantoin_site2,76
Deacetyl-ketoconazole _site2,77
Lomefloxacin_site4,78
Isoniazid_site6,79
Penicillin V_site2,80
N-desmethyl clarithromycin _site4,81
Sulfadiazine_site4,82
Imipenem_site2,83
Ciprofloxacin_site4,84
Clarithromycin_site2,85
Capreomycin IA_site2,86
Penicillin V_site4,87
Sulfasalazine_site2,88
Erythromycin_site2,89
Isonicotinic acid_site2,90
Gatifloxacin_site2,91
Moxifloxacin_site2,92
