0,Class A
25-desacetyl rifampicin  (Site 7),Rifamycin
Rifampicin (Site 6),Rifamycin
Cefixime (Site 2),Cefalosporin
Flumequine (Site 5),Quinolone
Ceftiofur (Site 2),Cefalosporin
Ethambutol (Site 5),Ethambutol
Lamivudine (Site 7),NRTI
Rifabutin (Site 9),Rifamycin
Cefixime (Site 7),Cefalosporin
Sulfasalazine (Site 4),Sulfonamides
Ofloxacin N-oxide (Site 3),Quinolone
Linezolid (Site 6),Oxazolidinone
Ofloxacin N-oxide (Site 5),Quinolone
N-demethyl erythromycin (Site 1),Macrolide
Desmethyl-ofloxacin  (Site 8),Quinolone
Prulifloxacin (Site 2),Quinolone
Capreomycin IA (Site 6),Aminoglycoside
Florfenicol (Site 3),Amphenicol
N-desmethyl clarithromycin  (Site 2),Macrolide
Bedaquiline (Site 5),Diarylquinoline
Nitrofurantoin (Site 2),Nitrofuran
Sarafloxacin (Site 6),Quinolone
Ethambutol (Site 8),Ethambutol
Ceftriaxone (Site 6),Cefalosporin
4-hydroxy-trimethoprim  (Site 5),Trimethoprim
