0,Class A
Nitrofurantoin (Site 7),Nitrofuran
Gentamycin C2 C2a C2b (Site 4),Aminoglycoside
Penicilloic G acid (Site 5),Penicillin
5-Hydroxy-pyrazinoic acid  (Site 9),Pyrazinamide
Hydroxy-metronidazole  (Site 6),Azole
Gentamycin C2 C2a C2b (Site 9),Aminoglycoside
Prulifloxacin (Site 4),Quinolone
Hydroxy-norfloxacin  (Site 9),Quinolone
Metronidazole (Site 6),Azole
5-Hydroxy-pyrazinoic acid  (Site 8),Pyrazinamide
Deacetyl-ketoconazole  (Site 7),Azole
Linezolid (Site 5),Oxazolidinone
Amoxicilloic acid (Site 4),Penicillin
Kanamycin A (Site 3),Aminoglycoside
4-hydroxy-trimethoprim  (Site 7),Trimethoprim
Ulifloxacin (Site 5),Quinolone
Danofloxacin (Site 6),Quinolone
Oxytetracycline (Site 3),Cycline
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol (Site 8)",Amphenicol
Sulfapyridine (Site 5),Sulfonamide
Amoxicillin (Site 7),Penicillin
Danofloxacin (Site 7),Quinolone
Trimethoprim (Site 2),Trimethoprim
Amoxicilloic acid (Site 6),Penicillin
Gatifloxacin (Site 2),Quinolone
