0,Class A
Emtricitabine (Site 4),NRTI
4-hydroxy-trimethoprim  (Site 4),Trimethoprim
Gentamycin C1a (Site 4),Aminoglycoside
Penicilloic G acid (Site 6),Penicillin
Ceftiofur (Site 2),Cefalosporin
Desethylene ciprofloxacin (Site 2),Quinolone
Lamivudine (Site 2),NRTI
Pyrazinamide (Site 6),Pyrazinamide
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
N-desmethyl clarithromycin  (Site 6),Macrolide
Gatifloxacin (Site 2),Quinolone
Flumequine (Site 4),Quinolone
N-desmethyl clindamycin  (Site 6),Lincomycin
Nitrofurantoin (Site 2),Nitrofuran
Delamanid (Site 2),Nitroimidazole
N-desmethyl clarithromycin  (Site 2),Macrolide
Meropenem (Site 6),Carbapenem
Rifabutin (Site 4),Rifamycin
Oxytetracycline (Site 4),Cycline
Capreomycin IA (Site 2),Aminoglycoside
Nalidixic acid (Site 6),Quinolone
Hydroxy-metronidazole  (Site 6),Azole
Trimethoprim (Site 2),Trimethoprim
Gentamycin C2 C2a C2b (Site 4),Aminoglycoside
Azithromycin (Site 2),Macrolide
