0,Class A
Emtricitabine (Site 2),NRTI
Flumequine (Site 4),Quinolone
Sulfasalazine (Site 5),Sulfonamides
Linezolid (Site 6),Oxazolidinone
Ethambutol (Site 7),Ethambutol
Rifampicin (Site 9),Rifamycin
Nalidixic acid (Site 8),Quinolone
N-demethyl erythromycin (Site 1),Macrolide
Ethambutol (Site 8),Ethambutol
Bedaquiline (Site 5),Diarylquinoline
Sarafloxacin (Site 5),Quinolone
Linezolid (Site 3),Oxazolidinone
Hydroxy-norfloxacin  (Site 9),Quinolone
Hydroxy-norfloxacin  (Site 6),Quinolone
Nitrofurantoin (Site 5),Nitrofuran
N-desmethyl clindamycin  (Site 6),Lincomycin
Ethambutol (Site 2),Ethambutol
Lamivudine (Site 9),NRTI
Desethylene ciprofloxacin (Site 2),Quinolone
Cefixime (Site 9),Cefalosporin
Oxytetracycline (Site 3),Cycline
Bedaquiline (Site 2),Diarylquinoline
Emtricitabine (Site 4),NRTI
Delamanid (Site 2),Nitroimidazole
Nitrofurantoin (Site 8),Nitrofuran
