0,Class A
Metronidazole (Site 6),Azole
Bedaquiline (Site 5),Diarylquinoline
Ethambutol (Site 8),Ethambutol
Delamanid (Site 2),Nitroimidazole
Lamivudine (Site 8),NRTI
Hydroxy-metronidazole  (Site 6),Azole
Capreomycin IA (Site 9),Aminoglycoside
Amoxicilloic acid (Site 6),Penicillin
Florfenicol (Site 7),Amphenicol
Streptomycin A (Site 9),Aminoglycoside
Trimethoprim (Site 2),Trimethoprim
N-desmethyl clarithromycin  (Site 2),Macrolide
Amoxicillin (Site 6),Penicillin
Acetyl-isoniazid  (Site 5),Isoniazid
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
Acetyl-isoniazid  (Site 4),Isoniazid
Lamivudine (Site 9),NRTI
Emtricitabine (Site 3),NRTI
Amoxicillin (Site 8),Penicillin
Oxytetracycline (Site 3),Cycline
25-desacetyl rifampicin  (Site 4),Rifamycin
N-acetyl sulfamethoxazole  (Site 8),Sulfonamide
4-hydroxy-trimethoprim  (Site 9),Trimethoprim
Ethambutol (Site 7),Ethambutol
Sarafloxacin (Site 5),Quinolone
