0,Class A
N-demethyl erythromycin (Site 1),Macrolide
N-demethyl erythromycin (Site 5),Macrolide
Rifampicin (Site 5),Rifamycin
4-hydroxy-trimethoprim  (Site 6),Trimethoprim
Oxytetracycline (Site 3),Cycline
Amoxicilloic acid (Site 6),Penicillin
Nitrofurantoin (Site 5),Nitrofuran
Amoxicillin (Site 8),Penicillin
Bedaquiline (Site 5),Diarylquinoline
Ofloxacin N-oxide (Site 5),Quinolone
Capreomycin IA (Site 6),Aminoglycoside
Nitrofurantoin (Site 8),Nitrofuran
Capreomycin IA (Site 2),Aminoglycoside
Hydroxy-norfloxacin  (Site 8),Quinolone
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
Enrofloxacin (Site 3),Quinolone
Rifampicin (Site 9),Rifamycin
Prulifloxacin (Site 5),Quinolone
Flucloxacillin (Site 4),Penicillin
Ceftriaxone (Site 4),Cefalosporin
Emtricitabine (Site 2),NRTI
Trimethoprim (Site 2),Trimethoprim
Ethambutol (Site 6),Ethambutol
Desethylene ciprofloxacin (Site 6),Quinolone
Ulifloxacin (Site 5),Quinolone
