0,Class A
Ulifloxacin (Site 5),Quinolone
Florfenicol (Site 7),Amphenicol
Amoxicillin (Site 8),Penicillin
Oxytetracycline (Site 3),Cycline
N-desmethyl clarithromycin  (Site 6),Macrolide
Nitrofurantoin (Site 5),Nitrofuran
Emtricitabine (Site 4),NRTI
Erythromycin (Site 6),Macrolide
N-desmethyl clindamycin  (Site 6),Lincomycin
Amoxicillin (Site 6),Penicillin
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
Ofloxacin N-oxide (Site 2),Quinolone
Emtricitabine (Site 2),NRTI
Rifampicin (Site 9),Rifamycin
Azithromycin (Site 9),Macrolide
Flumequine (Site 5),Quinolone
Ceftiofur (Site 2),Cefalosporin
Lamivudine (Site 2),NRTI
Flumequine (Site 4),Quinolone
Bedaquiline (Site 2),Diarylquinoline
Cefixime (Site 9),Cefalosporin
Ethambutol (Site 4),Ethambutol
Enrofloxacin (Site 3),Quinolone
Acetyl-isoniazid  (Site 4),Isoniazid
Emtricitabine (Site 5),NRTI
