0,Class A
Ampicillin (Site 8),Penicillin
Desmethyl-ofloxacin  (Site 5),Quinolone
Gatifloxacin (Site 4),Quinolone
Amoxicilloic acid (Site 6),Penicillin
Lomefloxacin (Site 1),Quinolone
Linezolid (Site 6),Oxazolidinone
Amoxicillin (Site 8),Penicillin
Acetyl-isoniazid  (Site 2),Isoniazid
N-desmethyl clarithromycin  (Site 6),Macrolide
Ketoconazole (Site 2),Azole
N-desmethyl clarithromycin  (Site 9),Macrolide
Florfenicol (Site 7),Amphenicol
Clarithromycin (Site 4),Macrolide
Flumequine (Site 4),Quinolone
Erythromycin (Site 8),Macrolide
Ofloxacin (Levofloxacin) (Site 1),Quinolone
Ciprofloxacin (Site 8),Quinolone
Chloramphenicol (Site 5),Amphenicol
Nalidixic acid (Site 8),Quinolone
Capreomycin IB (Site 3),Aminoglycoside
Cefixime (Site 9),Cefalosporin
Sulfamethoxazole (Site 5),Sulfonamide
Doxycycline  (Site 5),Cycline
Erythromycin (Site 7),Macrolide
N-demethyl erythromycin (Site 1),Macrolide
