0,Class A
Nitrofurantoin (Site 2),Nitrofuran
Emtricitabine (Site 4),NRTI
Lamivudine (Site 2),NRTI
Acetyl-isoniazid  (Site 4),Isoniazid
Amoxicillin (Site 6),Penicillin
Ceftiofur (Site 2),Cefalosporin
Desethylene ciprofloxacin (Site 2),Quinolone
Streptomycin A (Site 4),Aminoglycoside
4-hydroxy-trimethoprim  (Site 4),Trimethoprim
Ofloxacin (Levofloxacin) (Site 6),Quinolone
Delamanid (Site 2),Nitroimidazole
Flucloxacillin (Site 4),Penicillin
N-demethyl erythromycin (Site 6),Macrolide
Clarithromycin (Site 4),Macrolide
Azithromycin (Site 2),Macrolide
Amoxicilloic acid (Site 6),Penicillin
Hydroxy-norfloxacin  (Site 6),Quinolone
Nalidixic acid (Site 6),Quinolone
N-desmethyl clarithromycin  (Site 6),Macrolide
Rifabutin (Site 6),Rifamycin
Sulfamethoxazole (Site 6),Sulfonamide
N-desmethyl clarithromycin  (Site 2),Macrolide
Ulifloxacin (Site 4),Quinolone
Tetracycline (Site 6),Cycline
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione (Site 4)",Nitrofuran
