0,Class A
Acetyl-isoniazid  (Site 1),Isoniazid
Hydroxy-metronidazole  (Site 6),Azole
Florfenicol (Site 7),Amphenicol
Prulifloxacin (Site 5),Quinolone
N-demethyl erythromycin (Site 1),Macrolide
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
Flumequine (Site 5),Quinolone
Ofloxacin (Levofloxacin) (Site 1),Quinolone
Imipenem (Site 8),Carbapenem
Amoxicilloic acid (Site 6),Penicillin
Azithromycin (Site 2),Macrolide
Florfenicol (Site 5),Amphenicol
Delamanid (Site 2),Nitroimidazole
Metronidazole (Site 5),Azole
Ulifloxacin (Site 5),Quinolone
Kanamycin A (Site 4),Aminoglycoside
Lamivudine (Site 7),NRTI
Amoxicillin (Site 8),Penicillin
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione (Site 3)",Nitrofuran
Lomefloxacin (Site 8),Quinolone
4-hydroxy-trimethoprim  (Site 6),Trimethoprim
Azithromycin (Site 9),Macrolide
N-demethyl erythromycin (Site 6),Macrolide
Flucloxacillin (Site 7),Penicillin
Imipenem (Site 5),Carbapenem
