0,Class A
Desmethyl-ofloxacin  (Site 6),Quinolone
Prulifloxacin (Site 4),Quinolone
Ceftriaxone (Site 2),Cefalosporin
4-hydroxy-trimethoprim  (Site 6),Trimethoprim
Gentamycin C2 C2a C2b (Site 2),Aminoglycoside
Rifabutin (Site 4),Rifamycin
N-desmethyl clarithromycin  (Site 2),Macrolide
N-acetyl sulfadiazine  (Site 6),Sulfonamide
Ceftriaxone (Site 6),Cefalosporin
Ofloxacin N-oxide (Site 4),Quinolone
Trimethoprim (Site 4),Trimethoprim
Amoxicilloic acid (Site 4),Penicillin
N-acetyl sulfamethoxazole  (Site 4),Sulfonamide
Cefixime (Site 2),Cefalosporin
25-O-desacetyl rifabutin  (Site 4),Rifamycin
Gentamycin C1a (Site 4),Aminoglycoside
Tetracycline (Site 2),Cycline
Ethambutol (Site 6),Ethambutol
Nadifloxacin (Site 6),Quinolone
Delamanid (Site 4),Nitroimidazole
Gentamycin C2 C2a C2b (Site 4),Aminoglycoside
Ofloxacin (Levofloxacin) (Site 6),Quinolone
D-cycloserine (Site 4),Isoxazole
Nitrofurantoin (Site 6),Nitrofuran
Enrofloxacin (Site 6),Quinolone
