0,Class A
Sarafloxacin (Site 6),Quinolone
Lomefloxacin (Site 4),Quinolone
Imipenem (Site 2),Carbapenem
Flumequine (Site 4),Quinolone
Capreomycin IA (Site 6),Aminoglycoside
Gentamycin C1a (Site 4),Aminoglycoside
N-acetyl sulfadiazine  (Site 6),Sulfonamide
Clarithromycin (Site 4),Macrolide
Capreomycin IB (Site 6),Aminoglycoside
Amoxicilloic acid (Site 6),Penicillin
Penicillin V (Site 4),Penicillin
Sulfamethoxazole (Site 6),Sulfonamide
Deacetyl-ketoconazole  (Site 6),Azole
Desmethyl-ofloxacin  (Site 2),Quinolone
Gatifloxacin (Site 4),Quinolone
Desmethyl-ofloxacin  (Site 6),Quinolone
Streptomycin A (Site 4),Aminoglycoside
Gentamycin C2 C2a C2b (Site 4),Aminoglycoside
Enrofloxacin (Site 2),Quinolone
Trimethoprim (Site 2),Trimethoprim
Ethambutol (Site 2),Ethambutol
Hydroxy-metronidazole  (Site 6),Azole
Cefixime (Site 2),Cefalosporin
Lamivudine (Site 4),NRTI
Linezolid (Site 6),Oxazolidinone
