0,Class A
Ciprofloxacin (Site 6),Quinolone
Delamanid (Site 2),Nitroimidazole
Capreomycin IA (Site 9),Aminoglycoside
Trimethoprim (Site 6),Trimethoprim
Desmethyl-ofloxacin  (Site 8),Quinolone
Tetracycline (Site 8),Cycline
25-desacetyl rifampicin  (Site 7),Rifamycin
Kanamycin A (Site 4),Aminoglycoside
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione (Site 4)",Nitrofuran
Doxycycline  (Site 6),Cycline
N-desmethyl clarithromycin  (Site 6),Macrolide
Aztreonam (Site 7),Monobactam
Flucloxacillin (Site 4),Penicillin
Nalidixic acid (Site 8),Quinolone
Amoxicillin (Site 9),Penicillin
4-hydroxy-trimethoprim  (Site 9),Trimethoprim
Deacetyl-ketoconazole  (Site 7),Azole
Cefixime (Site 2),Cefalosporin
Doxycycline  (Site 4),Cycline
Doxycycline  (Site 5),Cycline
Ceftriaxone (Site 6),Cefalosporin
Florfenicol (Site 7),Amphenicol
N-desmethyl azithromycin  (Site 4),Macrolide
Linezolid (Site 3),Oxazolidinone
Penicilloic G acid (Site 3),Penicillin
