0,Class A
Emtricitabine (Site 3),NRTI
N-desmethyl clarithromycin  (Site 2),Macrolide
N-demethyl erythromycin (Site 1),Macrolide
Nitrofurantoin (Site 2),Nitrofuran
Hydroxy-metronidazole  (Site 6),Azole
Linezolid (Site 6),Oxazolidinone
Amoxicilloic acid (Site 2),Penicillin
Acetyl-isoniazid  (Site 4),Isoniazid
Erythromycin (Site 7),Macrolide
Nitrofurantoin (Site 5),Nitrofuran
Amoxicillin (Site 8),Penicillin
Ofloxacin (Levofloxacin) (Site 8),Quinolone
Ethambutol (Site 4),Ethambutol
Emtricitabine (Site 4),NRTI
Amoxicilloic acid (Site 6),Penicillin
Florfenicol (Site 7),Amphenicol
Imipenem (Site 8),Carbapenem
Streptomycin A (Site 9),Aminoglycoside
Ethambutol (Site 9),Ethambutol
Bedaquiline (Site 7),Diarylquinoline
Pyrazinamide (Site 5),Pyrazinamide
Ulifloxacin (Site 5),Quinolone
25-desacetyl rifampicin  (Site 6),Rifamycin
Lamivudine (Site 7),NRTI
N-desmethyl clarithromycin  (Site 6),Macrolide
