Features,Ranking
25-desacetyl rifampicin _site7,1
Rifampicin_site6,2
Cefixime_site2,3
Flumequine_site5,4
Ceftiofur_site2,5
Ethambutol_site5,6
Lamivudine_site7,7
Rifabutin_site9,8
Cefixime_site7,9
Sulfasalazine_site4,10
Ofloxacin N-oxide_site3,11
Linezolid_site6,12
Ofloxacin N-oxide_site5,13
N-demethyl erythromycin_site1,14
Desmethyl-ofloxacin _site8,15
Prulifloxacin_site2,16
Capreomycin IA_site6,17
Florfenicol_site3,18
N-desmethyl clarithromycin _site2,19
Bedaquiline_site5,20
Nitrofurantoin_site2,21
Sarafloxacin_site6,22
Ethambutol_site8,23
Ceftriaxone_site6,24
4-hydroxy-trimethoprim _site5,25
Ofloxacin N-oxide_site8,26
Azithromycin_site9,27
Ulifloxacin_site4,28
Hydroxy-norfloxacin _site6,29
25-O-desacetyl rifabutin _site8,30
Nalidixic acid_site8,31
Ulifloxacin_site8,32
Deacetyl-ketoconazole _site7,33
Lamivudine_site5,34
Gentamycin C2 C2a C2b_site2,35
Oxytetracycline_site2,36
Thalidomide_site5,37
Amoxicillin_site6,38
N-demethyl erythromycin_site5,39
Emtricitabine_site7,40
Ketoconazole_site7,41
Meropenem_site4,42
Prulifloxacin_site4,43
Aztreonam_site8,44
Ethambutol_site7,45
Nitrofurantoin_site9,46
Ethambutol_site9,47
Isonicotinic acid_site3,48
Linezolid_site5,49
Streptomycin A_site7,50
Gentamycin C1a_site3,51
Amoxicilloic acid_site8,52
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site9",53
Doxycycline _site7,54
Acetyl-isoniazid _site7,55
Emtricitabine_site6,56
Amoxicilloic acid_site4,57
N-desmethyl clindamycin _site6,58
Linezolid_site3,59
N-acetyl sulfadiazine _site3,60
Sarafloxacin_site8,61
Azithromycin_site4,62
Isoniazid_site1,63
Pyrazinamide_site5,64
Danofloxacin_site9,65
4-hydroxy-trimethoprim _site8,66
Bedaquiline_site2,67
Amoxicilloic acid_site9,68
Deacetyl-ketoconazole _site9,69
Isonicotinic acid_site6,70
N-acetyl sulfadiazine _site6,71
Meropenem_site5,72
Enrofloxacin_site7,73
Gentamycin C1_site2,74
Norfloxacin_site3,75
Gentamycin C1_site9,76
Pyrazinamide_site9,77
Tetracycline_site8,78
Gentamycin C1a_site4,79
Azithromycin_site6,80
N-desmethyl clarithromycin _site8,81
Ofloxacin N-oxide_site7,82
Sulfamethoxazole_site6,83
Isonicotinic acid_site4,84
Lamivudine_site9,85
Penicilloic G acid_site5,86
Ceftiofur_site8,87
Penicillin G_site3,88
Sulfamethoxazole_site5,89
Thalidomide_site6,90
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",91
Cefalexin_site7,92
Tetracycline_site4,93
Pyrazinamide_site2,94
Sulfadiazine_site4,95
Gentamycin C2 C2a C2b_site9,96
Acetyl-isoniazid _site3,97
Trimethoprim_site6,98
Gentamycin C2 C2a C2b_site4,99
Ethambutol_site4,100
Nadifloxacin_site7,101
Tetracycline_site7,102
Desmethyl-ofloxacin _site2,103
N-acetyl sulfapyridine _site6,104
Isonicotinic acid_site1,105
Amoxicillin_site9,106
Meropenem_site8,107
Florfenicol_site6,108
Erythromycin_site4,109
Trimethoprim_site2,110
Clindamycin_site5,111
Acetyl-isoniazid _site8,112
Sulfapyridine_site6,113
N-acetyl sulfamethoxazole _site6,114
Amoxicilloic acid_site3,115
Doxycycline _site6,116
N-desmethyl clarithromycin _site9,117
Flucloxacillin_site8,118
Isonicotinic acid_site9,119
N-desmethyl azithromycin _site4,120
Nitrofurantoin_site8,121
Nitrofurantoin_site3,122
Ketoconazole_site6,123
25-O-desacetyl rifabutin _site4,124
Flumequine_site4,125
Acetyl-isoniazid _site2,126
Desethylene ciprofloxacin_site7,127
Nalidixic acid_site6,128
Trimethoprim_site4,129
Rifabutin_site3,130
Streptomycin A_site9,131
Erythromycin_site6,132
Amoxicillin_site5,133
Nadifloxacin_site3,134
Sulfasalazine_site5,135
4-hydroxy-trimethoprim _site2,136
N-demethyl erythromycin_site6,137
4-hydroxy-trimethoprim _site6,138
Gentamycin C1a_site6,139
Hydroxy-norfloxacin _site9,140
5-Hydroxy-pyrazinoic acid _site9,141
Rifampicin_site9,142
Sarafloxacin_site5,143
Nalidixic acid_site3,144
Acetyl-isoniazid _site9,145
Sulfapyridine_site7,146
Amoxicilloic acid_site7,147
Enrofloxacin_site6,148
Acetyl-isoniazid _site1,149
Aztreonam_site2,150
Meropenem_site9,151
Nadifloxacin_site2,152
Ethambutol_site3,153
Prulifloxacin_site3,154
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site5",155
Ceftiofur_site3,156
Lomefloxacin_site1,157
Nitrofurantoin_site7,158
Tetracycline_site2,159
Penicillin G_site8,160
Isonicotinic acid_site5,161
Penicilloic G acid_site3,162
N-acetyl sulfamethoxazole _site8,163
Emtricitabine_site2,164
Cefalexin_site9,165
5-Hydroxy-pyrazinoic acid _site7,166
Thalidomide_site7,167
Ampicillin_site2,168
Thalidomide_site9,169
Imipenem_site2,170
Ofloxacin N-oxide_site2,171
Penicillin G_site2,172
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",173
Penicillin G_site7,174
Capreomycin IA_site9,175
N-desmethyl azithromycin _site7,176
Delamanid_site4,177
Gentamycin C2 C2a C2b_site5,178
Desmethyl-ofloxacin _site6,179
D-cycloserine_site4,180
Imipenem_site9,181
Rifabutin_site6,182
Nadifloxacin_site4,183
N-desmethyl azithromycin _site6,184
Ceftiofur_site6,185
Linezolid_site4,186
Penicillin V_site9,187
Ceftriaxone_site5,188
Amoxicillin_site3,189
Ofloxacin N-oxide_site4,190
Cefixime_site4,191
N-acetyl sulfapyridine _site8,192
Sulfadiazine_site9,193
Moxifloxacin_site7,194
Ampicilloic acid_site4,195
Thalidomide_site3,196
Aztreonam_site5,197
D-cycloserine_site5,198
Ketoconazole_site3,199
Cefalexin_site4,200
Ceftriaxone_site9,201
Lomefloxacin_site4,202
Azithromycin_site7,203
Trimethoprim_site5,204
Danofloxacin_site4,205
Isoniazid_site5,206
Emtricitabine_site8,207
Tetracycline_site3,208
Ampicilloic acid_site3,209
Clarithromycin_site8,210
Erythromycin_site9,211
25-O-desacetyl rifabutin _site7,212
25-O-desacetyl rifabutin _site5,213
Capreomycin IB_site4,214
Delamanid_site2,215
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site1",216
Gatifloxacin_site4,217
Gentamycin C1_site8,218
Penicillin V_site4,219
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site9",220
Thalidomide_site8,221
Nalidixic acid_site5,222
Moxifloxacin_site6,223
Metronidazole_site4,224
Azithromycin_site3,225
Doxycycline _site5,226
Amoxicillin_site2,227
Sarafloxacin_site9,228
N-desmethyl clindamycin _site7,229
Delamanid_site8,230
Lomefloxacin_site8,231
Ciprofloxacin_site5,232
Ceftiofur_site5,233
N-acetyl sulfadiazine _site8,234
Ketoconazole_site4,235
Imipenem_site8,236
Amoxicilloic acid_site2,237
25-desacetyl rifampicin _site6,238
D-cycloserine_site9,239
Deacetyl-ketoconazole _site8,240
Lomefloxacin_site2,241
Flucloxacillin_site5,242
Azithromycin_site8,243
Gentamycin C1a_site2,244
Moxifloxacin_site5,245
Norfloxacin_site4,246
Gentamycin C1a_site9,247
Clarithromycin_site7,248
Amoxicillin_site4,249
Azithromycin_site2,250
4-hydroxy-trimethoprim _site7,251
Ciprofloxacin_site1,252
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site8",253
Ciprofloxacin_site6,254
Desethylene ciprofloxacin_site2,255
Sulfadiazine_site5,256
Moxifloxacin_site9,257
Penicillin V_site3,258
Ofloxacin (Levofloxacin)_site1,259
Lamivudine_site2,260
N-acetyl sulfamethoxazole _site3,261
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site7",262
Oxytetracycline_site8,263
Sarafloxacin_site3,264
Streptomycin A_site2,265
N-acetyl sulfamethoxazole _site4,266
Ampicillin_site8,267
Desethylene ciprofloxacin_site8,268
Aztreonam_site7,269
Pyrazinamide_site7,270
Capreomycin IB_site6,271
Isonicotinic acid_site8,272
Ampicillin_site3,273
Imipenem_site7,274
Imipenem_site4,275
Danofloxacin_site7,276
Desethylene ciprofloxacin_site6,277
25-desacetyl rifampicin _site4,278
Deacetyl-ketoconazole _site4,279
N-acetyl sulfadiazine _site2,280
Sulfasalazine_site6,281
Ampicilloic acid_site9,282
Aztreonam_site9,283
Oxytetracycline_site5,284
Oxytetracycline_site4,285
Ampicillin_site4,286
N-demethyl erythromycin_site2,287
Erythromycin_site5,288
Clindamycin_site9,289
Isonicotinic acid_site7,290
Penicilloic G acid_site4,291
Metronidazole_site8,292
Prulifloxacin_site7,293
Sarafloxacin_site4,294
Aztreonam_site3,295
Erythromycin_site3,296
Ciprofloxacin_site8,297
Ketoconazole_site9,298
Gentamycin C1a_site7,299
Moxifloxacin_site4,300
Ethambutol_site6,301
Ketoconazole_site2,302
Ketoconazole_site8,303
Linezolid_site2,304
Isoniazid_site2,305
N-acetyl sulfapyridine _site5,306
Rifabutin_site4,307
Linezolid_site9,308
Flucloxacillin_site9,309
Thalidomide_site4,310
Clindamycin_site6,311
Penicillin V_site8,312
4-hydroxy-trimethoprim _site9,313
Amoxicillin_site7,314
Ceftriaxone_site2,315
Isoniazid_site6,316
Ceftriaxone_site8,317
Erythromycin_site8,318
Desmethyl-ofloxacin _site7,319
Trimethoprim_site7,320
Nadifloxacin_site5,321
Rifabutin_site5,322
Oxytetracycline_site9,323
Ofloxacin N-oxide_site6,324
Ciprofloxacin_site4,325
Chloramphenicol_site9,326
Lomefloxacin_site6,327
Capreomycin IB_site7,328
Hydroxy-norfloxacin _site8,329
Besifloxacin_site6,330
Nalidixic acid_site7,331
Enrofloxacin_site3,332
Florfenicol_site8,333
Hydroxy-norfloxacin _site2,334
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site7",335
Flumequine_site6,336
Deacetyl-ketoconazole _site6,337
Sulfapyridine_site9,338
N-desmethyl clarithromycin _site3,339
Desmethyl-ofloxacin _site5,340
Ciprofloxacin_site7,341
Prulifloxacin_site6,342
Gatifloxacin_site9,343
4-hydroxy-trimethoprim _site3,344
Sarafloxacin_site7,345
Delamanid_site9,346
Sulfapyridine_site4,347
Imipenem_site6,348
Hydroxy-metronidazole _site4,349
Lomefloxacin_site3,350
Tetracycline_site6,351
Amoxicilloic acid_site5,352
Deacetyl-ketoconazole _site5,353
Hydroxy-metronidazole _site5,354
Delamanid_site7,355
Ofloxacin (Levofloxacin)_site7,356
Clarithromycin_site4,357
Hydroxy-metronidazole _site8,358
Sulfamethoxazole_site4,359
Desethylene ciprofloxacin_site4,360
N-demethyl erythromycin_site7,361
Nitrofurantoin_site1,362
N-acetyl sulfapyridine _site9,363
Pyrazinamide_site4,364
Flumequine_site7,365
Capreomycin IB_site1,366
Ampicillin_site6,367
N-acetyl sulfamethoxazole _site1,368
Norfloxacin_site7,369
Acetyl-isoniazid _site5,370
Ciprofloxacin_site2,371
Linezolid_site8,372
Chloramphenicol_site5,373
Desethylene ciprofloxacin_site9,374
Ulifloxacin_site5,375
Penicillin V_site2,376
Desethylene ciprofloxacin_site3,377
Enrofloxacin_site5,378
Ampicillin_site5,379
Sulfapyridine_site5,380
25-O-desacetyl rifabutin _site3,381
N-acetyl sulfapyridine _site7,382
Desethylene ciprofloxacin_site5,383
Gatifloxacin_site1,384
Rifabutin_site2,385
Cefalexin_site8,386
Sarafloxacin_site2,387
Ofloxacin (Levofloxacin)_site8,388
Penicillin V_site5,389
Oxytetracycline_site6,390
4-hydroxy-trimethoprim _site4,391
Hydroxy-metronidazole _site7,392
Gentamycin C1a_site5,393
Ceftriaxone_site7,394
N-desmethyl clindamycin _site9,395
Ofloxacin (Levofloxacin)_site5,396
Norfloxacin_site5,397
Clarithromycin_site6,398
Rifabutin_site1,399
Penicillin V_site6,400
Lomefloxacin_site7,401
N-desmethyl azithromycin _site9,402
Desmethyl-ofloxacin _site1,403
N-desmethyl clindamycin _site5,404
Deacetyl-ketoconazole _site3,405
Kanamycin A_site1,406
Streptomycin A_site6,407
Danofloxacin_site6,408
Prulifloxacin_site5,409
Meropenem_site6,410
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site3",411
Moxifloxacin_site8,412
Enrofloxacin_site1,413
Besifloxacin_site3,414
25-desacetyl rifampicin _site5,415
Sulfasalazine_site8,416
Gentamycin C1_site5,417
Capreomycin IB_site3,418
Clarithromycin_site3,419
Ulifloxacin_site6,420
Lomefloxacin_site9,421
Chloramphenicol_site3,422
Penicillin G_site1,423
Capreomycin IB_site8,424
Rifampicin_site4,425
Kanamycin A_site2,426
Enrofloxacin_site4,427
Pyrazinamide_site8,428
Norfloxacin_site8,429
Sulfamethoxazole_site7,430
Cefalexin_site3,431
Hydroxy-metronidazole _site9,432
Florfenicol_site7,433
Emtricitabine_site9,434
Desmethyl-ofloxacin _site9,435
Delamanid_site5,436
N-desmethyl azithromycin _site8,437
Aztreonam_site4,438
Penicillin V_site1,439
Moxifloxacin_site3,440
Enrofloxacin_site2,441
Sulfasalazine_site7,442
Acetyl-isoniazid _site6,443
Emtricitabine_site1,444
Prulifloxacin_site1,445
Gatifloxacin_site2,446
N-desmethyl clarithromycin _site7,447
Cefalexin_site2,448
Capreomycin IA_site3,449
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",450
Chloramphenicol_site6,451
Hydroxy-metronidazole _site2,452
Trimethoprim_site1,453
N-desmethyl clarithromycin _site5,454
Sulfasalazine_site3,455
Nalidixic acid_site1,456
Lamivudine_site3,457
5-Hydroxy-pyrazinoic acid _site8,458
Rifampicin_site8,459
Linezolid_site1,460
Nadifloxacin_site6,461
Clarithromycin_site5,462
Clarithromycin_site2,463
Chloramphenicol_site8,464
Clindamycin_site4,465
Erythromycin_site2,466
Norfloxacin_site6,467
Clindamycin_site7,468
N-desmethyl clarithromycin _site4,469
Gatifloxacin_site3,470
Ofloxacin N-oxide_site9,471
Metronidazole_site2,472
Doxycycline _site8,473
Metronidazole_site1,474
N-desmethyl azithromycin _site1,475
Hydroxy-metronidazole _site3,476
Sulfadiazine_site6,477
Metronidazole_site9,478
N-desmethyl clindamycin _site2,479
Pyrazinamide_site6,480
Rifabutin_site8,481
Flumequine_site8,482
Ciprofloxacin_site9,483
Kanamycin A_site3,484
25-O-desacetyl rifabutin _site1,485
Metronidazole_site3,486
Hydroxy-norfloxacin _site1,487
D-cycloserine_site8,488
Sulfadiazine_site7,489
Sulfadiazine_site3,490
Penicillin G_site4,491
Kanamycin A_site4,492
Sulfadiazine_site2,493
Gatifloxacin_site8,494
Moxifloxacin_site2,495
Ethambutol_site1,496
Ceftiofur_site1,497
Linezolid_site7,498
Nadifloxacin_site9,499
Rifabutin_site7,500
Besifloxacin_site4,501
Capreomycin IA_site5,502
Cefixime_site9,503
Clindamycin_site3,504
25-desacetyl rifampicin _site8,505
D-cycloserine_site2,506
Tetracycline_site9,507
Sulfamethoxazole_site8,508
Clindamycin_site2,509
Penicilloic G acid_site2,510
Erythromycin_site1,511
Deacetyl-ketoconazole _site2,512
Delamanid_site6,513
Clindamycin_site1,514
Ampicillin_site9,515
Gentamycin C1_site6,516
Delamanid_site1,517
Capreomycin IB_site2,518
Ketoconazole_site5,519
Streptomycin A_site8,520
Chloramphenicol_site2,521
Capreomycin IA_site8,522
N-desmethyl azithromycin _site2,523
Kanamycin A_site8,524
Gatifloxacin_site7,525
Ofloxacin N-oxide_site1,526
Ceftiofur_site9,527
Cefalexin_site6,528
Capreomycin IA_site7,529
Imipenem_site1,530
Tetracycline_site5,531
Doxycycline _site2,532
Azithromycin_site5,533
Pyrazinamide_site3,534
Cefixime_site8,535
Besifloxacin_site2,536
Trimethoprim_site3,537
Sulfamethoxazole_site9,538
4-hydroxy-trimethoprim _site1,539
Clarithromycin_site9,540
Ethambutol_site2,541
Nalidixic acid_site9,542
Meropenem_site2,543
Penicillin V_site7,544
N-desmethyl clarithromycin _site1,545
Ulifloxacin_site1,546
Trimethoprim_site8,547
