Features,Ranking
Nitrofurantoin_site7,1
Gentamycin C2 C2a C2b_site4,2
Penicilloic G acid_site5,3
5-Hydroxy-pyrazinoic acid _site9,4
Hydroxy-metronidazole _site6,5
Gentamycin C2 C2a C2b_site9,6
Prulifloxacin_site4,7
Hydroxy-norfloxacin _site9,8
Metronidazole_site6,9
5-Hydroxy-pyrazinoic acid _site8,10
Deacetyl-ketoconazole _site7,11
Linezolid_site5,12
Amoxicilloic acid_site4,13
Kanamycin A_site3,14
4-hydroxy-trimethoprim _site7,15
Ulifloxacin_site5,16
Danofloxacin_site6,17
Oxytetracycline_site3,18
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site8",19
Sulfapyridine_site5,20
Amoxicillin_site7,21
Danofloxacin_site7,22
Trimethoprim_site2,23
Amoxicilloic acid_site6,24
Gatifloxacin_site2,25
Rifampicin_site9,26
Ceftiofur_site6,27
N-acetyl sulfadiazine _site6,28
Amoxicilloic acid_site9,29
Ethambutol_site6,30
Penicilloic G acid_site3,31
Desmethyl-ofloxacin _site6,32
Acetyl-isoniazid _site6,33
Amoxicillin_site6,34
5-Hydroxy-pyrazinoic acid _site7,35
Nitrofurantoin_site3,36
Gentamycin C1_site9,37
Gentamycin C1a_site4,38
Meropenem_site9,39
Penicilloic G acid_site4,40
Pyrazinamide_site6,41
Hydroxy-metronidazole _site4,42
Danofloxacin_site9,43
25-desacetyl rifampicin _site4,44
Rifampicin_site5,45
Danofloxacin_site4,46
N-demethyl erythromycin_site5,47
Acetyl-isoniazid _site4,48
Ceftriaxone_site4,49
Nitrofurantoin_site6,50
Desethylene ciprofloxacin_site3,51
Ceftiofur_site2,52
Delamanid_site2,53
Lomefloxacin_site7,54
N-acetyl sulfamethoxazole _site6,55
Sarafloxacin_site7,56
Sulfapyridine_site9,57
Ampicilloic acid_site9,58
Capreomycin IA_site9,59
Ethambutol_site7,60
4-hydroxy-trimethoprim _site2,61
Sarafloxacin_site3,62
Meropenem_site6,63
Ceftiofur_site5,64
Amoxicilloic acid_site7,65
Bedaquiline_site2,66
Rifabutin_site6,67
Ofloxacin N-oxide_site5,68
Ampicillin_site3,69
Bedaquiline_site5,70
Linezolid_site6,71
Cefalexin_site7,72
Azithromycin_site9,73
Amoxicillin_site5,74
Desethylene ciprofloxacin_site5,75
Lamivudine_site7,76
Thalidomide_site8,77
Ofloxacin N-oxide_site6,78
Lomefloxacin_site9,79
Hydroxy-metronidazole _site5,80
Cefixime_site9,81
Florfenicol_site8,82
Lamivudine_site2,83
Rifampicin_site7,84
N-desmethyl clindamycin _site6,85
Lamivudine_site8,86
Flucloxacillin_site4,87
Delamanid_site9,88
Emtricitabine_site2,89
Ofloxacin (Levofloxacin)_site6,90
Nitrofurantoin_site8,91
N-acetyl sulfapyridine _site6,92
Penicillin V_site7,93
Cefixime_site6,94
Lamivudine_site5,95
Trimethoprim_site5,96
Ampicillin_site7,97
Nalidixic acid_site6,98
Florfenicol_site7,99
Doxycycline _site6,100
Flumequine_site5,101
Acetyl-isoniazid _site7,102
Deacetyl-ketoconazole _site6,103
Sulfasalazine_site3,104
Ethambutol_site4,105
Ofloxacin (Levofloxacin)_site8,106
Ampicillin_site5,107
Capreomycin IA_site6,108
Deacetyl-ketoconazole _site5,109
Desethylene ciprofloxacin_site4,110
Sulfamethoxazole_site6,111
N-demethyl erythromycin_site1,112
Prulifloxacin_site5,113
Ampicilloic acid_site3,114
Sarafloxacin_site5,115
25-O-desacetyl rifabutin _site2,116
Ciprofloxacin_site6,117
Ethambutol_site2,118
Erythromycin_site9,119
Streptomycin A_site7,120
Kanamycin A_site4,121
Clarithromycin_site4,122
Ceftriaxone_site5,123
N-acetyl sulfadiazine _site3,124
Aztreonam_site9,125
Ceftriaxone_site6,126
Ofloxacin N-oxide_site3,127
Ampicillin_site4,128
Erythromycin_site7,129
Isonicotinic acid_site5,130
Bedaquiline_site4,131
Cefixime_site2,132
Sulfasalazine_site6,133
Isonicotinic acid_site9,134
Gentamycin C1_site6,135
Sulfamethoxazole_site4,136
Linezolid_site2,137
Isoniazid_site1,138
Oxytetracycline_site9,139
Sulfadiazine_site9,140
Streptomycin A_site4,141
Gentamycin C1_site5,142
Chloramphenicol_site3,143
Thalidomide_site3,144
Ceftriaxone_site7,145
Doxycycline _site4,146
Penicillin G_site3,147
25-O-desacetyl rifabutin _site8,148
Prulifloxacin_site2,149
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",150
Ulifloxacin_site7,151
Oxytetracycline_site6,152
Aztreonam_site7,153
Lamivudine_site4,154
Emtricitabine_site4,155
Ceftiofur_site7,156
Emtricitabine_site3,157
Clindamycin_site9,158
Sulfasalazine_site4,159
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site5",160
25-O-desacetyl rifabutin _site9,161
Rifabutin_site4,162
N-desmethyl clindamycin _site9,163
N-acetyl sulfadiazine _site8,164
Nalidixic acid_site4,165
Aztreonam_site3,166
N-desmethyl clarithromycin _site8,167
Moxifloxacin_site7,168
Nitrofurantoin_site2,169
Acetyl-isoniazid _site1,170
Amoxicillin_site8,171
Hydroxy-norfloxacin _site8,172
Tetracycline_site4,173
Aztreonam_site4,174
Flucloxacillin_site7,175
Streptomycin A_site9,176
Bedaquiline_site7,177
Streptomycin A_site3,178
Gentamycin C1a_site3,179
Pyrazinamide_site5,180
Amoxicilloic acid_site5,181
Ketoconazole_site7,182
Thalidomide_site9,183
Metronidazole_site4,184
Thalidomide_site6,185
25-O-desacetyl rifabutin _site6,186
Sulfasalazine_site2,187
Ketoconazole_site6,188
Flucloxacillin_site9,189
Sarafloxacin_site4,190
Tetracycline_site7,191
Doxycycline _site5,192
Clindamycin_site7,193
Norfloxacin_site7,194
Lamivudine_site9,195
Clarithromycin_site6,196
Thalidomide_site4,197
Aztreonam_site6,198
Norfloxacin_site2,199
Prulifloxacin_site7,200
25-desacetyl rifampicin _site5,201
Amoxicilloic acid_site2,202
Florfenicol_site3,203
Sarafloxacin_site8,204
Sulfadiazine_site5,205
Norfloxacin_site5,206
Penicilloic G acid_site6,207
Gatifloxacin_site7,208
Emtricitabine_site6,209
25-O-desacetyl rifabutin _site5,210
Metronidazole_site5,211
Isonicotinic acid_site4,212
Norfloxacin_site3,213
4-hydroxy-trimethoprim _site5,214
N-desmethyl clindamycin _site5,215
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site9",216
Moxifloxacin_site6,217
Penicillin V_site8,218
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site7",219
Gentamycin C1a_site7,220
Deacetyl-ketoconazole _site9,221
Acetyl-isoniazid _site5,222
Nadifloxacin_site5,223
Aztreonam_site8,224
Ceftiofur_site3,225
Desmethyl-ofloxacin _site4,226
25-desacetyl rifampicin _site7,227
Erythromycin_site5,228
Cefalexin_site8,229
N-demethyl erythromycin_site7,230
Metronidazole_site8,231
Hydroxy-norfloxacin _site6,232
Hydroxy-norfloxacin _site2,233
Ofloxacin (Levofloxacin)_site7,234
4-hydroxy-trimethoprim _site4,235
Sarafloxacin_site6,236
