Features,Ranking
Emtricitabine_site4,1
4-hydroxy-trimethoprim _site4,2
Gentamycin C1a_site4,3
Penicilloic G acid_site6,4
Ceftiofur_site2,5
Desethylene ciprofloxacin_site2,6
Lamivudine_site2,7
Pyrazinamide_site6,8
4-hydroxy-trimethoprim _site2,9
N-desmethyl clarithromycin _site6,10
Gatifloxacin_site2,11
Flumequine_site4,12
N-desmethyl clindamycin _site6,13
Nitrofurantoin_site2,14
Delamanid_site2,15
N-desmethyl clarithromycin _site2,16
Meropenem_site6,17
Rifabutin_site4,18
Oxytetracycline_site4,19
Capreomycin IA_site2,20
Nalidixic acid_site6,21
Hydroxy-metronidazole _site6,22
Trimethoprim_site2,23
Gentamycin C2 C2a C2b_site4,24
Azithromycin_site2,25
Ofloxacin N-oxide_site6,26
Acetyl-isoniazid _site4,27
Norfloxacin_site2,28
Amoxicilloic acid_site4,29
Clarithromycin_site4,30
Desmethyl-ofloxacin _site6,31
Acetyl-isoniazid _site6,32
Prulifloxacin_site4,33
Oxytetracycline_site2,34
N-demethyl erythromycin_site2,35
Danofloxacin_site6,36
Lamivudine_site6,37
Nitrofurantoin_site6,38
Imipenem_site4,39
Imipenem_site6,40
Linezolid_site2,41
N-acetyl sulfadiazine _site6,42
Sarafloxacin_site6,43
Capreomycin IA_site6,44
Emtricitabine_site2,45
Ceftiofur_site6,46
N-demethyl erythromycin_site4,47
Ofloxacin (Levofloxacin)_site6,48
Ketoconazole_site6,49
Tetracycline_site6,50
Isonicotinic acid_site4,51
Enrofloxacin_site6,52
Prulifloxacin_site2,53
Sulfasalazine_site2,54
Trimethoprim_site6,55
Ceftriaxone_site6,56
Tetracycline_site4,57
25-O-desacetyl rifabutin _site2,58
Ofloxacin N-oxide_site4,59
N-acetyl sulfamethoxazole _site6,60
Bedaquiline_site2,61
Ampicillin_site4,62
Cefixime_site6,63
Lomefloxacin_site6,64
Emtricitabine_site6,65
Trimethoprim_site4,66
Besifloxacin_site2,67
25-desacetyl rifampicin _site6,68
Capreomycin IB_site4,69
25-O-desacetyl rifabutin _site6,70
Amoxicillin_site4,71
Capreomycin IB_site6,72
N-acetyl sulfamethoxazole _site4,73
Metronidazole_site6,74
Ulifloxacin_site6,75
Sulfamethoxazole_site6,76
Isonicotinic acid_site2,77
Doxycycline _site4,78
Sulfadiazine_site4,79
Sarafloxacin_site2,80
Rifampicin_site6,81
Florfenicol_site6,82
Erythromycin_site4,83
Linezolid_site6,84
Pyrazinamide_site2,85
Nadifloxacin_site6,86
Linezolid_site4,87
Ethambutol_site6,88
Gentamycin C2 C2a C2b_site2,89
Aztreonam_site6,90
Ketoconazole_site4,91
Ketoconazole_site2,92
Sulfapyridine_site6,93
Gentamycin C1a_site6,94
Flucloxacillin_site4,95
Isonicotinic acid_site6,96
Gentamycin C1a_site2,97
Ethambutol_site2,98
Capreomycin IA_site4,99
Streptomycin A_site6,100
Nadifloxacin_site2,101
Enrofloxacin_site2,102
Cefalexin_site2,103
Cefalexin_site6,104
Ampicillin_site2,105
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",106
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",107
Nadifloxacin_site4,108
Thalidomide_site6,109
Hydroxy-norfloxacin _site6,110
Amoxicillin_site6,111
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",112
Bedaquiline_site4,113
Hydroxy-metronidazole _site2,114
N-desmethyl azithromycin _site6,115
Clarithromycin_site2,116
Cefixime_site4,117
Erythromycin_site2,118
N-desmethyl clarithromycin _site4,119
Gentamycin C1_site6,120
Danofloxacin_site4,121
Metronidazole_site2,122
Cefixime_site2,123
Tetracycline_site2,124
Acetyl-isoniazid _site2,125
Sulfadiazine_site6,126
N-desmethyl clindamycin _site2,127
Kanamycin A_site4,128
Sulfadiazine_site2,129
Hydroxy-metronidazole _site4,130
Ampicilloic acid_site4,131
Azithromycin_site6,132
Cefalexin_site4,133
Ciprofloxacin_site6,134
Desethylene ciprofloxacin_site4,135
Thalidomide_site4,136
Norfloxacin_site4,137
Moxifloxacin_site2,138
Delamanid_site4,139
Ceftriaxone_site2,140
N-desmethyl azithromycin _site4,141
Rifabutin_site2,142
D-cycloserine_site2,143
Desethylene ciprofloxacin_site6,144
Clindamycin_site2,145
Besifloxacin_site4,146
