Features,Ranking
Emtricitabine_site2,1
Flumequine_site4,2
Sulfasalazine_site5,3
Linezolid_site6,4
Ethambutol_site7,5
Rifampicin_site9,6
Nalidixic acid_site8,7
N-demethyl erythromycin_site1,8
Ethambutol_site8,9
Bedaquiline_site5,10
Sarafloxacin_site5,11
Linezolid_site3,12
Hydroxy-norfloxacin _site9,13
Hydroxy-norfloxacin _site6,14
Nitrofurantoin_site5,15
N-desmethyl clindamycin _site6,16
Ethambutol_site2,17
Lamivudine_site9,18
Desethylene ciprofloxacin_site2,19
Cefixime_site9,20
Oxytetracycline_site3,21
Bedaquiline_site2,22
Emtricitabine_site4,23
Delamanid_site2,24
Nitrofurantoin_site8,25
Azithromycin_site9,26
25-O-desacetyl rifabutin _site4,27
Amoxicilloic acid_site6,28
Penicillin G_site3,29
Amoxicillin_site5,30
Rifampicin_site6,31
Ethambutol_site3,32
Trimethoprim_site2,33
Capreomycin IA_site2,34
Lamivudine_site4,35
Ceftiofur_site6,36
Sarafloxacin_site7,37
Amoxicilloic acid_site9,38
Lamivudine_site7,39
Penicillin V_site3,40
Chloramphenicol_site8,41
Capreomycin IB_site4,42
Acetyl-isoniazid _site5,43
Capreomycin IB_site1,44
N-demethyl erythromycin_site6,45
Ethambutol_site6,46
Lomefloxacin_site9,47
Deacetyl-ketoconazole _site9,48
4-hydroxy-trimethoprim _site4,49
Emtricitabine_site6,50
Acetyl-isoniazid _site6,51
Deacetyl-ketoconazole _site5,52
Rifabutin_site9,53
Desethylene ciprofloxacin_site7,54
Lamivudine_site5,55
Amoxicillin_site8,56
4-hydroxy-trimethoprim _site6,57
Doxycycline _site7,58
Bedaquiline_site7,59
Ceftiofur_site8,60
Flumequine_site3,61
Amoxicillin_site2,62
Erythromycin_site5,63
Nitrofurantoin_site6,64
Clarithromycin_site4,65
Sarafloxacin_site8,66
Besifloxacin_site1,67
Ketoconazole_site9,68
4-hydroxy-trimethoprim _site5,69
Capreomycin IB_site8,70
Erythromycin_site3,71
Ceftriaxone_site4,72
Enrofloxacin_site3,73
Danofloxacin_site4,74
25-O-desacetyl rifabutin _site9,75
Flucloxacillin_site1,76
Azithromycin_site4,77
Tetracycline_site8,78
Enrofloxacin_site7,79
Lomefloxacin_site7,80
Doxycycline _site5,81
Florfenicol_site3,82
Flucloxacillin_site4,83
Rifampicin_site5,84
Streptomycin A_site9,85
Desethylene ciprofloxacin_site4,86
N-demethyl erythromycin_site5,87
N-desmethyl clarithromycin _site2,88
Pyrazinamide_site6,89
Trimethoprim_site4,90
Emtricitabine_site5,91
Deacetyl-ketoconazole _site7,92
Amoxicilloic acid_site7,93
Ampicillin_site8,94
Ketoconazole_site3,95
Norfloxacin_site5,96
Desethylene ciprofloxacin_site5,97
Flucloxacillin_site8,98
Ampicilloic acid_site3,99
Ketoconazole_site4,100
Isoniazid_site2,101
Isoniazid_site6,102
Ketoconazole_site7,103
Chloramphenicol_site3,104
Nitrofurantoin_site3,105
Ofloxacin N-oxide_site8,106
Clarithromycin_site8,107
Moxifloxacin_site9,108
N-acetyl sulfapyridine _site7,109
Erythromycin_site8,110
