Features,Ranking
Metronidazole_site6,1
Bedaquiline_site5,2
Ethambutol_site8,3
Delamanid_site2,4
Lamivudine_site8,5
Hydroxy-metronidazole _site6,6
Capreomycin IA_site9,7
Amoxicilloic acid_site6,8
Florfenicol_site7,9
Streptomycin A_site9,10
Trimethoprim_site2,11
N-desmethyl clarithromycin _site2,12
Amoxicillin_site6,13
Acetyl-isoniazid _site5,14
4-hydroxy-trimethoprim _site2,15
Acetyl-isoniazid _site4,16
Lamivudine_site9,17
Emtricitabine_site3,18
Amoxicillin_site8,19
Oxytetracycline_site3,20
25-desacetyl rifampicin _site4,21
N-acetyl sulfamethoxazole _site8,22
4-hydroxy-trimethoprim _site9,23
Ethambutol_site7,24
Sarafloxacin_site5,25
25-desacetyl rifampicin _site6,26
Ethambutol_site3,27
Amoxicillin_site3,28
Ceftiofur_site2,29
Cefixime_site2,30
Lomefloxacin_site9,31
Ethambutol_site2,32
Capreomycin IA_site2,33
Capreomycin IA_site6,34
Emtricitabine_site5,35
Metronidazole_site5,36
Hydroxy-norfloxacin _site8,37
Flumequine_site4,38
Hydroxy-norfloxacin _site9,39
Ulifloxacin_site5,40
Amoxicillin_site7,41
Rifampicin_site6,42
Ethambutol_site6,43
Clindamycin_site7,44
Amoxicillin_site5,45
Clarithromycin_site9,46
Clarithromycin_site4,47
4-hydroxy-trimethoprim _site6,48
Kanamycin A_site6,49
4-hydroxy-trimethoprim _site4,50
Tetracycline_site4,51
Erythromycin_site8,52
Sulfasalazine_site5,53
Oxytetracycline_site2,54
Gatifloxacin_site2,55
25-O-desacetyl rifabutin _site6,56
Metronidazole_site7,57
Desethylene ciprofloxacin_site2,58
Lomefloxacin_site7,59
Aztreonam_site7,60
Sulfamethoxazole_site6,61
Ethambutol_site9,62
Desmethyl-ofloxacin _site5,63
N-acetyl sulfapyridine _site7,64
Nalidixic acid_site7,65
Nadifloxacin_site6,66
N-acetyl sulfamethoxazole _site7,67
Sarafloxacin_site8,68
Sulfasalazine_site4,69
Kanamycin A_site4,70
Danofloxacin_site6,71
Sulfapyridine_site5,72
Bedaquiline_site7,73
Amoxicilloic acid_site4,74
N-demethyl erythromycin_site5,75
N-demethyl erythromycin_site1,76
Ofloxacin (Levofloxacin)_site8,77
Nalidixic acid_site8,78
Nitrofurantoin_site8,79
Kanamycin A_site2,80
Gatifloxacin_site7,81
Flucloxacillin_site7,82
Azithromycin_site9,83
Ofloxacin N-oxide_site3,84
Danofloxacin_site7,85
Besifloxacin_site1,86
Rifabutin_site3,87
Nalidixic acid_site6,88
Capreomycin IA_site3,89
Penicilloic G acid_site3,90
Nitrofurantoin_site1,91
25-O-desacetyl rifabutin _site7,92
Sulfasalazine_site8,93
Lamivudine_site5,94
Danofloxacin_site9,95
Doxycycline _site5,96
Ampicillin_site8,97
Imipenem_site4,98
N-desmethyl clarithromycin _site9,99
Desethylene ciprofloxacin_site4,100
Penicillin V_site9,101
N-demethyl erythromycin_site2,102
Ciprofloxacin_site1,103
25-O-desacetyl rifabutin _site9,104
Linezolid_site3,105
Imipenem_site8,106
25-O-desacetyl rifabutin _site4,107
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site3",108
5-Hydroxy-pyrazinoic acid _site7,109
N-acetyl sulfadiazine _site6,110
Clarithromycin_site8,111
Chloramphenicol_site8,112
Enrofloxacin_site6,113
