Features,Ranking
N-demethyl erythromycin_site1,1
N-demethyl erythromycin_site5,2
Rifampicin_site5,3
4-hydroxy-trimethoprim _site6,4
Oxytetracycline_site3,5
Amoxicilloic acid_site6,6
Nitrofurantoin_site5,7
Amoxicillin_site8,8
Bedaquiline_site5,9
Ofloxacin N-oxide_site5,10
Capreomycin IA_site6,11
Nitrofurantoin_site8,12
Capreomycin IA_site2,13
Hydroxy-norfloxacin _site8,14
4-hydroxy-trimethoprim _site2,15
Enrofloxacin_site3,16
Rifampicin_site9,17
Prulifloxacin_site5,18
Flucloxacillin_site4,19
Ceftriaxone_site4,20
Emtricitabine_site2,21
Trimethoprim_site2,22
Ethambutol_site6,23
Desethylene ciprofloxacin_site6,24
Ulifloxacin_site5,25
Amoxicillin_site6,26
Metronidazole_site8,27
Sulfamethoxazole_site6,28
Kanamycin A_site4,29
Doxycycline _site5,30
Emtricitabine_site4,31
Ethambutol_site4,32
Metronidazole_site5,33
4-hydroxy-trimethoprim _site4,34
Ofloxacin N-oxide_site2,35
Lomefloxacin_site7,36
Isoniazid_site1,37
Pyrazinamide_site5,38
Ofloxacin N-oxide_site7,39
Lamivudine_site4,40
Isonicotinic acid_site6,41
Chloramphenicol_site8,42
Delamanid_site2,43
N-desmethyl clarithromycin _site2,44
Azithromycin_site9,45
Erythromycin_site6,46
25-O-desacetyl rifabutin _site4,47
Danofloxacin_site9,48
Metronidazole_site7,49
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site3",50
Ofloxacin (Levofloxacin)_site8,51
Ethambutol_site2,52
Emtricitabine_site5,53
Nalidixic acid_site6,54
Thalidomide_site8,55
Ethambutol_site7,56
Danofloxacin_site7,57
Emtricitabine_site3,58
Ciprofloxacin_site6,59
Gatifloxacin_site2,60
Desethylene ciprofloxacin_site2,61
Lamivudine_site8,62
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site5",63
25-O-desacetyl rifabutin _site6,64
Florfenicol_site7,65
N-desmethyl clarithromycin _site8,66
Sulfasalazine_site8,67
Ciprofloxacin_site1,68
Ciprofloxacin_site4,69
Kanamycin A_site6,70
Gentamycin C1_site2,71
N-desmethyl clindamycin _site6,72
Acetyl-isoniazid _site1,73
Acetyl-isoniazid _site7,74
Danofloxacin_site6,75
Linezolid_site5,76
Streptomycin A_site9,77
Trimethoprim_site4,78
Sulfapyridine_site5,79
Thalidomide_site7,80
Deacetyl-ketoconazole _site7,81
Pyrazinamide_site9,82
Hydroxy-norfloxacin _site9,83
Lomefloxacin_site9,84
Imipenem_site2,85
Ethambutol_site3,86
Ethambutol_site9,87
N-acetyl sulfamethoxazole _site7,88
Doxycycline _site7,89
Ampicilloic acid_site9,90
Clindamycin_site7,91
Desethylene ciprofloxacin_site5,92
Imipenem_site9,93
Flumequine_site3,94
Enrofloxacin_site6,95
4-hydroxy-trimethoprim _site9,96
Rifampicin_site7,97
Hydroxy-metronidazole _site4,98
Ampicillin_site7,99
Florfenicol_site3,100
Nitrofurantoin_site1,101
Sulfamethoxazole_site5,102
Erythromycin_site5,103
Isoniazid_site6,104
Ceftiofur_site2,105
Lamivudine_site7,106
Sarafloxacin_site3,107
Lamivudine_site6,108
Amoxicillin_site5,109
Amoxicilloic acid_site3,110
Erythromycin_site9,111
25-O-desacetyl rifabutin _site7,112
Cefixime_site9,113
Trimethoprim_site6,114
Rifabutin_site6,115
Penicilloic G acid_site2,116
N-demethyl erythromycin_site6,117
Besifloxacin_site1,118
Penicillin G_site3,119
Ceftiofur_site5,120
Ceftiofur_site1,121
Capreomycin IA_site9,122
Azithromycin_site3,123
Meropenem_site9,124
25-O-desacetyl rifabutin _site9,125
Imipenem_site5,126
Tetracycline_site8,127
Ofloxacin N-oxide_site6,128
Clarithromycin_site9,129
Ceftiofur_site8,130
Imipenem_site8,131
N-acetyl sulfadiazine _site3,132
Isonicotinic acid_site4,133
Lomefloxacin_site4,134
Bedaquiline_site2,135
Lomefloxacin_site2,136
Moxifloxacin_site4,137
Rifabutin_site9,138
N-desmethyl azithromycin _site4,139
Ketoconazole_site9,140
Nitrofurantoin_site2,141
Erythromycin_site8,142
Streptomycin A_site4,143
Ofloxacin (Levofloxacin)_site6,144
Penicilloic G acid_site3,145
Amoxicillin_site2,146
Ketoconazole_site6,147
Linezolid_site3,148
Acetyl-isoniazid _site2,149
Imipenem_site4,150
Desmethyl-ofloxacin _site5,151
Amoxicilloic acid_site2,152
Prulifloxacin_site4,153
Hydroxy-norfloxacin _site6,154
Gatifloxacin_site7,155
Ethambutol_site1,156
Deacetyl-ketoconazole _site3,157
Delamanid_site7,158
Ofloxacin (Levofloxacin)_site1,159
Ofloxacin N-oxide_site4,160
Metronidazole_site6,161
Lomefloxacin_site6,162
Enrofloxacin_site4,163
Penicilloic G acid_site6,164
N-acetyl sulfapyridine _site5,165
Florfenicol_site5,166
Penicillin V_site7,167
N-acetyl sulfapyridine _site7,168
Desmethyl-ofloxacin _site1,169
N-desmethyl clarithromycin _site9,170
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",171
Rifampicin_site3,172
Amoxicillin_site9,173
Tetracycline_site3,174
Streptomycin A_site7,175
Sulfamethoxazole_site7,176
Linezolid_site2,177
Flucloxacillin_site8,178
Meropenem_site6,179
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site9",180
Oxytetracycline_site9,181
Penicilloic G acid_site5,182
Tetracycline_site6,183
25-desacetyl rifampicin _site4,184
Ketoconazole_site4,185
Hydroxy-metronidazole _site6,186
Nitrofurantoin_site6,187
Penicillin V_site9,188
Flucloxacillin_site5,189
Ceftriaxone_site3,190
Gatifloxacin_site4,191
Thalidomide_site5,192
D-cycloserine_site5,193
D-cycloserine_site4,194
Sarafloxacin_site6,195
Penicillin V_site5,196
Imipenem_site6,197
25-O-desacetyl rifabutin _site5,198
Gentamycin C1a_site4,199
Gentamycin C1_site9,200
Delamanid_site4,201
Desethylene ciprofloxacin_site8,202
N-desmethyl clarithromycin _site1,203
Acetyl-isoniazid _site3,204
Cefixime_site6,205
Azithromycin_site2,206
Emtricitabine_site1,207
Erythromycin_site3,208
Sarafloxacin_site7,209
Rifabutin_site3,210
Penicillin V_site1,211
Deacetyl-ketoconazole _site6,212
25-desacetyl rifampicin _site7,213
Capreomycin IB_site4,214
Isonicotinic acid_site5,215
Isoniazid_site5,216
Sarafloxacin_site2,217
N-acetyl sulfapyridine _site2,218
Thalidomide_site3,219
Penicillin G_site2,220
Azithromycin_site8,221
Gentamycin C2 C2a C2b_site9,222
4-hydroxy-trimethoprim _site3,223
Emtricitabine_site6,224
Sulfasalazine_site5,225
N-demethyl erythromycin_site2,226
Isonicotinic acid_site9,227
Capreomycin IB_site9,228
Meropenem_site4,229
Linezolid_site8,230
Emtricitabine_site8,231
Rifabutin_site1,232
Enrofloxacin_site1,233
4-hydroxy-trimethoprim _site8,234
Ceftriaxone_site6,235
Sulfadiazine_site8,236
Streptomycin A_site2,237
Amoxicilloic acid_site9,238
Imipenem_site7,239
Cefalexin_site6,240
Rifabutin_site4,241
N-acetyl sulfamethoxazole _site8,242
Sarafloxacin_site8,243
Oxytetracycline_site8,244
Hydroxy-metronidazole _site8,245
Imipenem_site3,246
Tetracycline_site2,247
Trimethoprim_site8,248
Pyrazinamide_site2,249
25-desacetyl rifampicin _site9,250
Ceftriaxone_site9,251
Moxifloxacin_site9,252
Nitrofurantoin_site7,253
Delamanid_site8,254
Prulifloxacin_site1,255
Aztreonam_site2,256
Cefalexin_site9,257
Ceftiofur_site3,258
N-acetyl sulfamethoxazole _site6,259
Trimethoprim_site7,260
Doxycycline _site8,261
D-cycloserine_site9,262
Capreomycin IA_site4,263
Bedaquiline_site4,264
Pyrazinamide_site7,265
Bedaquiline_site6,266
Ketoconazole_site8,267
Emtricitabine_site7,268
Desmethyl-ofloxacin _site6,269
Ciprofloxacin_site3,270
Clindamycin_site1,271
Florfenicol_site8,272
Desethylene ciprofloxacin_site4,273
Besifloxacin_site2,274
Penicillin V_site3,275
5-Hydroxy-pyrazinoic acid _site8,276
Prulifloxacin_site3,277
Capreomycin IB_site3,278
Norfloxacin_site7,279
Sulfadiazine_site4,280
Penicillin G_site1,281
Besifloxacin_site9,282
Gentamycin C2 C2a C2b_site7,283
Tetracycline_site7,284
N-demethyl erythromycin_site3,285
Danofloxacin_site3,286
Ampicillin_site5,287
Linezolid_site6,288
Oxytetracycline_site7,289
Nadifloxacin_site7,290
Streptomycin A_site6,291
Cefalexin_site8,292
Flumequine_site4,293
Capreomycin IA_site8,294
Azithromycin_site7,295
Meropenem_site8,296
Capreomycin IA_site7,297
Florfenicol_site6,298
Nitrofurantoin_site9,299
Oxytetracycline_site4,300
Clarithromycin_site7,301
Norfloxacin_site8,302
N-acetyl sulfamethoxazole _site4,303
Erythromycin_site4,304
Ceftriaxone_site8,305
Ulifloxacin_site6,306
Aztreonam_site8,307
Sulfasalazine_site7,308
Ethambutol_site5,309
Norfloxacin_site3,310
4-hydroxy-trimethoprim _site1,311
Chloramphenicol_site3,312
Capreomycin IA_site3,313
Cefalexin_site3,314
Hydroxy-metronidazole _site9,315
Linezolid_site4,316
Emtricitabine_site9,317
Capreomycin IA_site5,318
Aztreonam_site7,319
Clindamycin_site5,320
Sulfapyridine_site6,321
Delamanid_site5,322
Kanamycin A_site8,323
N-desmethyl azithromycin _site8,324
Nadifloxacin_site3,325
Gentamycin C1a_site6,326
Flumequine_site9,327
N-desmethyl clarithromycin _site3,328
Rifabutin_site2,329
Gatifloxacin_site8,330
Enrofloxacin_site2,331
N-desmethyl clarithromycin _site7,332
Cefalexin_site2,333
Pyrazinamide_site8,334
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",335
Hydroxy-metronidazole _site2,336
Bedaquiline_site3,337
N-desmethyl clarithromycin _site5,338
Nalidixic acid_site1,339
Nalidixic acid_site3,340
Lamivudine_site3,341
Nadifloxacin_site2,342
Rifampicin_site8,343
Penicillin G_site8,344
Penicillin G_site7,345
Clarithromycin_site5,346
Clarithromycin_site2,347
Deacetyl-ketoconazole _site4,348
Gentamycin C1a_site2,349
Erythromycin_site2,350
N-desmethyl clarithromycin _site4,351
Metronidazole_site2,352
Delamanid_site9,353
Hydroxy-metronidazole _site3,354
Sulfadiazine_site6,355
Metronidazole_site9,356
N-desmethyl clindamycin _site2,357
Rifabutin_site8,358
Ciprofloxacin_site9,359
N-desmethyl azithromycin _site1,360
Gentamycin C2 C2a C2b_site5,361
N-acetyl sulfapyridine _site3,362
Gatifloxacin_site3,363
Nadifloxacin_site4,364
D-cycloserine_site8,365
N-desmethyl azithromycin _site6,366
Metronidazole_site3,367
Ampicillin_site2,368
Sulfadiazine_site3,369
Cefixime_site4,370
Sulfadiazine_site2,371
Nadifloxacin_site9,372
Moxifloxacin_site2,373
Prulifloxacin_site2,374
Moxifloxacin_site6,375
Streptomycin A_site8,376
Desmethyl-ofloxacin _site9,377
Linezolid_site7,378
Rifabutin_site7,379
Flumequine_site8,380
Ampicillin_site4,381
Chloramphenicol_site9,382
Metronidazole_site1,383
Capreomycin IB_site6,384
25-desacetyl rifampicin _site8,385
D-cycloserine_site2,386
Norfloxacin_site6,387
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site7",388
Besifloxacin_site4,389
Besifloxacin_site8,390
Clindamycin_site2,391
Ceftriaxone_site2,392
Lamivudine_site9,393
Ampicilloic acid_site4,394
Erythromycin_site1,395
Sulfadiazine_site7,396
Metronidazole_site4,397
Lomefloxacin_site3,398
Penicillin V_site8,399
Deacetyl-ketoconazole _site2,400
Sulfasalazine_site2,401
5-Hydroxy-pyrazinoic acid _site7,402
Moxifloxacin_site7,403
Gentamycin C1_site8,404
Sarafloxacin_site9,405
Nalidixic acid_site5,406
Ampicillin_site9,407
Delamanid_site1,408
Capreomycin IB_site2,409
Ofloxacin N-oxide_site1,410
Aztreonam_site5,411
Ofloxacin N-oxide_site3,412
N-desmethyl azithromycin _site2,413
Ceftiofur_site9,414
Gatifloxacin_site9,415
Ofloxacin (Levofloxacin)_site5,416
Imipenem_site1,417
Doxycycline _site2,418
N-desmethyl clindamycin _site7,419
Azithromycin_site5,420
Tetracycline_site5,421
Nitrofurantoin_site3,422
Pyrazinamide_site3,423
Capreomycin IB_site5,424
Nadifloxacin_site6,425
Nalidixic acid_site9,426
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site7",427
Pyrazinamide_site4,428
Clarithromycin_site8,429
Cefalexin_site4,430
Sulfadiazine_site5,431
Cefixime_site8,432
Flumequine_site7,433
Flumequine_site5,434
Lamivudine_site5,435
Trimethoprim_site3,436
D-cycloserine_site1,437
Gentamycin C2 C2a C2b_site8,438
D-cycloserine_site6,439
Gentamycin C1a_site9,440
N-demethyl erythromycin_site9,441
N-acetyl sulfamethoxazole _site3,442
Acetyl-isoniazid _site9,443
Hydroxy-norfloxacin _site4,444
Nitrofurantoin_site4,445
Gentamycin C1_site5,446
Clarithromycin_site4,447
Sarafloxacin_site1,448
Ulifloxacin_site4,449
Oxytetracycline_site1,450
Doxycycline _site1,451
N-desmethyl clindamycin _site4,452
Ceftriaxone_site5,453
Thalidomide_site6,454
Flumequine_site1,455
N-desmethyl clindamycin _site1,456
N-desmethyl clarithromycin _site6,457
Cefixime_site5,458
25-desacetyl rifampicin _site6,459
25-O-desacetyl rifabutin _site8,460
Sulfamethoxazole_site8,461
Enrofloxacin_site8,462
D-cycloserine_site7,463
N-acetyl sulfamethoxazole _site1,464
Danofloxacin_site1,465
Thalidomide_site2,466
N-desmethyl azithromycin _site5,467
N-acetyl sulfapyridine _site6,468
Deacetyl-ketoconazole _site8,469
Cefixime_site7,470
Nadifloxacin_site8,471
Pyrazinamide_site6,472
Ofloxacin (Levofloxacin)_site2,473
Cefixime_site3,474
Norfloxacin_site9,475
Isoniazid_site8,476
Hydroxy-norfloxacin _site5,477
Tetracycline_site4,478
Gentamycin C1_site6,479
Ulifloxacin_site8,480
Ketoconazole_site7,481
Gentamycin C2 C2a C2b_site6,482
Meropenem_site2,483
Gentamycin C1a_site5,484
Delamanid_site3,485
Prulifloxacin_site8,486
N-demethyl erythromycin_site8,487
Besifloxacin_site3,488
Doxycycline _site3,489
Ceftriaxone_site7,490
Capreomycin IB_site1,491
Moxifloxacin_site5,492
Hydroxy-norfloxacin _site3,493
Ulifloxacin_site1,494
Gentamycin C1a_site8,495
Penicillin G_site6,496
Amoxicillin_site3,497
Sulfapyridine_site7,498
N-desmethyl azithromycin _site9,499
Isoniazid_site3,500
N-acetyl sulfadiazine _site2,501
Ciprofloxacin_site8,502
Sulfamethoxazole_site1,503
Ofloxacin (Levofloxacin)_site7,504
Cefalexin_site5,505
Nalidixic acid_site2,506
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site1",507
Desmethyl-ofloxacin _site3,508
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site8",509
Streptomycin A_site3,510
N-acetyl sulfamethoxazole _site2,511
Bedaquiline_site1,512
Ketoconazole_site5,513
Clindamycin_site8,514
4-hydroxy-trimethoprim _site7,515
N-desmethyl clindamycin _site3,516
Desethylene ciprofloxacin_site9,517
Ofloxacin (Levofloxacin)_site9,518
Chloramphenicol_site1,519
Isonicotinic acid_site8,520
Lamivudine_site2,521
Trimethoprim_site9,522
Gentamycin C1a_site3,523
Aztreonam_site9,524
25-desacetyl rifampicin _site2,525
Lomefloxacin_site8,526
Hydroxy-norfloxacin _site7,527
Ampicillin_site8,528
Oxytetracycline_site2,529
Chloramphenicol_site7,530
Moxifloxacin_site3,531
Hydroxy-norfloxacin _site1,532
Ulifloxacin_site9,533
Tetracycline_site9,534
Ketoconazole_site1,535
Oxytetracycline_site5,536
Danofloxacin_site5,537
Clarithromycin_site3,538
Clindamycin_site6,539
Isoniazid_site9,540
D-cycloserine_site3,541
Trimethoprim_site1,542
Isonicotinic acid_site7,543
Ofloxacin N-oxide_site9,544
Isoniazid_site2,545
N-acetyl sulfamethoxazole _site9,546
N-desmethyl clindamycin _site8,547
Hydroxy-metronidazole _site7,548
Sulfasalazine_site4,549
Isoniazid_site4,550
Doxycycline _site4,551
Gentamycin C1_site7,552
Sulfadiazine_site9,553
N-demethyl erythromycin_site7,554
Prulifloxacin_site6,555
Kanamycin A_site9,556
Kanamycin A_site7,557
Sulfamethoxazole_site2,558
Florfenicol_site2,559
Flucloxacillin_site2,560
Clindamycin_site3,561
