Features,Ranking
Ulifloxacin_site5,1
Florfenicol_site7,2
Amoxicillin_site8,3
Oxytetracycline_site3,4
N-desmethyl clarithromycin _site6,5
Nitrofurantoin_site5,6
Emtricitabine_site4,7
Erythromycin_site6,8
N-desmethyl clindamycin _site6,9
Amoxicillin_site6,10
4-hydroxy-trimethoprim _site2,11
Ofloxacin N-oxide_site2,12
Emtricitabine_site2,13
Rifampicin_site9,14
Azithromycin_site9,15
Flumequine_site5,16
Ceftiofur_site2,17
Lamivudine_site2,18
Flumequine_site4,19
Bedaquiline_site2,20
Cefixime_site9,21
Ethambutol_site4,22
Enrofloxacin_site3,23
Acetyl-isoniazid _site4,24
Emtricitabine_site5,25
Ethambutol_site9,26
Flucloxacillin_site4,27
Desethylene ciprofloxacin_site5,28
Danofloxacin_site9,29
4-hydroxy-trimethoprim _site4,30
Clindamycin_site9,31
Sulfadiazine_site9,32
Bedaquiline_site5,33
Sulfasalazine_site4,34
Chloramphenicol_site8,35
Cefixime_site7,36
Ofloxacin N-oxide_site7,37
Gentamycin C1a_site3,38
Lamivudine_site9,39
Flumequine_site3,40
Penicillin G_site3,41
Tetracycline_site6,42
Ethambutol_site8,43
Sulfamethoxazole_site6,44
N-desmethyl clindamycin _site5,45
Desmethyl-ofloxacin _site8,46
Sulfamethoxazole_site5,47
4-hydroxy-trimethoprim _site9,48
Prulifloxacin_site2,49
Ofloxacin N-oxide_site3,50
Florfenicol_site3,51
N-demethyl erythromycin_site1,52
N-desmethyl clarithromycin _site9,53
Acetyl-isoniazid _site7,54
Norfloxacin_site3,55
Isonicotinic acid_site8,56
Sarafloxacin_site8,57
Sarafloxacin_site5,58
Clarithromycin_site4,59
Amoxicillin_site2,60
Oxytetracycline_site4,61
Linezolid_site2,62
Amoxicilloic acid_site2,63
Gentamycin C2 C2a C2b_site4,64
Metronidazole_site6,65
5-Hydroxy-pyrazinoic acid _site7,66
Emtricitabine_site3,67
Gentamycin C1_site5,68
Flucloxacillin_site1,69
Imipenem_site2,70
Capreomycin IA_site6,71
Lomefloxacin_site6,72
Rifabutin_site9,73
Trimethoprim_site6,74
Lamivudine_site6,75
Ulifloxacin_site8,76
Isoniazid_site6,77
Emtricitabine_site9,78
Ciprofloxacin_site6,79
Clarithromycin_site7,80
Delamanid_site5,81
