Features,Ranking
Ampicillin_site8,1
Desmethyl-ofloxacin _site5,2
Gatifloxacin_site4,3
Amoxicilloic acid_site6,4
Lomefloxacin_site1,5
Linezolid_site6,6
Amoxicillin_site8,7
Acetyl-isoniazid _site2,8
N-desmethyl clarithromycin _site6,9
Ketoconazole_site2,10
N-desmethyl clarithromycin _site9,11
Florfenicol_site7,12
Clarithromycin_site4,13
Flumequine_site4,14
Erythromycin_site8,15
Ofloxacin (Levofloxacin)_site1,16
Ciprofloxacin_site8,17
Chloramphenicol_site5,18
Nalidixic acid_site8,19
Capreomycin IB_site3,20
Cefixime_site9,21
Sulfamethoxazole_site5,22
Doxycycline _site5,23
Erythromycin_site7,24
N-demethyl erythromycin_site1,25
Linezolid_site8,26
Flucloxacillin_site4,27
Ulifloxacin_site5,28
N-desmethyl clarithromycin _site2,29
Sulfasalazine_site2,30
Desethylene ciprofloxacin_site4,31
Cefixime_site2,32
Desethylene ciprofloxacin_site2,33
Norfloxacin_site5,34
Bedaquiline_site5,35
Erythromycin_site5,36
Amoxicillin_site3,37
Desethylene ciprofloxacin_site8,38
Imipenem_site4,39
Ceftiofur_site7,40
Clarithromycin_site7,41
Capreomycin IA_site8,42
N-acetyl sulfapyridine _site7,43
Lomefloxacin_site2,44
Desmethyl-ofloxacin _site8,45
Enrofloxacin_site6,46
Hydroxy-norfloxacin _site9,47
Deacetyl-ketoconazole _site5,48
Hydroxy-metronidazole _site6,49
Acetyl-isoniazid _site5,50
Nalidixic acid_site7,51
Sulfasalazine_site7,52
Capreomycin IB_site8,53
Imipenem_site3,54
Ethambutol_site2,55
N-demethyl erythromycin_site2,56
Danofloxacin_site4,57
Cefixime_site7,58
Metronidazole_site4,59
Ofloxacin N-oxide_site7,60
Trimethoprim_site2,61
Sulfamethoxazole_site6,62
Sarafloxacin_site3,63
Gentamycin C2 C2a C2b_site2,64
Gatifloxacin_site2,65
Streptomycin A_site9,66
Aztreonam_site9,67
Acetyl-isoniazid _site9,68
Norfloxacin_site2,69
Trimethoprim_site5,70
Ofloxacin (Levofloxacin)_site5,71
Clindamycin_site6,72
25-desacetyl rifampicin _site7,73
Penicillin V_site6,74
Prulifloxacin_site5,75
Flumequine_site3,76
Emtricitabine_site2,77
Lamivudine_site2,78
Isoniazid_site2,79
Ciprofloxacin_site5,80
Flucloxacillin_site5,81
Ofloxacin (Levofloxacin)_site7,82
Kanamycin A_site4,83
Rifabutin_site5,84
Gentamycin C1a_site5,85
Clarithromycin_site8,86
Capreomycin IA_site3,87
N-acetyl sulfamethoxazole _site8,88
Acetyl-isoniazid _site4,89
Flumequine_site7,90
Ketoconazole_site7,91
Oxytetracycline_site3,92
Rifampicin_site5,93
Pyrazinamide_site5,94
Sarafloxacin_site6,95
Ketoconazole_site3,96
Lamivudine_site4,97
Capreomycin IA_site5,98
Bedaquiline_site4,99
Oxytetracycline_site2,100
Desethylene ciprofloxacin_site7,101
Sulfasalazine_site5,102
Lamivudine_site9,103
Penicillin G_site3,104
N-demethyl erythromycin_site5,105
Ceftriaxone_site7,106
Hydroxy-metronidazole _site5,107
Trimethoprim_site7,108
Rifabutin_site6,109
Flucloxacillin_site7,110
Lamivudine_site5,111
Rifabutin_site2,112
Ceftiofur_site5,113
Hydroxy-norfloxacin _site8,114
Hydroxy-metronidazole _site8,115
Acetyl-isoniazid _site8,116
Erythromycin_site3,117
Lamivudine_site8,118
Nadifloxacin_site6,119
Moxifloxacin_site4,120
Gentamycin C1a_site3,121
Danofloxacin_site9,122
Amoxicillin_site5,123
Gentamycin C1_site6,124
Hydroxy-norfloxacin _site6,125
Azithromycin_site9,126
Acetyl-isoniazid _site7,127
Thalidomide_site8,128
Ulifloxacin_site8,129
4-hydroxy-trimethoprim _site6,130
Amoxicillin_site4,131
Pyrazinamide_site6,132
N-desmethyl clarithromycin _site3,133
Capreomycin IA_site4,134
Clarithromycin_site9,135
N-desmethyl clindamycin _site6,136
Acetyl-isoniazid _site3,137
Hydroxy-metronidazole _site4,138
Azithromycin_site3,139
Amoxicillin_site6,140
Gatifloxacin_site7,141
Cefalexin_site6,142
Trimethoprim_site4,143
Ofloxacin N-oxide_site2,144
Emtricitabine_site3,145
Cefalexin_site9,146
Ethambutol_site5,147
N-acetyl sulfamethoxazole _site4,148
N-acetyl sulfamethoxazole _site7,149
N-acetyl sulfadiazine _site6,150
Nitrofurantoin_site5,151
Isoniazid_site5,152
Ofloxacin N-oxide_site8,153
Lamivudine_site6,154
Prulifloxacin_site2,155
Desethylene ciprofloxacin_site3,156
N-acetyl sulfamethoxazole _site3,157
Sarafloxacin_site9,158
N-desmethyl azithromycin _site9,159
Meropenem_site4,160
Ofloxacin N-oxide_site9,161
Enrofloxacin_site5,162
Lomefloxacin_site6,163
Ofloxacin N-oxide_site5,164
Nalidixic acid_site4,165
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",166
Streptomycin A_site3,167
Flucloxacillin_site1,168
Ceftriaxone_site6,169
Isonicotinic acid_site1,170
Penicilloic G acid_site4,171
Imipenem_site6,172
Thalidomide_site5,173
Amoxicillin_site2,174
Kanamycin A_site5,175
Rifampicin_site6,176
Desmethyl-ofloxacin _site2,177
Ketoconazole_site8,178
Acetyl-isoniazid _site6,179
Doxycycline _site8,180
Bedaquiline_site2,181
Flumequine_site8,182
Aztreonam_site4,183
Chloramphenicol_site3,184
Meropenem_site5,185
4-hydroxy-trimethoprim _site2,186
Penicillin G_site1,187
N-desmethyl clarithromycin _site8,188
Sarafloxacin_site2,189
Streptomycin A_site6,190
Capreomycin IB_site6,191
Isonicotinic acid_site2,192
Ceftriaxone_site4,193
N-acetyl sulfapyridine _site9,194
Nitrofurantoin_site7,195
N-demethyl erythromycin_site4,196
Norfloxacin_site4,197
Meropenem_site2,198
Clarithromycin_site3,199
N-acetyl sulfapyridine _site2,200
Ethambutol_site7,201
Clarithromycin_site6,202
Desethylene ciprofloxacin_site5,203
Penicillin V_site5,204
Gentamycin C1_site5,205
Metronidazole_site8,206
Cefalexin_site7,207
Besifloxacin_site2,208
Ampicillin_site3,209
Chloramphenicol_site9,210
Penicillin V_site7,211
Delamanid_site8,212
Capreomycin IA_site9,213
Desmethyl-ofloxacin _site6,214
Lomefloxacin_site5,215
Ciprofloxacin_site6,216
Sulfadiazine_site5,217
Aztreonam_site8,218
Capreomycin IB_site9,219
Lomefloxacin_site4,220
4-hydroxy-trimethoprim _site1,221
N-desmethyl clindamycin _site5,222
Ulifloxacin_site1,223
Enrofloxacin_site3,224
Rifabutin_site1,225
25-desacetyl rifampicin _site4,226
Sulfamethoxazole_site8,227
Azithromycin_site6,228
Sulfasalazine_site8,229
Desmethyl-ofloxacin _site3,230
Kanamycin A_site7,231
Danofloxacin_site3,232
Hydroxy-metronidazole _site7,233
Ulifloxacin_site6,234
Florfenicol_site4,235
Amoxicilloic acid_site7,236
Linezolid_site5,237
Ceftriaxone_site3,238
Ampicillin_site4,239
Imipenem_site2,240
Sulfasalazine_site3,241
Amoxicilloic acid_site3,242
N-desmethyl clarithromycin _site1,243
Nitrofurantoin_site9,244
Clindamycin_site3,245
Isonicotinic acid_site9,246
Imipenem_site7,247
Thalidomide_site6,248
Sarafloxacin_site8,249
D-cycloserine_site3,250
Pyrazinamide_site8,251
Ampicilloic acid_site9,252
25-O-desacetyl rifabutin _site4,253
25-O-desacetyl rifabutin _site8,254
25-desacetyl rifampicin _site5,255
Florfenicol_site5,256
Ciprofloxacin_site1,257
