Features,Ranking
Nitrofurantoin_site2,1
Emtricitabine_site4,2
Lamivudine_site2,3
Acetyl-isoniazid _site4,4
Amoxicillin_site6,5
Ceftiofur_site2,6
Desethylene ciprofloxacin_site2,7
Streptomycin A_site4,8
4-hydroxy-trimethoprim _site4,9
Ofloxacin (Levofloxacin)_site6,10
Delamanid_site2,11
Flucloxacillin_site4,12
N-demethyl erythromycin_site6,13
Clarithromycin_site4,14
Azithromycin_site2,15
Amoxicilloic acid_site6,16
Hydroxy-norfloxacin _site6,17
Nalidixic acid_site6,18
N-desmethyl clarithromycin _site6,19
Rifabutin_site6,20
Sulfamethoxazole_site6,21
N-desmethyl clarithromycin _site2,22
Ulifloxacin_site4,23
Tetracycline_site6,24
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",25
Ethambutol_site2,26
Oxytetracycline_site2,27
Deacetyl-ketoconazole _site6,28
Pyrazinamide_site6,29
25-O-desacetyl rifabutin _site6,30
Lamivudine_site6,31
Lamivudine_site4,32
25-desacetyl rifampicin _site6,33
Oxytetracycline_site6,34
Emtricitabine_site6,35
Ofloxacin N-oxide_site6,36
Acetyl-isoniazid _site2,37
Acetyl-isoniazid _site6,38
Sulfasalazine_site4,39
N-acetyl sulfapyridine _site6,40
Doxycycline _site6,41
4-hydroxy-trimethoprim _site2,42
Bedaquiline_site2,43
Flumequine_site4,44
Penicilloic G acid_site4,45
Metronidazole_site6,46
Trimethoprim_site4,47
Ceftiofur_site6,48
4-hydroxy-trimethoprim _site6,49
Azithromycin_site4,50
Sarafloxacin_site6,51
N-desmethyl clindamycin _site6,52
Isonicotinic acid_site6,53
Isonicotinic acid_site2,54
Penicillin V_site2,55
Danofloxacin_site4,56
Trimethoprim_site6,57
Prulifloxacin_site4,58
Meropenem_site4,59
Moxifloxacin_site6,60
Nalidixic acid_site4,61
Kanamycin A_site6,62
Desmethyl-ofloxacin _site6,63
Pyrazinamide_site4,64
Bedaquiline_site4,65
Metronidazole_site4,66
Tetracycline_site4,67
Norfloxacin_site4,68
Nitrofurantoin_site6,69
Azithromycin_site6,70
Thalidomide_site6,71
Norfloxacin_site2,72
25-O-desacetyl rifabutin _site2,73
Delamanid_site6,74
Ketoconazole_site6,75
Gatifloxacin_site2,76
Cefixime_site6,77
