Features,Ranking
Acetyl-isoniazid _site1,1
Hydroxy-metronidazole _site6,2
Florfenicol_site7,3
Prulifloxacin_site5,4
N-demethyl erythromycin_site1,5
4-hydroxy-trimethoprim _site2,6
Flumequine_site5,7
Ofloxacin (Levofloxacin)_site1,8
Imipenem_site8,9
Amoxicilloic acid_site6,10
Azithromycin_site2,11
Florfenicol_site5,12
Delamanid_site2,13
Metronidazole_site5,14
Ulifloxacin_site5,15
Kanamycin A_site4,16
Lamivudine_site7,17
Amoxicillin_site8,18
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site3",19
Lomefloxacin_site8,20
4-hydroxy-trimethoprim _site6,21
Azithromycin_site9,22
N-demethyl erythromycin_site6,23
Flucloxacillin_site7,24
Imipenem_site5,25
Amoxicilloic acid_site5,26
Linezolid_site6,27
Nalidixic acid_site6,28
Desethylene ciprofloxacin_site6,29
N-acetyl sulfamethoxazole _site7,30
Hydroxy-norfloxacin _site8,31
Pyrazinamide_site5,32
Oxytetracycline_site8,33
Ceftiofur_site2,34
Clarithromycin_site9,35
25-O-desacetyl rifabutin _site5,36
Doxycycline _site5,37
Lomefloxacin_site2,38
N-desmethyl clindamycin _site6,39
Trimethoprim_site2,40
Metronidazole_site7,41
Ceftiofur_site5,42
Besifloxacin_site1,43
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site1",44
Ofloxacin N-oxide_site6,45
Acetyl-isoniazid _site7,46
Acetyl-isoniazid _site5,47
Thalidomide_site8,48
Rifabutin_site3,49
Flucloxacillin_site1,50
Prulifloxacin_site4,51
Lomefloxacin_site9,52
Streptomycin A_site9,53
Capreomycin IA_site9,54
Amoxicillin_site6,55
Oxytetracycline_site3,56
Moxifloxacin_site4,57
Desethylene ciprofloxacin_site8,58
Clarithromycin_site7,59
Ciprofloxacin_site6,60
Desethylene ciprofloxacin_site2,61
Tetracycline_site2,62
Ofloxacin (Levofloxacin)_site6,63
Emtricitabine_site3,64
Desmethyl-ofloxacin _site5,65
Sulfasalazine_site8,66
Penicillin V_site3,67
Nitrofurantoin_site3,68
Sulfasalazine_site4,69
Thalidomide_site7,70
25-desacetyl rifampicin _site6,71
Cefixime_site9,72
Ofloxacin N-oxide_site9,73
Bedaquiline_site2,74
Amoxicillin_site5,75
Ampicillin_site7,76
Gentamycin C1_site2,77
Emtricitabine_site2,78
Desmethyl-ofloxacin _site8,79
Amoxicillin_site4,80
Tetracycline_site6,81
Hydroxy-norfloxacin _site6,82
25-O-desacetyl rifabutin _site9,83
Pyrazinamide_site9,84
Erythromycin_site9,85
Moxifloxacin_site7,86
Lamivudine_site4,87
Nitrofurantoin_site7,88
Isoniazid_site1,89
Delamanid_site7,90
Norfloxacin_site2,91
Danofloxacin_site6,92
Desmethyl-ofloxacin _site6,93
5-Hydroxy-pyrazinoic acid _site7,94
Penicillin G_site3,95
Moxifloxacin_site5,96
Thalidomide_site3,97
Penicilloic G acid_site5,98
Sulfapyridine_site5,99
4-hydroxy-trimethoprim _site8,100
Ceftriaxone_site5,101
25-O-desacetyl rifabutin _site6,102
Gatifloxacin_site7,103
Capreomycin IB_site7,104
Linezolid_site2,105
Ketoconazole_site7,106
25-desacetyl rifampicin _site4,107
Lomefloxacin_site7,108
Lamivudine_site6,109
N-acetyl sulfapyridine _site6,110
Acetyl-isoniazid _site3,111
Rifampicin_site9,112
N-desmethyl clarithromycin _site6,113
Nitrofurantoin_site8,114
Oxytetracycline_site6,115
Streptomycin A_site7,116
Acetyl-isoniazid _site6,117
Cefalexin_site7,118
Bedaquiline_site7,119
Lamivudine_site5,120
Amoxicilloic acid_site4,121
Acetyl-isoniazid _site4,122
N-acetyl sulfadiazine _site3,123
Ulifloxacin_site8,124
Isonicotinic acid_site7,125
Danofloxacin_site7,126
25-O-desacetyl rifabutin _site7,127
Ethambutol_site2,128
Hydroxy-metronidazole _site4,129
Gentamycin C2 C2a C2b_site9,130
Oxytetracycline_site9,131
Oxytetracycline_site5,132
Rifabutin_site2,133
Capreomycin IB_site1,134
Sulfadiazine_site4,135
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site9",136
Lomefloxacin_site1,137
Sulfamethoxazole_site1,138
Emtricitabine_site5,139
Pyrazinamide_site7,140
Besifloxacin_site2,141
Enrofloxacin_site5,142
Ethambutol_site7,143
Ulifloxacin_site4,144
Capreomycin IA_site6,145
Sulfasalazine_site5,146
Lamivudine_site8,147
Clindamycin_site1,148
Chloramphenicol_site8,149
Gentamycin C2 C2a C2b_site2,150
Cefixime_site6,151
Penicilloic G acid_site3,152
4-hydroxy-trimethoprim _site4,153
Ciprofloxacin_site1,154
Acetyl-isoniazid _site2,155
Enrofloxacin_site3,156
Amoxicilloic acid_site9,157
Sarafloxacin_site7,158
Sarafloxacin_site8,159
Isonicotinic acid_site2,160
Nalidixic acid_site8,161
Nitrofurantoin_site5,162
Penicillin V_site9,163
Thalidomide_site5,164
Isoniazid_site5,165
Ofloxacin N-oxide_site3,166
Acetyl-isoniazid _site9,167
Isonicotinic acid_site3,168
Erythromycin_site5,169
Enrofloxacin_site7,170
Acetyl-isoniazid _site8,171
Deacetyl-ketoconazole _site9,172
Ethambutol_site6,173
Amoxicilloic acid_site7,174
Ofloxacin (Levofloxacin)_site5,175
Ceftiofur_site3,176
Penicilloic G acid_site6,177
Linezolid_site9,178
Rifampicin_site7,179
Lamivudine_site2,180
Streptomycin A_site4,181
N-acetyl sulfadiazine _site2,182
Sulfamethoxazole_site4,183
Sarafloxacin_site6,184
Aztreonam_site2,185
Isoniazid_site2,186
Capreomycin IB_site6,187
Flucloxacillin_site4,188
N-acetyl sulfamethoxazole _site3,189
Imipenem_site4,190
Emtricitabine_site4,191
Capreomycin IA_site5,192
Sulfamethoxazole_site7,193
Ceftiofur_site6,194
Hydroxy-metronidazole _site8,195
N-demethyl erythromycin_site2,196
Gentamycin C1a_site9,197
Ethambutol_site5,198
Florfenicol_site3,199
Capreomycin IA_site2,200
Capreomycin IA_site3,201
Ciprofloxacin_site5,202
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site7",203
4-hydroxy-trimethoprim _site5,204
Tetracycline_site7,205
Desmethyl-ofloxacin _site4,206
Capreomycin IA_site4,207
Flucloxacillin_site5,208
Azithromycin_site4,209
Desmethyl-ofloxacin _site7,210
Imipenem_site2,211
N-desmethyl clindamycin _site7,212
Nalidixic acid_site5,213
Streptomycin A_site2,214
Lamivudine_site9,215
Flumequine_site3,216
D-cycloserine_site3,217
Gentamycin C1a_site2,218
Gentamycin C1_site8,219
Azithromycin_site6,220
Ciprofloxacin_site4,221
Capreomycin IB_site3,222
Rifabutin_site5,223
Deacetyl-ketoconazole _site8,224
Ampicilloic acid_site4,225
Isonicotinic acid_site8,226
Imipenem_site3,227
Amoxicilloic acid_site3,228
Doxycycline _site6,229
Rifabutin_site9,230
Ketoconazole_site2,231
Prulifloxacin_site3,232
Meropenem_site9,233
Gatifloxacin_site9,234
Trimethoprim_site1,235
Cefixime_site4,236
Linezolid_site8,237
Penicillin V_site7,238
N-desmethyl azithromycin _site6,239
Cefalexin_site4,240
Erythromycin_site8,241
Nadifloxacin_site4,242
Amoxicilloic acid_site8,243
Deacetyl-ketoconazole _site3,244
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site9",245
Erythromycin_site3,246
Imipenem_site9,247
Gatifloxacin_site4,248
Danofloxacin_site9,249
Kanamycin A_site6,250
Sulfapyridine_site7,251
Sulfadiazine_site5,252
Metronidazole_site6,253
Metronidazole_site8,254
Prulifloxacin_site6,255
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site5",256
Linezolid_site4,257
Pyrazinamide_site2,258
Bedaquiline_site4,259
Norfloxacin_site4,260
Penicillin V_site1,261
Deacetyl-ketoconazole _site6,262
N-demethyl erythromycin_site7,263
Capreomycin IA_site8,264
Linezolid_site1,265
N-acetyl sulfapyridine _site7,266
Isonicotinic acid_site1,267
Flumequine_site6,268
N-desmethyl clarithromycin _site8,269
Gentamycin C1_site6,270
Ciprofloxacin_site7,271
Desmethyl-ofloxacin _site1,272
Desethylene ciprofloxacin_site7,273
25-O-desacetyl rifabutin _site4,274
N-acetyl sulfapyridine _site5,275
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",276
Penicilloic G acid_site2,277
Ceftriaxone_site2,278
Gentamycin C2 C2a C2b_site5,279
Moxifloxacin_site6,280
Ceftriaxone_site6,281
N-acetyl sulfapyridine _site8,282
Penicillin G_site7,283
Ampicillin_site2,284
Ceftiofur_site1,285
Ulifloxacin_site7,286
Emtricitabine_site6,287
Nalidixic acid_site4,288
Penicillin G_site8,289
Emtricitabine_site1,290
Ofloxacin N-oxide_site7,291
Nadifloxacin_site2,292
Nitrofurantoin_site1,293
Linezolid_site3,294
Nalidixic acid_site3,295
Meropenem_site5,296
Hydroxy-norfloxacin _site2,297
Gentamycin C1a_site6,298
4-hydroxy-trimethoprim _site7,299
Nadifloxacin_site3,300
Hydroxy-metronidazole _site7,301
Metronidazole_site1,302
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site8",303
Doxycycline _site7,304
Delamanid_site4,305
Sulfapyridine_site6,306
Ethambutol_site4,307
Rifampicin_site6,308
Enrofloxacin_site1,309
Ketoconazole_site3,310
Ethambutol_site1,311
Lomefloxacin_site4,312
Ceftriaxone_site7,313
Tetracycline_site8,314
Clindamycin_site5,315
Erythromycin_site4,316
Azithromycin_site7,317
Ulifloxacin_site3,318
Clarithromycin_site4,319
Florfenicol_site6,320
Nadifloxacin_site5,321
Nadifloxacin_site1,322
Ethambutol_site8,323
Sulfasalazine_site2,324
Isoniazid_site6,325
Meropenem_site8,326
Deacetyl-ketoconazole _site7,327
N-acetyl sulfadiazine _site6,328
N-demethyl erythromycin_site5,329
Lomefloxacin_site6,330
Besifloxacin_site9,331
Ampicillin_site5,332
N-desmethyl azithromycin _site7,333
Nadifloxacin_site7,334
Moxifloxacin_site1,335
Norfloxacin_site3,336
Aztreonam_site4,337
Kanamycin A_site2,338
Sulfadiazine_site8,339
Sulfasalazine_site3,340
Azithromycin_site1,341
N-desmethyl azithromycin _site9,342
Oxytetracycline_site4,343
N-acetyl sulfapyridine _site2,344
Tetracycline_site3,345
Desethylene ciprofloxacin_site1,346
5-Hydroxy-pyrazinoic acid _site8,347
Streptomycin A_site3,348
Aztreonam_site8,349
N-desmethyl azithromycin _site4,350
Sulfapyridine_site4,351
N-acetyl sulfamethoxazole _site1,352
Ulifloxacin_site6,353
Pyrazinamide_site4,354
N-desmethyl azithromycin _site1,355
Gentamycin C2 C2a C2b_site4,356
Penicillin G_site1,357
N-demethyl erythromycin_site3,358
Rifabutin_site1,359
Lomefloxacin_site3,360
Flucloxacillin_site8,361
Chloramphenicol_site3,362
Gatifloxacin_site6,363
Hydroxy-norfloxacin _site7,364
Clarithromycin_site8,365
Gatifloxacin_site2,366
Bedaquiline_site6,367
N-acetyl sulfamethoxazole _site4,368
Ceftriaxone_site3,369
Besifloxacin_site6,370
25-O-desacetyl rifabutin _site3,371
Nitrofurantoin_site6,372
Thalidomide_site6,373
Azithromycin_site3,374
Gentamycin C1a_site4,375
Desmethyl-ofloxacin _site9,376
Gentamycin C1_site9,377
Delamanid_site8,378
Isonicotinic acid_site4,379
Chloramphenicol_site9,380
Ketoconazole_site9,381
Emtricitabine_site8,382
N-acetyl sulfamethoxazole _site6,383
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site8",384
Penicillin V_site5,385
Besifloxacin_site5,386
Ceftiofur_site4,387
Amoxicillin_site9,388
Pyrazinamide_site6,389
Hydroxy-norfloxacin _site9,390
N-desmethyl clarithromycin _site1,391
Ofloxacin N-oxide_site4,392
Gentamycin C2 C2a C2b_site7,393
Streptomycin A_site6,394
Ceftriaxone_site8,395
Desethylene ciprofloxacin_site9,396
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site7",397
Cefalexin_site9,398
Pyrazinamide_site8,399
Gentamycin C1_site5,400
Norfloxacin_site1,401
Isonicotinic acid_site9,402
Flucloxacillin_site9,403
Sarafloxacin_site2,404
Flumequine_site4,405
Capreomycin IB_site8,406
Kanamycin A_site5,407
Sulfasalazine_site6,408
D-cycloserine_site4,409
Aztreonam_site6,410
Penicillin V_site8,411
Aztreonam_site5,412
Ketoconazole_site8,413
Ofloxacin N-oxide_site8,414
Ampicillin_site6,415
N-desmethyl azithromycin _site3,416
Bedaquiline_site1,417
Amoxicillin_site2,418
Amoxicillin_site7,419
Imipenem_site6,420
Capreomycin IB_site5,421
Gentamycin C1_site7,422
Danofloxacin_site3,423
Penicillin G_site4,424
Clarithromycin_site1,425
Doxycycline _site9,426
Tetracycline_site4,427
Erythromycin_site6,428
Prulifloxacin_site1,429
Metronidazole_site4,430
Moxifloxacin_site3,431
Cefixime_site2,432
Capreomycin IB_site4,433
Desethylene ciprofloxacin_site3,434
Capreomycin IB_site9,435
Desmethyl-ofloxacin _site3,436
Clindamycin_site6,437
N-demethyl erythromycin_site4,438
Enrofloxacin_site9,439
25-desacetyl rifampicin _site7,440
Gatifloxacin_site5,441
Gatifloxacin_site1,442
Meropenem_site6,443
Ethambutol_site3,444
Ketoconazole_site1,445
Isonicotinic acid_site5,446
Ampicilloic acid_site3,447
25-desacetyl rifampicin _site9,448
Ampicillin_site4,449
25-desacetyl rifampicin _site1,450
Imipenem_site7,451
Penicillin V_site6,452
Kanamycin A_site1,453
Ceftiofur_site8,454
Streptomycin A_site5,455
Florfenicol_site4,456
Ofloxacin (Levofloxacin)_site8,457
Sulfadiazine_site3,458
Ceftriaxone_site4,459
Deacetyl-ketoconazole _site1,460
Sulfadiazine_site2,461
Tetracycline_site9,462
Nadifloxacin_site9,463
Trimethoprim_site8,464
N-desmethyl clarithromycin _site9,465
Rifabutin_site7,466
Hydroxy-norfloxacin _site5,467
Sulfamethoxazole_site6,468
Ciprofloxacin_site9,469
D-cycloserine_site8,470
Streptomycin A_site8,471
Clindamycin_site2,472
Moxifloxacin_site9,473
D-cycloserine_site2,474
Bedaquiline_site9,475
Erythromycin_site1,476
Aztreonam_site3,477
Rifampicin_site3,478
Metronidazole_site9,479
Bedaquiline_site5,480
Pyrazinamide_site3,481
Kanamycin A_site3,482
Rifabutin_site8,483
N-desmethyl clindamycin _site2,484
N-demethyl erythromycin_site9,485
Hydroxy-metronidazole _site3,486
Trimethoprim_site3,487
Hydroxy-norfloxacin _site4,488
Metronidazole_site2,489
Nitrofurantoin_site4,490
Sarafloxacin_site5,491
Delamanid_site1,492
Aztreonam_site9,493
Erythromycin_site2,494
Cefixime_site5,495
Kanamycin A_site9,496
Besifloxacin_site3,497
N-desmethyl clarithromycin _site4,498
Sarafloxacin_site1,499
Gentamycin C1a_site5,500
Sulfadiazine_site6,501
Azithromycin_site5,502
Clarithromycin_site2,503
Aztreonam_site1,504
Lamivudine_site3,505
Nalidixic acid_site9,506
Clarithromycin_site3,507
Rifampicin_site8,508
Hydroxy-metronidazole _site2,509
Nalidixic acid_site1,510
D-cycloserine_site6,511
N-desmethyl clarithromycin _site5,512
Penicillin G_site2,513
D-cycloserine_site1,514
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",515
Sulfapyridine_site1,516
4-hydroxy-trimethoprim _site9,517
Oxytetracycline_site1,518
Cefixime_site7,519
Danofloxacin_site1,520
25-desacetyl rifampicin _site8,521
Ampicillin_site3,522
Clindamycin_site3,523
Ciprofloxacin_site8,524
Doxycycline _site2,525
N-desmethyl azithromycin _site5,526
Doxycycline _site1,527
Flumequine_site1,528
Cefalexin_site2,529
Trimethoprim_site7,530
Ceftriaxone_site9,531
Chloramphenicol_site1,532
N-desmethyl clarithromycin _site7,533
N-desmethyl clarithromycin _site3,534
N-desmethyl clindamycin _site1,535
Gentamycin C2 C2a C2b_site8,536
Nitrofurantoin_site2,537
Moxifloxacin_site2,538
Cefixime_site3,539
Nadifloxacin_site8,540
N-desmethyl clindamycin _site9,541
Linezolid_site7,542
Thalidomide_site4,543
Gentamycin C1a_site8,544
Enrofloxacin_site2,545
Clindamycin_site9,546
Capreomycin IB_site2,547
Thalidomide_site2,548
Sarafloxacin_site4,549
Prulifloxacin_site8,550
Enrofloxacin_site6,551
Deacetyl-ketoconazole _site2,552
Ofloxacin (Levofloxacin)_site2,553
Imipenem_site1,554
N-desmethyl azithromycin _site8,555
Isonicotinic acid_site6,556
5-Hydroxy-pyrazinoic acid _site9,557
Linezolid_site5,558
Chloramphenicol_site6,559
Delamanid_site3,560
Sulfadiazine_site7,561
Nalidixic acid_site7,562
Prulifloxacin_site7,563
Delamanid_site5,564
Emtricitabine_site9,565
N-desmethyl clarithromycin _site2,566
Norfloxacin_site9,567
Sarafloxacin_site9,568
Hydroxy-metronidazole _site9,569
Flumequine_site9,570
Bedaquiline_site3,571
Meropenem_site2,572
Nadifloxacin_site6,573
Gentamycin C1a_site3,574
Aztreonam_site7,575
Gentamycin C2 C2a C2b_site6,576
Doxycycline _site3,577
Amoxicilloic acid_site2,578
4-hydroxy-trimethoprim _site1,579
N-acetyl sulfamethoxazole _site8,580
Ofloxacin N-oxide_site1,581
Sarafloxacin_site3,582
N-demethyl erythromycin_site8,583
N-acetyl sulfamethoxazole _site2,584
D-cycloserine_site5,585
Flumequine_site7,586
Flumequine_site2,587
Rifabutin_site4,588
N-acetyl sulfapyridine _site3,589
Sulfamethoxazole_site5,590
Sulfasalazine_site1,591
Nalidixic acid_site2,592
Besifloxacin_site4,593
Erythromycin_site7,594
Ofloxacin N-oxide_site5,595
Ofloxacin (Levofloxacin)_site9,596
Danofloxacin_site4,597
Gatifloxacin_site3,598
Chloramphenicol_site5,599
Capreomycin IA_site7,600
Azithromycin_site8,601
Norfloxacin_site6,602
Rifabutin_site6,603
Clindamycin_site8,604
Ulifloxacin_site9,605
Metronidazole_site3,606
Amoxicillin_site3,607
Deacetyl-ketoconazole _site5,608
Sulfadiazine_site9,609
Ampicillin_site9,610
Gentamycin C1a_site7,611
Danofloxacin_site5,612
N-desmethyl clindamycin _site3,613
25-desacetyl rifampicin _site5,614
Ceftiofur_site7,615
Sulfasalazine_site7,616
Ofloxacin N-oxide_site2,617
Tetracycline_site5,618
Ulifloxacin_site1,619
Ampicilloic acid_site6,620
Chloramphenicol_site7,621
4-hydroxy-trimethoprim _site3,622
Doxycycline _site4,623
