Features,Ranking
Desmethyl-ofloxacin _site6,1
Prulifloxacin_site4,2
Ceftriaxone_site2,3
4-hydroxy-trimethoprim _site6,4
Gentamycin C2 C2a C2b_site2,5
Rifabutin_site4,6
N-desmethyl clarithromycin _site2,7
N-acetyl sulfadiazine _site6,8
Ceftriaxone_site6,9
Ofloxacin N-oxide_site4,10
Trimethoprim_site4,11
Amoxicilloic acid_site4,12
N-acetyl sulfamethoxazole _site4,13
Cefixime_site2,14
25-O-desacetyl rifabutin _site4,15
Gentamycin C1a_site4,16
Tetracycline_site2,17
Ethambutol_site6,18
Nadifloxacin_site6,19
Delamanid_site4,20
Gentamycin C2 C2a C2b_site4,21
Ofloxacin (Levofloxacin)_site6,22
D-cycloserine_site4,23
Nitrofurantoin_site6,24
Enrofloxacin_site6,25
Sarafloxacin_site6,26
Ceftiofur_site6,27
Danofloxacin_site6,28
Gatifloxacin_site2,29
Cefalexin_site2,30
Trimethoprim_site6,31
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",32
Penicilloic G acid_site6,33
Ulifloxacin_site4,34
Hydroxy-metronidazole _site2,35
Ketoconazole_site6,36
Clarithromycin_site2,37
N-desmethyl clarithromycin _site4,38
Erythromycin_site2,39
Oxytetracycline_site4,40
Metronidazole_site2,41
Sulfadiazine_site6,42
Ketoconazole_site4,43
Besifloxacin_site4,44
N-desmethyl clindamycin _site2,45
Flumequine_site4,46
Moxifloxacin_site2,47
Sulfadiazine_site2,48
Linezolid_site2,49
D-cycloserine_site2,50
Deacetyl-ketoconazole _site2,51
N-desmethyl azithromycin _site2,52
Clindamycin_site2,53
Desethylene ciprofloxacin_site2,54
Capreomycin IB_site2,55
Emtricitabine_site6,56
Doxycycline _site2,57
Hydroxy-norfloxacin _site4,58
Meropenem_site6,59
N-acetyl sulfapyridine _site2,60
D-cycloserine_site6,61
Isonicotinic acid_site6,62
Prulifloxacin_site2,63
Trimethoprim_site2,64
Lamivudine_site2,65
N-desmethyl clindamycin _site4,66
Nitrofurantoin_site4,67
Ketoconazole_site2,68
Isonicotinic acid_site4,69
Thalidomide_site2,70
Ofloxacin (Levofloxacin)_site2,71
Gentamycin C2 C2a C2b_site6,72
Penicillin G_site6,73
Emtricitabine_site2,74
Metronidazole_site4,75
N-acetyl sulfamethoxazole _site2,76
Nalidixic acid_site2,77
Amoxicillin_site4,78
Deacetyl-ketoconazole _site4,79
25-desacetyl rifampicin _site2,80
N-desmethyl azithromycin _site4,81
Enrofloxacin_site2,82
Clindamycin_site6,83
Capreomycin IB_site4,84
Cefalexin_site6,85
Ethambutol_site4,86
Penicillin V_site2,87
Capreomycin IB_site6,88
Azithromycin_site4,89
Sulfamethoxazole_site6,90
Cefixime_site6,91
Ampicillin_site4,92
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site6",93
25-O-desacetyl rifabutin _site6,94
Thalidomide_site6,95
Penicillin G_site2,96
Gatifloxacin_site6,97
Linezolid_site6,98
Nitrofurantoin_site2,99
Deacetyl-ketoconazole _site6,100
Isoniazid_site4,101
Kanamycin A_site6,102
Acetyl-isoniazid _site4,103
Doxycycline _site4,104
Isonicotinic acid_site2,105
Streptomycin A_site4,106
Hydroxy-norfloxacin _site6,107
Azithromycin_site2,108
Florfenicol_site2,109
Ciprofloxacin_site6,110
N-acetyl sulfamethoxazole _site6,111
Gatifloxacin_site4,112
Rifabutin_site2,113
Sulfamethoxazole_site2,114
Flucloxacillin_site2,115
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",116
Clarithromycin_site4,117
Acetyl-isoniazid _site2,118
Sulfasalazine_site4,119
Penicillin V_site6,120
Thalidomide_site4,121
25-desacetyl rifampicin _site4,122
Tetracycline_site4,123
Azithromycin_site6,124
Enrofloxacin_site4,125
Besifloxacin_site2,126
Ceftiofur_site4,127
Florfenicol_site4,128
Streptomycin A_site2,129
Penicilloic G acid_site4,130
Bedaquiline_site2,131
Penicilloic G acid_site2,132
Pyrazinamide_site6,133
Delamanid_site2,134
Tetracycline_site6,135
Chloramphenicol_site6,136
Desethylene ciprofloxacin_site6,137
Moxifloxacin_site6,138
Hydroxy-norfloxacin _site2,139
Sulfasalazine_site6,140
Ampicillin_site6,141
Capreomycin IA_site6,142
Imipenem_site6,143
Capreomycin IA_site4,144
N-demethyl erythromycin_site6,145
Ofloxacin N-oxide_site2,146
Gentamycin C1_site6,147
Meropenem_site4,148
Desmethyl-ofloxacin _site2,149
Erythromycin_site6,150
Sulfapyridine_site2,151
Florfenicol_site6,152
N-desmethyl clarithromycin _site6,153
Amoxicillin_site6,154
4-hydroxy-trimethoprim _site2,155
Erythromycin_site4,156
Linezolid_site4,157
Sulfapyridine_site6,158
Moxifloxacin_site4,159
Gentamycin C1a_site6,160
Acetyl-isoniazid _site6,161
Nadifloxacin_site2,162
25-O-desacetyl rifabutin _site2,163
Oxytetracycline_site6,164
Flumequine_site6,165
Ampicillin_site2,166
Sulfadiazine_site4,167
Hydroxy-metronidazole _site4,168
Ethambutol_site2,169
Flucloxacillin_site4,170
Aztreonam_site6,171
Lamivudine_site4,172
Gentamycin C1a_site2,173
Nadifloxacin_site4,174
Besifloxacin_site6,175
Lomefloxacin_site6,176
Ampicilloic acid_site6,177
Imipenem_site4,178
Sarafloxacin_site2,179
Amoxicilloic acid_site6,180
Ceftriaxone_site4,181
N-desmethyl azithromycin _site6,182
Lomefloxacin_site2,183
N-demethyl erythromycin_site2,184
Sulfasalazine_site2,185
Bedaquiline_site6,186
N-demethyl erythromycin_site4,187
Ciprofloxacin_site2,188
Sulfapyridine_site4,189
Ulifloxacin_site6,190
Cefixime_site4,191
Meropenem_site2,192
Nalidixic acid_site4,193
Ofloxacin (Levofloxacin)_site4,194
Lomefloxacin_site4,195
Streptomycin A_site6,196
Penicillin G_site4,197
Desethylene ciprofloxacin_site4,198
Norfloxacin_site6,199
Chloramphenicol_site2,200
Chloramphenicol_site4,201
Oxytetracycline_site2,202
N-acetyl sulfapyridine _site4,203
Ofloxacin N-oxide_site6,204
Lamivudine_site6,205
Metronidazole_site6,206
4-hydroxy-trimethoprim _site4,207
N-desmethyl clindamycin _site6,208
Delamanid_site6,209
Isoniazid_site2,210
Amoxicillin_site2,211
Imipenem_site2,212
Penicillin V_site4,213
Sarafloxacin_site4,214
Ciprofloxacin_site4,215
Kanamycin A_site2,216
25-desacetyl rifampicin _site6,217
Norfloxacin_site2,218
Danofloxacin_site4,219
Desmethyl-ofloxacin _site4,220
Isoniazid_site6,221
Ceftiofur_site2,222
Prulifloxacin_site6,223
Rifampicin_site6,224
Aztreonam_site4,225
Bedaquiline_site4,226
Kanamycin A_site4,227
Hydroxy-metronidazole _site6,228
N-acetyl sulfapyridine _site6,229
