Features,Ranking
Sarafloxacin_site6,1
Lomefloxacin_site4,2
Imipenem_site2,3
Flumequine_site4,4
Capreomycin IA_site6,5
Gentamycin C1a_site4,6
N-acetyl sulfadiazine _site6,7
Clarithromycin_site4,8
Capreomycin IB_site6,9
Amoxicilloic acid_site6,10
Penicillin V_site4,11
Sulfamethoxazole_site6,12
Deacetyl-ketoconazole _site6,13
Desmethyl-ofloxacin _site2,14
Gatifloxacin_site4,15
Desmethyl-ofloxacin _site6,16
Streptomycin A_site4,17
Gentamycin C2 C2a C2b_site4,18
Enrofloxacin_site2,19
Trimethoprim_site2,20
Ethambutol_site2,21
Hydroxy-metronidazole _site6,22
Cefixime_site2,23
Lamivudine_site4,24
Linezolid_site6,25
Ketoconazole_site2,26
Imipenem_site6,27
4-hydroxy-trimethoprim _site2,28
Lamivudine_site2,29
Enrofloxacin_site6,30
Cefalexin_site2,31
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site2",32
Oxytetracycline_site2,33
Hydroxy-metronidazole _site2,34
Ciprofloxacin_site4,35
Ceftiofur_site2,36
Clarithromycin_site2,37
Capreomycin IA_site4,38
Oxytetracycline_site6,39
Lomefloxacin_site6,40
Gentamycin C2 C2a C2b_site2,41
Nitrofurantoin_site2,42
Erythromycin_site2,43
Metronidazole_site2,44
Sulfasalazine_site4,45
4-hydroxy-trimethoprim _site6,46
Sulfadiazine_site6,47
Hydroxy-norfloxacin _site6,48
N-desmethyl clarithromycin _site4,49
Nalidixic acid_site4,50
Prulifloxacin_site4,51
N-desmethyl clindamycin _site2,52
Sulfadiazine_site2,53
Ofloxacin N-oxide_site6,54
Moxifloxacin_site2,55
D-cycloserine_site2,56
Meropenem_site4,57
Clindamycin_site2,58
Besifloxacin_site4,59
Deacetyl-ketoconazole _site2,60
Rifampicin_site6,61
Capreomycin IB_site2,62
Doxycycline _site2,63
Ulifloxacin_site4,64
Ethambutol_site4,65
Ceftriaxone_site4,66
Emtricitabine_site2,67
Sarafloxacin_site2,68
Delamanid_site2,69
N-desmethyl azithromycin _site2,70
Ulifloxacin_site6,71
Lamivudine_site6,72
Azithromycin_site4,73
Prulifloxacin_site2,74
Streptomycin A_site6,75
Desethylene ciprofloxacin_site4,76
Isoniazid_site2,77
25-desacetyl rifampicin _site6,78
Bedaquiline_site4,79
Amoxicillin_site6,80
D-cycloserine_site6,81
Ceftriaxone_site6,82
Penicillin V_site2,83
N-desmethyl clindamycin _site4,84
Isoniazid_site6,85
Cefixime_site6,86
Hydroxy-norfloxacin _site4,87
Amoxicillin_site2,88
Nitrofurantoin_site4,89
N-desmethyl clarithromycin _site2,90
Pyrazinamide_site6,91
Thalidomide_site2,92
N-demethyl erythromycin_site6,93
Nadifloxacin_site6,94
Isonicotinic acid_site2,95
Ciprofloxacin_site2,96
Ofloxacin (Levofloxacin)_site2,97
Flumequine_site2,98
Ciprofloxacin_site6,99
Gentamycin C2 C2a C2b_site6,100
N-acetyl sulfapyridine _site2,101
Besifloxacin_site2,102
Emtricitabine_site6,103
Gentamycin C1_site6,104
Amoxicilloic acid_site2,105
Penicillin G_site6,106
N-acetyl sulfamethoxazole _site2,107
Delamanid_site6,108
Imipenem_site4,109
Nalidixic acid_site2,110
Acetyl-isoniazid _site4,111
25-O-desacetyl rifabutin _site4,112
Florfenicol_site4,113
Norfloxacin_site6,114
Ceftiofur_site6,115
Amoxicilloic acid_site4,116
