Features,Ranking
Ciprofloxacin_site6,1
Delamanid_site2,2
Capreomycin IA_site9,3
Trimethoprim_site6,4
Desmethyl-ofloxacin _site8,5
Tetracycline_site8,6
25-desacetyl rifampicin _site7,7
Kanamycin A_site4,8
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",9
Doxycycline _site6,10
N-desmethyl clarithromycin _site6,11
Aztreonam_site7,12
Flucloxacillin_site4,13
Nalidixic acid_site8,14
Amoxicillin_site9,15
4-hydroxy-trimethoprim _site9,16
Deacetyl-ketoconazole _site7,17
Cefixime_site2,18
Doxycycline _site4,19
Doxycycline _site5,20
Ceftriaxone_site6,21
Florfenicol_site7,22
N-desmethyl azithromycin _site4,23
Linezolid_site3,24
Penicilloic G acid_site3,25
Isonicotinic acid_site4,26
Amoxicilloic acid_site4,27
Florfenicol_site3,28
Isonicotinic acid_site3,29
Gatifloxacin_site2,30
Rifabutin_site6,31
Flumequine_site5,32
Azithromycin_site7,33
Streptomycin A_site9,34
Rifabutin_site9,35
N-acetyl sulfadiazine _site6,36
Ceftiofur_site8,37
Lomefloxacin_site9,38
Penicillin G_site2,39
Streptomycin A_site7,40
Lamivudine_site5,41
Deacetyl-ketoconazole _site6,42
N-acetyl sulfapyridine _site6,43
N-acetyl sulfadiazine _site3,44
Ketoconazole_site6,45
Amoxicilloic acid_site9,46
Delamanid_site4,47
Doxycycline _site7,48
Desmethyl-ofloxacin _site6,49
Erythromycin_site9,50
Sulfadiazine_site9,51
N-demethyl erythromycin_site6,52
Azithromycin_site4,53
Ceftriaxone_site9,54
Acetyl-isoniazid _site1,55
D-cycloserine_site4,56
Danofloxacin_site9,57
Isonicotinic acid_site6,58
Amoxicilloic acid_site8,59
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site9",60
Tetracycline_site2,61
25-O-desacetyl rifabutin _site7,62
Meropenem_site9,63
Emtricitabine_site6,64
Trimethoprim_site4,65
Capreomycin IA_site2,66
Sarafloxacin_site7,67
Nitrofurantoin_site2,68
N-demethyl erythromycin_site7,69
Pyrazinamide_site5,70
Sulfamethoxazole_site4,71
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site1",72
Sarafloxacin_site6,73
D-cycloserine_site5,74
5-Hydroxy-pyrazinoic acid _site7,75
Isonicotinic acid_site5,76
Linezolid_site5,77
Danofloxacin_site4,78
Isonicotinic acid_site9,79
Prulifloxacin_site2,80
Nitrofurantoin_site3,81
Gentamycin C1_site9,82
Ceftiofur_site3,83
Gentamycin C1a_site4,84
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site3",85
Isonicotinic acid_site8,86
D-cycloserine_site9,87
Ulifloxacin_site8,88
Ethambutol_site5,89
Ofloxacin N-oxide_site3,90
