Features,Ranking
Emtricitabine_site3,1
N-desmethyl clarithromycin _site2,2
N-demethyl erythromycin_site1,3
Nitrofurantoin_site2,4
Hydroxy-metronidazole _site6,5
Linezolid_site6,6
Amoxicilloic acid_site2,7
Acetyl-isoniazid _site4,8
Erythromycin_site7,9
Nitrofurantoin_site5,10
Amoxicillin_site8,11
Ofloxacin (Levofloxacin)_site8,12
Ethambutol_site4,13
Emtricitabine_site4,14
Amoxicilloic acid_site6,15
Florfenicol_site7,16
Imipenem_site8,17
Streptomycin A_site9,18
Ethambutol_site9,19
Bedaquiline_site7,20
Pyrazinamide_site5,21
Ulifloxacin_site5,22
25-desacetyl rifampicin _site6,23
Lamivudine_site7,24
N-desmethyl clarithromycin _site6,25
Rifabutin_site6,26
Lamivudine_site8,27
Ofloxacin N-oxide_site7,28
Rifabutin_site3,29
Sarafloxacin_site3,30
Clarithromycin_site9,31
Emtricitabine_site5,32
Capreomycin IA_site2,33
Rifabutin_site9,34
Hydroxy-norfloxacin _site8,35
Hydroxy-metronidazole _site5,36
Sulfamethoxazole_site6,37
Acetyl-isoniazid _site6,38
4-hydroxy-trimethoprim _site4,39
Metronidazole_site5,40
Danofloxacin_site4,41
N-acetyl sulfadiazine _site6,42
Delamanid_site2,43
Acetyl-isoniazid _site1,44
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site4",45
Amoxicillin_site2,46
Chloramphenicol_site8,47
Ofloxacin N-oxide_site2,48
Isoniazid_site1,49
Amoxicillin_site4,50
Doxycycline _site5,51
Erythromycin_site3,52
Ofloxacin N-oxide_site5,53
Imipenem_site2,54
N-desmethyl clarithromycin _site9,55
Rifampicin_site6,56
Erythromycin_site5,57
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site3",58
Erythromycin_site6,59
Isonicotinic acid_site3,60
Cefalexin_site9,61
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site1",62
Sarafloxacin_site5,63
Flumequine_site5,64
Sulfapyridine_site5,65
Ampicilloic acid_site3,66
Ciprofloxacin_site1,67
Penicillin V_site9,68
Desethylene ciprofloxacin_site3,69
Metronidazole_site8,70
Lomefloxacin_site1,71
Isoniazid_site6,72
N-desmethyl clarithromycin _site8,73
Isonicotinic acid_site6,74
5-Hydroxy-pyrazinoic acid _site7,75
Amoxicilloic acid_site7,76
Ampicillin_site5,77
Gatifloxacin_site4,78
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site8",79
Azithromycin_site3,80
Pyrazinamide_site6,81
Sulfamethoxazole_site5,82
Cefixime_site9,83
Azithromycin_site2,84
Ofloxacin (Levofloxacin)_site6,85
Acetyl-isoniazid _site5,86
Penicilloic G acid_site4,87
Ciprofloxacin_site4,88
4-hydroxy-trimethoprim _site7,89
Metronidazole_site7,90
25-desacetyl rifampicin _site4,91
Streptomycin A_site4,92
Ofloxacin N-oxide_site4,93
N-acetyl sulfapyridine _site5,94
Penicilloic G acid_site6,95
Amoxicilloic acid_site4,96
Ofloxacin N-oxide_site3,97
Deacetyl-ketoconazole _site6,98
Rifampicin_site9,99
Linezolid_site2,100
N-acetyl sulfamethoxazole _site7,101
Delamanid_site4,102
Ofloxacin (Levofloxacin)_site1,103
Oxytetracycline_site8,104
Penicillin V_site2,105
Florfenicol_site3,106
Sulfasalazine_site8,107
Lomefloxacin_site2,108
Amoxicilloic acid_site5,109
Ethambutol_site7,110
Trimethoprim_site6,111
Sarafloxacin_site8,112
Lamivudine_site2,113
4-hydroxy-trimethoprim _site8,114
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site9",115
Tetracycline_site2,116
N-demethyl erythromycin_site3,117
Emtricitabine_site1,118
Kanamycin A_site3,119
N-acetyl sulfamethoxazole _site8,120
N-desmethyl azithromycin _site7,121
Hydroxy-norfloxacin _site6,122
Amoxicillin_site7,123
Sulfasalazine_site4,124
N-demethyl erythromycin_site6,125
Delamanid_site7,126
Doxycycline _site6,127
Oxytetracycline_site9,128
Moxifloxacin_site4,129
Isonicotinic acid_site4,130
Cefixime_site7,131
N-acetyl sulfadiazine _site8,132
Ethambutol_site5,133
Gentamycin C1_site7,134
Azithromycin_site7,135
Clarithromycin_site4,136
D-cycloserine_site4,137
Nadifloxacin_site4,138
Penicillin G_site7,139
Flucloxacillin_site7,140
Pyrazinamide_site7,141
Norfloxacin_site3,142
Ceftriaxone_site9,143
Acetyl-isoniazid _site3,144
Bedaquiline_site9,145
Desmethyl-ofloxacin _site7,146
Norfloxacin_site6,147
Ampicilloic acid_site4,148
N-desmethyl azithromycin _site6,149
Gentamycin C2 C2a C2b_site5,150
Prulifloxacin_site5,151
Gatifloxacin_site2,152
Sulfamethoxazole_site4,153
Isonicotinic acid_site7,154
N-acetyl sulfapyridine _site9,155
Sulfasalazine_site1,156
Rifabutin_site5,157
Penicillin G_site8,158
Linezolid_site9,159
Oxytetracycline_site5,160
Pyrazinamide_site4,161
Trimethoprim_site4,162
Cefixime_site4,163
Ethambutol_site6,164
Sulfapyridine_site1,165
Acetyl-isoniazid _site7,166
Nalidixic acid_site3,167
Penicillin V_site3,168
Acetyl-isoniazid _site9,169
Metronidazole_site1,170
4-hydroxy-trimethoprim _site2,171
Nadifloxacin_site2,172
Delamanid_site8,173
Desethylene ciprofloxacin_site7,174
Metronidazole_site4,175
Moxifloxacin_site5,176
Capreomycin IA_site9,177
Flumequine_site2,178
Flucloxacillin_site1,179
Ceftriaxone_site2,180
5-Hydroxy-pyrazinoic acid _site8,181
N-desmethyl clindamycin _site6,182
Lomefloxacin_site5,183
Desethylene ciprofloxacin_site2,184
Erythromycin_site9,185
Nalidixic acid_site5,186
Ciprofloxacin_site6,187
Sulfadiazine_site5,188
Aztreonam_site6,189
Emtricitabine_site2,190
Hydroxy-norfloxacin _site9,191
25-O-desacetyl rifabutin _site9,192
Norfloxacin_site4,193
N-acetyl sulfadiazine _site2,194
Moxifloxacin_site6,195
Nalidixic acid_site8,196
"2-Amino-1-(4-nitrophenyl)-1,3-propanediol_site7",197
Capreomycin IB_site5,198
Gentamycin C1a_site6,199
Nadifloxacin_site3,200
Enrofloxacin_site5,201
Sulfadiazine_site7,202
Linezolid_site4,203
Prulifloxacin_site1,204
Sulfapyridine_site6,205
Penicillin V_site8,206
Clindamycin_site5,207
Ketoconazole_site6,208
N-desmethyl clindamycin _site7,209
Desmethyl-ofloxacin _site4,210
Lamivudine_site5,211
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione_site7",212
Penicilloic G acid_site3,213
Ampicillin_site2,214
Erythromycin_site4,215
Ulifloxacin_site8,216
Florfenicol_site6,217
D-cycloserine_site5,218
Ketoconazole_site9,219
Meropenem_site8,220
Nitrofurantoin_site7,221
25-O-desacetyl rifabutin _site4,222
Nadifloxacin_site7,223
Deacetyl-ketoconazole _site4,224
Chloramphenicol_site2,225
Nitrofurantoin_site3,226
Trimethoprim_site5,227
Enrofloxacin_site3,228
Gentamycin C1a_site2,229
Kanamycin A_site6,230
Penicilloic G acid_site5,231
Pyrazinamide_site8,232
Gentamycin C1a_site9,233
Cefalexin_site4,234
Amoxicillin_site6,235
Chloramphenicol_site6,236
Trimethoprim_site2,237
Flumequine_site4,238
D-cycloserine_site3,239
Aztreonam_site8,240
Metronidazole_site6,241
N-demethyl erythromycin_site7,242
Ofloxacin N-oxide_site9,243
Hydroxy-metronidazole _site7,244
Sulfadiazine_site9,245
N-acetyl sulfamethoxazole _site4,246
Deacetyl-ketoconazole _site8,247
Rifampicin_site3,248
Streptomycin A_site8,249
Doxycycline _site4,250
Sarafloxacin_site9,251
Desmethyl-ofloxacin _site6,252
Sulfadiazine_site4,253
Gentamycin C1_site8,254
Sulfasalazine_site7,255
Ceftriaxone_site4,256
N-desmethyl azithromycin _site9,257
Enrofloxacin_site4,258
Desmethyl-ofloxacin _site5,259
Meropenem_site2,260
Imipenem_site7,261
Aztreonam_site5,262
Isonicotinic acid_site8,263
4-hydroxy-trimethoprim _site3,264
Azithromycin_site8,265
Danofloxacin_site6,266
Rifampicin_site5,267
Kanamycin A_site2,268
Clindamycin_site7,269
Ceftiofur_site2,270
Gentamycin C1a_site3,271
Ciprofloxacin_site2,272
N-acetyl sulfapyridine _site7,273
Capreomycin IB_site9,274
