Features,Ranking
Penicillin V_site9,1
Doxycycline _site4,2
Ethambutol_site2,3
Oxytetracycline_site3,4
Nalidixic acid_site8,5
Rifabutin_site3,6
Flumequine_site3,7
Desethylene ciprofloxacin_site2,8
N-desmethyl clarithromycin _site2,9
N-demethyl erythromycin_site1,10
Bedaquiline_site7,11
Lamivudine_site9,12
Hydroxy-metronidazole _site6,13
Amoxicillin_site6,14
Chloramphenicol_site2,15
Flumequine_site2,16
N-demethyl erythromycin_site7,17
25-desacetyl rifampicin _site6,18
Emtricitabine_site5,19
Lamivudine_site2,20
Chloramphenicol_site6,21
25-O-desacetyl rifabutin _site9,22
Lamivudine_site8,23
Imipenem_site8,24
Sulfadiazine_site7,25
Rifampicin_site3,26
N-desmethyl clarithromycin _site6,27
Acetyl-isoniazid _site1,28
Lomefloxacin_site1,29
Bedaquiline_site3,30
Azithromycin_site6,31
4-hydroxy-trimethoprim _site3,32
Streptomycin A_site9,33
Ciprofloxacin_site6,34
Hydroxy-norfloxacin _site8,35
Ampicillin_site5,36
Doxycycline _site9,37
Doxycycline _site5,38
Emtricitabine_site2,39
Penicillin V_site1,40
Acetyl-isoniazid _site9,41
25-O-desacetyl rifabutin _site2,42
Emtricitabine_site1,43
Deacetyl-ketoconazole _site6,44
Sulfamethoxazole_site6,45
Ciprofloxacin_site1,46
Clindamycin_site7,47
N-demethyl erythromycin_site6,48
Prulifloxacin_site5,49
Danofloxacin_site3,50
Rifabutin_site5,51
Oxytetracycline_site8,52
Bedaquiline_site5,53
Azithromycin_site2,54
N-demethyl erythromycin_site5,55
Ofloxacin (Levofloxacin)_site8,56
Ketoconazole_site7,57
Trimethoprim_site2,58
Rifampicin_site9,59
Ofloxacin N-oxide_site6,60
Acetyl-isoniazid _site8,61
Streptomycin A_site8,62
25-O-desacetyl rifabutin _site3,63
4-hydroxy-trimethoprim _site9,64
Penicillin G_site3,65
4-hydroxy-trimethoprim _site6,66
Prulifloxacin_site1,67
Amoxicilloic acid_site2,68
Imipenem_site9,69
Meropenem_site2,70
