0,Class A
Rifabutin (Site 9),Rifamycin
Isonicotinic acid (Site 3),Isoniazid
Nalidixic acid (Site 6),Quinolone
Flumequine (Site 3),Quinolone
N-desmethyl clarithromycin  (Site 2),Macrolide
Flucloxacillin (Site 4),Penicillin
Cefixime (Site 2),Cefalosporin
Florfenicol (Site 3),Amphenicol
Doxycycline  (Site 7),Cycline
Doxycycline  (Site 5),Cycline
N-demethyl erythromycin (Site 5),Macrolide
Pyrazinamide (Site 5),Pyrazinamide
Enrofloxacin (Site 3),Quinolone
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
Nalidixic acid (Site 8),Quinolone
Isonicotinic acid (Site 4),Isoniazid
Linezolid (Site 6),Oxazolidinone
Oxytetracycline (Site 3),Cycline
Tetracycline (Site 7),Cycline
N-demethyl erythromycin (Site 1),Macrolide
Nitrofurantoin (Site 2),Nitrofuran
Desmethyl-ofloxacin  (Site 8),Quinolone
Ulifloxacin (Site 5),Quinolone
Bedaquiline (Site 5),Diarylquinoline
Trimethoprim (Site 6),Trimethoprim
