0,Class A
Lomefloxacin (Site 9),Quinolone
Linezolid (Site 6),Oxazolidinone
N-demethyl erythromycin (Site 5),Macrolide
Isonicotinic acid (Site 4),Isoniazid
Metronidazole (Site 7),Azole
Isonicotinic acid (Site 9),Isoniazid
4-hydroxy-trimethoprim  (Site 6),Trimethoprim
Isonicotinic acid (Site 5),Isoniazid
Ampicillin (Site 4),Penicillin
Nalidixic acid (Site 8),Quinolone
Enrofloxacin (Site 3),Quinolone
Acetyl-isoniazid  (Site 1),Isoniazid
Ketoconazole (Site 6),Azole
Gentamycin C1 (Site 5),Aminoglycoside
Sulfasalazine (Site 8),Sulfonamides
Sulfamethoxazole (Site 6),Sulfonamide
N-demethyl erythromycin (Site 1),Macrolide
Gentamycin C1 (Site 6),Aminoglycoside
Bedaquiline (Site 5),Diarylquinoline
Trimethoprim (Site 6),Trimethoprim
Flucloxacillin (Site 4),Penicillin
N-desmethyl clarithromycin  (Site 2),Macrolide
Meropenem (Site 6),Carbapenem
Emtricitabine (Site 6),NRTI
Ceftriaxone (Site 7),Cefalosporin
