0,Class A
Florfenicol (Site 3),Amphenicol
Rifabutin (Site 9),Rifamycin
25-O-desacetyl rifabutin  (Site 8),Rifamycin
Amoxicilloic acid (Site 6),Penicillin
Bedaquiline (Site 5),Diarylquinoline
25-desacetyl rifampicin  (Site 7),Rifamycin
Capreomycin IA (Site 9),Aminoglycoside
Nitrofurantoin (Site 2),Nitrofuran
Emtricitabine (Site 2),NRTI
Ofloxacin N-oxide (Site 3),Quinolone
Linezolid (Site 3),Oxazolidinone
Cefixime (Site 2),Cefalosporin
Desmethyl-ofloxacin  (Site 8),Quinolone
Cefixime (Site 9),Cefalosporin
Azithromycin (Site 9),Macrolide
Isonicotinic acid (Site 3),Isoniazid
Thalidomide (Site 5),Thalidomide
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione (Site 4)",Nitrofuran
Deacetyl-ketoconazole  (Site 7),Azole
Ceftriaxone (Site 6),Cefalosporin
Amoxicillin (Site 8),Penicillin
Trimethoprim (Site 6),Trimethoprim
N-demethyl erythromycin (Site 1),Macrolide
Hydroxy-metronidazole  (Site 6),Azole
Aztreonam (Site 8),Monobactam
