0,Class A
25-desacetyl rifampicin  (Site 4),Rifamycin
Chloramphenicol (Site 6),Amphenicol
Delamanid (Site 2),Nitroimidazole
Amoxicillin (Site 6),Penicillin
Amoxicilloic acid (Site 6),Penicillin
Flucloxacillin (Site 4),Penicillin
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
Tetracycline (Site 4),Cycline
Emtricitabine (Site 2),NRTI
N-desmethyl clarithromycin  (Site 2),Macrolide
N-desmethyl clarithromycin  (Site 6),Macrolide
Lamivudine (Site 2),NRTI
N-desmethyl clindamycin  (Site 6),Lincomycin
Trimethoprim (Site 6),Trimethoprim
Kanamycin A (Site 4),Aminoglycoside
Sulfamethoxazole (Site 6),Sulfonamide
Capreomycin IA (Site 6),Aminoglycoside
Gentamycin C1a (Site 4),Aminoglycoside
Norfloxacin (Site 2),Quinolone
Chloramphenicol (Site 2),Amphenicol
Delamanid (Site 6),Nitroimidazole
Bedaquiline (Site 2),Diarylquinoline
Kanamycin A (Site 6),Aminoglycoside
Isonicotinic acid (Site 4),Isoniazid
Ceftiofur (Site 2),Cefalosporin
