0,Class A
Amoxicilloic acid (Site 6),Penicillin
Capreomycin IA (Site 2),Aminoglycoside
Amoxicillin (Site 8),Penicillin
Lamivudine (Site 8),NRTI
N-desmethyl clindamycin  (Site 6),Lincomycin
Oxytetracycline (Site 3),Cycline
N-demethyl erythromycin (Site 5),Macrolide
Delamanid (Site 2),Nitroimidazole
Prulifloxacin (Site 5),Quinolone
N-desmethyl clarithromycin  (Site 2),Macrolide
Desethylene ciprofloxacin (Site 2),Quinolone
Nalidixic acid (Site 8),Quinolone
Ofloxacin N-oxide (Site 5),Quinolone
Florfenicol (Site 7),Amphenicol
Flucloxacillin (Site 4),Penicillin
Bedaquiline (Site 7),Diarylquinoline
Cefixime (Site 9),Cefalosporin
Azithromycin (Site 2),Macrolide
Oxytetracycline (Site 8),Cycline
Linezolid (Site 6),Oxazolidinone
Sulfamethoxazole (Site 6),Sulfonamide
Emtricitabine (Site 4),NRTI
Sarafloxacin (Site 5),Quinolone
Emtricitabine (Site 5),NRTI
Ethambutol (Site 2),Ethambutol
