0,Class A
Amoxicilloic acid (Site 6),Penicillin
Metronidazole (Site 5),Azole
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione (Site 3)",Nitrofuran
Desethylene ciprofloxacin (Site 2),Quinolone
Hydroxy-metronidazole  (Site 6),Azole
Bedaquiline (Site 5),Diarylquinoline
N-demethyl erythromycin (Site 1),Macrolide
Sarafloxacin (Site 5),Quinolone
Nalidixic acid (Site 8),Quinolone
N-desmethyl clarithromycin  (Site 2),Macrolide
N-desmethyl clindamycin  (Site 6),Lincomycin
Cefixime (Site 9),Cefalosporin
Acetyl-isoniazid  (Site 1),Isoniazid
Oxytetracycline (Site 3),Cycline
Sulfapyridine (Site 5),Sulfonamide
Amoxicillin (Site 8),Penicillin
Flumequine (Site 4),Quinolone
Imipenem (Site 8),Carbapenem
N-demethyl erythromycin (Site 5),Macrolide
Ulifloxacin (Site 5),Quinolone
Linezolid (Site 6),Oxazolidinone
Metronidazole (Site 7),Azole
Acetyl-isoniazid  (Site 4),Isoniazid
Delamanid (Site 2),Nitroimidazole
Lamivudine (Site 6),NRTI
