0,Class A
Sulfamethoxazole (Site 6),Sulfonamide
Nalidixic acid (Site 8),Quinolone
Oxytetracycline (Site 3),Cycline
Lamivudine (Site 2),NRTI
Amoxicilloic acid (Site 6),Penicillin
N-demethyl erythromycin (Site 1),Macrolide
Oxytetracycline (Site 8),Cycline
Kanamycin A (Site 4),Aminoglycoside
N-desmethyl clarithromycin  (Site 2),Macrolide
Imipenem (Site 8),Carbapenem
Linezolid (Site 6),Oxazolidinone
N-desmethyl clindamycin  (Site 6),Lincomycin
Erythromycin (Site 7),Macrolide
Sulfapyridine (Site 5),Sulfonamide
Erythromycin (Site 3),Macrolide
Gentamycin C2 C2a C2b (Site 9),Aminoglycoside
Azithromycin (Site 2),Macrolide
Sulfamethoxazole (Site 5),Sulfonamide
Lamivudine (Site 4),NRTI
Erythromycin (Site 5),Macrolide
Bedaquiline (Site 5),Diarylquinoline
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione (Site 1)",Nitrofuran
N-desmethyl clarithromycin  (Site 6),Macrolide
Penicillin V (Site 2),Penicillin
Trimethoprim (Site 6),Trimethoprim
