0,Class A
Emtricitabine (Site 2),NRTI
Lamivudine (Site 2),NRTI
Lamivudine (Site 9),NRTI
N-desmethyl clindamycin  (Site 6),Lincomycin
Bedaquiline (Site 5),Diarylquinoline
Enrofloxacin (Site 4),Quinolone
Ethambutol (Site 9),Ethambutol
Ethambutol (Site 8),Ethambutol
Sarafloxacin (Site 5),Quinolone
Ethambutol (Site 2),Ethambutol
Ofloxacin N-oxide (Site 5),Quinolone
Prulifloxacin (Site 1),Quinolone
Emtricitabine (Site 1),NRTI
N-acetyl sulfamethoxazole  (Site 7),Sulfonamide
Ethambutol (Site 4),Ethambutol
Ceftriaxone (Site 4),Cefalosporin
Linezolid (Site 6),Oxazolidinone
Chloramphenicol (Site 2),Amphenicol
Rifampicin (Site 9),Rifamycin
4-hydroxy-trimethoprim  (Site 3),Trimethoprim
Streptomycin A (Site 9),Aminoglycoside
Enrofloxacin (Site 7),Quinolone
N-demethyl erythromycin (Site 5),Macrolide
Penicillin V (Site 1),Penicillin
Sarafloxacin (Site 8),Quinolone
