0,Class A
Nitrofurantoin (Site 1),Nitrofuran
25-O-desacetyl rifabutin  (Site 2),Rifamycin
Flumequine (Site 4),Quinolone
Hydroxy-metronidazole  (Site 6),Azole
Oxytetracycline (Site 3),Cycline
N-demethyl erythromycin (Site 5),Macrolide
Nalidixic acid (Site 8),Quinolone
Ulifloxacin (Site 7),Quinolone
Hydroxy-norfloxacin  (Site 8),Quinolone
Cefixime (Site 9),Cefalosporin
N-desmethyl clarithromycin  (Site 2),Macrolide
4-hydroxy-trimethoprim  (Site 3),Trimethoprim
Flumequine (Site 2),Quinolone
Amoxicilloic acid (Site 6),Penicillin
Streptomycin A (Site 3),Aminoglycoside
Ampicillin (Site 5),Penicillin
Trimethoprim (Site 2),Trimethoprim
Bedaquiline (Site 5),Diarylquinoline
Emtricitabine (Site 2),NRTI
Rifampicin (Site 9),Rifamycin
Amoxicillin (Site 8),Penicillin
Linezolid (Site 1),Oxazolidinone
Streptomycin A (Site 4),Aminoglycoside
Sulfapyridine (Site 5),Sulfonamide
Trimethoprim (Site 1),Trimethoprim
