0,Class A
N-desmethyl azithromycin  (Site 4),Macrolide
Nalidixic acid (Site 8),Quinolone
N-desmethyl clarithromycin  (Site 2),Macrolide
Amoxicillin (Site 6),Penicillin
Nalidixic acid (Site 4),Quinolone
Acetyl-isoniazid  (Site 4),Isoniazid
N-desmethyl clarithromycin  (Site 6),Macrolide
Ulifloxacin (Site 5),Quinolone
25-O-desacetyl rifabutin  (Site 8),Rifamycin
Linezolid (Site 6),Oxazolidinone
Streptomycin A (Site 4),Aminoglycoside
Sulfapyridine (Site 5),Sulfonamide
Florfenicol (Site 7),Amphenicol
Ofloxacin N-oxide (Site 3),Quinolone
Metronidazole (Site 5),Azole
Hydroxy-metronidazole  (Site 6),Azole
Amoxicillin (Site 9),Penicillin
"1-(2-nitrobenzylidenamino)-2,4-imidazolidinedione (Site 3)",Nitrofuran
Flucloxacillin (Site 7),Penicillin
Moxifloxacin (Site 7),Quinolone
Rifabutin (Site 3),Rifamycin
Ceftiofur (Site 2),Cefalosporin
Deacetyl-ketoconazole  (Site 7),Azole
Ceftriaxone (Site 5),Cefalosporin
Amoxicillin (Site 8),Penicillin
