0,Class A
Lamivudine (Site 9),NRTI
Gentamycin C2 C2a C2b (Site 2),Aminoglycoside
Ofloxacin N-oxide (Site 5),Quinolone
N-demethyl erythromycin (Site 1),Macrolide
Prulifloxacin (Site 4),Quinolone
Trimethoprim (Site 2),Trimethoprim
Hydroxy-metronidazole  (Site 6),Azole
Sulfadiazine (Site 9),Sulfonamide
Ceftriaxone (Site 6),Cefalosporin
N-acetyl sulfadiazine  (Site 3),Sulfonamide
Ethambutol (Site 2),Ethambutol
Gentamycin C1a (Site 3),Aminoglycoside
Streptomycin A (Site 7),Aminoglycoside
Cefalexin (Site 8),Cefalosporin
N-desmethyl clarithromycin  (Site 2),Macrolide
Norfloxacin (Site 7),Quinolone
Sulfamethoxazole (Site 6),Sulfonamide
Emtricitabine (Site 2),NRTI
Thalidomide (Site 4),Thalidomide
Lamivudine (Site 4),NRTI
4-hydroxy-trimethoprim  (Site 2),Trimethoprim
25-O-desacetyl rifabutin  (Site 7),Rifamycin
Amoxicillin (Site 4),Penicillin
Streptomycin A (Site 2),Aminoglycoside
N-demethyl erythromycin (Site 5),Macrolide
